facility_id,osm_ref,category,subtype,name,operator,ownership,addr_street,addr_housenumber,grid_id,power_source_id,power_source_name,power_zone_id,power_connection_type,backup_power,backup_power_capacity_kw,dependency_confidence,dependency_notes,source
osm_node_4441956742,node/4441956742,education,college,,Київський національний університет технодогій та дизайну,,,,kyiv_grid_04_05,,,,,,,,,OpenStreetMap Overpass API
osm_way_129761348,way/129761348,education,college,,,,вулиця Сільгосп Технікум,30,kyiv_grid_02_01,,,,,,,,,OpenStreetMap Overpass API
osm_way_344965220,way/344965220,education,college,,,,Велика Кільцева вулиця,4-А,kyiv_grid_02_04,,,,,,,,,OpenStreetMap Overpass API
osm_way_1435501617,way/1435501617,education,college,,,,,,kyiv_grid_03_04,,,,,,,,,OpenStreetMap Overpass API
osm_way_115827327,way/115827327,education,college,,,,вулиця Ореста Васкула,54,kyiv_grid_02_04,,,,,,,,,OpenStreetMap Overpass API
osm_way_376524280,way/376524280,education,college,,,,Клавдіївська вулиця,22,kyiv_grid_02_05,,,,,,,,,OpenStreetMap Overpass API
osm_way_1390895692,way/1390895692,education,college,,,,,,kyiv_grid_02_04,,,,,,,,,OpenStreetMap Overpass API
osm_way_100739339,way/100739339,education,college,,,,Львівська вулиця,2/4,kyiv_grid_02_04,,,,,,,,,OpenStreetMap Overpass API
osm_way_1296594763,way/1296594763,education,college,,,,,,kyiv_grid_02_04,,,,,,,,,OpenStreetMap Overpass API
osm_way_100224842,way/100224842,education,college,,,,вулиця Ігоря Турчина,6,kyiv_grid_03_05,,,,,,,,,OpenStreetMap Overpass API
osm_way_232921044,way/232921044,education,college,,,,,,kyiv_grid_05_03,,,,,,,,,OpenStreetMap Overpass API
osm_way_110285062,way/110285062,education,college,,,,Васильківська вулиця,20,kyiv_grid_05_03,,,,,,,,,OpenStreetMap Overpass API
osm_way_642677407,way/642677407,education,college,,,,,,kyiv_grid_05_03,,,,,,,,,OpenStreetMap Overpass API
osm_way_151331430,way/151331430,education,college,,,,вулиця Миколи Шепелєва,3,kyiv_grid_03_04,,,,,,,,,OpenStreetMap Overpass API
osm_way_38633234,way/38633234,education,college,,,,Вінницька вулиця,10,kyiv_grid_04_04,,,,,,,,,OpenStreetMap Overpass API
osm_way_38633242,way/38633242,education,college,,,,проспект Повітряних Сил,53,kyiv_grid_04_04,,,,,,,,,OpenStreetMap Overpass API
osm_way_38633243,way/38633243,education,college,,,,проспект Повітряних Сил,53,kyiv_grid_04_04,,,,,,,,,OpenStreetMap Overpass API
osm_way_222239471,way/222239471,education,college,,,,Метробудівська вулиця,5-А,kyiv_grid_03_04,,,,,,,,,OpenStreetMap Overpass API
osm_way_104347604,way/104347604,education,college,,,,Машинобудівна вулиця,48,kyiv_grid_03_04,,,,,,,,,OpenStreetMap Overpass API
osm_way_341066948,way/341066948,education,college,,,,Грушецька вулиця,13,kyiv_grid_03_04,,,,,,,,,OpenStreetMap Overpass API
