grid_id,category,subtype,count,source
kyiv_grid_-1_06,education,kindergarten,1,OpenStreetMap Overpass API
kyiv_grid_-1_06,education,school,1,OpenStreetMap Overpass API
kyiv_grid_00_01,education,school,2,OpenStreetMap Overpass API
kyiv_grid_00_01,public_service,post_office,2,OpenStreetMap Overpass API
kyiv_grid_00_01,public_service,townhall,1,OpenStreetMap Overpass API
kyiv_grid_00_02,education,college,1,OpenStreetMap Overpass API
kyiv_grid_00_02,education,kindergarten,7,OpenStreetMap Overpass API
kyiv_grid_00_02,education,school,6,OpenStreetMap Overpass API
kyiv_grid_00_02,healthcare,clinic,3,OpenStreetMap Overpass API
kyiv_grid_00_02,healthcare,dentist,2,OpenStreetMap Overpass API
kyiv_grid_00_02,healthcare,hospital,2,OpenStreetMap Overpass API
kyiv_grid_00_02,healthcare,pharmacy,6,OpenStreetMap Overpass API
kyiv_grid_00_02,other_public,hospital,2,OpenStreetMap Overpass API
kyiv_grid_00_02,public_service,fire_station,2,OpenStreetMap Overpass API
kyiv_grid_00_02,public_service,police,1,OpenStreetMap Overpass API
kyiv_grid_00_02,public_service,post_office,2,OpenStreetMap Overpass API
kyiv_grid_00_02,public_service,social_facility,1,OpenStreetMap Overpass API
kyiv_grid_00_03,public_service,post_office,1,OpenStreetMap Overpass API
kyiv_grid_00_04,education,kindergarten,9,OpenStreetMap Overpass API
kyiv_grid_00_04,education,school,7,OpenStreetMap Overpass API
kyiv_grid_00_04,education,university,1,OpenStreetMap Overpass API
kyiv_grid_00_04,healthcare,dentist,2,OpenStreetMap Overpass API
kyiv_grid_00_04,healthcare,doctor,1,OpenStreetMap Overpass API
kyiv_grid_00_04,healthcare,hospital,1,OpenStreetMap Overpass API
kyiv_grid_00_04,healthcare,laboratory,1,OpenStreetMap Overpass API
kyiv_grid_00_04,healthcare,pharmacy,3,OpenStreetMap Overpass API
kyiv_grid_00_04,healthcare,physician_assistant,1,OpenStreetMap Overpass API
kyiv_grid_00_04,public_service,police,1,OpenStreetMap Overpass API
kyiv_grid_00_04,public_service,post_office,3,OpenStreetMap Overpass API
kyiv_grid_00_04,public_service,social_facility,1,OpenStreetMap Overpass API
kyiv_grid_00_05,education,kindergarten,1,OpenStreetMap Overpass API
kyiv_grid_00_05,healthcare,clinic,1,OpenStreetMap Overpass API
kyiv_grid_00_05,healthcare,pharmacy,1,OpenStreetMap Overpass API
kyiv_grid_00_05,public_service,government,1,OpenStreetMap Overpass API
kyiv_grid_00_05,public_service,police,1,OpenStreetMap Overpass API
kyiv_grid_00_05,public_service,post_office,3,OpenStreetMap Overpass API
kyiv_grid_00_06,education,college,1,OpenStreetMap Overpass API
kyiv_grid_00_06,education,kindergarten,13,OpenStreetMap Overpass API
kyiv_grid_00_06,education,school,11,OpenStreetMap Overpass API
kyiv_grid_00_06,healthcare,clinic,2,OpenStreetMap Overpass API
kyiv_grid_00_06,healthcare,clinic;laboratory,1,OpenStreetMap Overpass API
kyiv_grid_00_06,healthcare,dentist,1,OpenStreetMap Overpass API
kyiv_grid_00_06,healthcare,doctor,1,OpenStreetMap Overpass API
kyiv_grid_00_06,healthcare,hospital,6,OpenStreetMap Overpass API
kyiv_grid_00_06,healthcare,pharmacy,18,OpenStreetMap Overpass API
kyiv_grid_00_06,healthcare,yes,1,OpenStreetMap Overpass API
kyiv_grid_00_06,other_public,hospital,3,OpenStreetMap Overpass API
kyiv_grid_00_06,public_service,fire_station,1,OpenStreetMap Overpass API
kyiv_grid_00_06,public_service,police,2,OpenStreetMap Overpass API
kyiv_grid_00_06,public_service,post_office,10,OpenStreetMap Overpass API
kyiv_grid_00_06,public_service,public,2,OpenStreetMap Overpass API
kyiv_grid_00_06,public_service,townhall,1,OpenStreetMap Overpass API
kyiv_grid_00_07,education,kindergarten,4,OpenStreetMap Overpass API
kyiv_grid_00_07,education,school,3,OpenStreetMap Overpass API
kyiv_grid_00_07,education,university,2,OpenStreetMap Overpass API
kyiv_grid_00_07,healthcare,clinic,1,OpenStreetMap Overpass API
kyiv_grid_00_07,healthcare,pharmacy,2,OpenStreetMap Overpass API
kyiv_grid_00_07,public_service,fire_station,1,OpenStreetMap Overpass API
kyiv_grid_00_07,public_service,post_office,3,OpenStreetMap Overpass API
kyiv_grid_01_00,education,college,1,OpenStreetMap Overpass API
kyiv_grid_01_00,education,kindergarten,4,OpenStreetMap Overpass API
kyiv_grid_01_00,education,school,4,OpenStreetMap Overpass API
kyiv_grid_01_00,education,university,1,OpenStreetMap Overpass API
kyiv_grid_01_00,healthcare,dentist,1,OpenStreetMap Overpass API
kyiv_grid_01_00,healthcare,doctor,1,OpenStreetMap Overpass API
kyiv_grid_01_00,healthcare,hospital,1,OpenStreetMap Overpass API
kyiv_grid_01_00,healthcare,laboratory,1,OpenStreetMap Overpass API
kyiv_grid_01_00,healthcare,pharmacy,7,OpenStreetMap Overpass API
kyiv_grid_01_00,public_service,post_office,4,OpenStreetMap Overpass API
kyiv_grid_01_00,public_service,social_facility,1,OpenStreetMap Overpass API
kyiv_grid_01_00,public_service,townhall,1,OpenStreetMap Overpass API
kyiv_grid_01_01,education,college,1,OpenStreetMap Overpass API
kyiv_grid_01_01,education,kindergarten,1,OpenStreetMap Overpass API
kyiv_grid_01_01,education,school,3,OpenStreetMap Overpass API
kyiv_grid_01_01,healthcare,clinic,1,OpenStreetMap Overpass API
kyiv_grid_01_01,healthcare,dentist,1,OpenStreetMap Overpass API
kyiv_grid_01_01,healthcare,hospital,2,OpenStreetMap Overpass API
kyiv_grid_01_01,healthcare,pharmacy,1,OpenStreetMap Overpass API
kyiv_grid_01_01,other_public,hospital,1,OpenStreetMap Overpass API
kyiv_grid_01_01,public_service,fire_station,1,OpenStreetMap Overpass API
kyiv_grid_01_01,public_service,post_office,4,OpenStreetMap Overpass API
kyiv_grid_01_01,public_service,public,1,OpenStreetMap Overpass API
kyiv_grid_01_01,public_service,townhall,3,OpenStreetMap Overpass API
kyiv_grid_01_02,education,kindergarten,7,OpenStreetMap Overpass API
kyiv_grid_01_02,education,school,11,OpenStreetMap Overpass API
kyiv_grid_01_02,healthcare,clinic,1,OpenStreetMap Overpass API
kyiv_grid_01_02,healthcare,dentist,4,OpenStreetMap Overpass API
kyiv_grid_01_02,healthcare,doctors,1,OpenStreetMap Overpass API
kyiv_grid_01_02,healthcare,hospital,4,OpenStreetMap Overpass API
kyiv_grid_01_02,healthcare,pharmacy,7,OpenStreetMap Overpass API
kyiv_grid_01_02,public_service,police,1,OpenStreetMap Overpass API
kyiv_grid_01_02,public_service,post_office,9,OpenStreetMap Overpass API
kyiv_grid_01_02,public_service,townhall,2,OpenStreetMap Overpass API
kyiv_grid_01_03,education,kindergarten,2,OpenStreetMap Overpass API
kyiv_grid_01_03,education,school,3,OpenStreetMap Overpass API
kyiv_grid_01_03,healthcare,clinic,1,OpenStreetMap Overpass API
kyiv_grid_01_03,healthcare,dentist,1,OpenStreetMap Overpass API
kyiv_grid_01_03,healthcare,pharmacy,9,OpenStreetMap Overpass API
kyiv_grid_01_03,public_service,post_office,12,OpenStreetMap Overpass API
kyiv_grid_01_03,public_service,townhall,1,OpenStreetMap Overpass API
kyiv_grid_01_04,education,kindergarten,4,OpenStreetMap Overpass API
kyiv_grid_01_04,education,school,5,OpenStreetMap Overpass API
kyiv_grid_01_04,healthcare,clinic,2,OpenStreetMap Overpass API
kyiv_grid_01_04,healthcare,dentist,1,OpenStreetMap Overpass API
kyiv_grid_01_04,healthcare,hospital,1,OpenStreetMap Overpass API
kyiv_grid_01_04,healthcare,pharmacy,3,OpenStreetMap Overpass API
kyiv_grid_01_04,public_service,post_office,5,OpenStreetMap Overpass API
kyiv_grid_01_05,education,kindergarten,12,OpenStreetMap Overpass API
kyiv_grid_01_05,education,school,8,OpenStreetMap Overpass API
kyiv_grid_01_05,education,university,2,OpenStreetMap Overpass API
kyiv_grid_01_05,healthcare,clinic,5,OpenStreetMap Overpass API
kyiv_grid_01_05,healthcare,dentist,2,OpenStreetMap Overpass API
kyiv_grid_01_05,healthcare,laboratory,1,OpenStreetMap Overpass API
kyiv_grid_01_05,healthcare,pharmacy,11,OpenStreetMap Overpass API
kyiv_grid_01_05,healthcare,sample_collection,1,OpenStreetMap Overpass API
kyiv_grid_01_05,public_service,fire_station,1,OpenStreetMap Overpass API
kyiv_grid_01_05,public_service,post_office,7,OpenStreetMap Overpass API
kyiv_grid_01_05,public_service,townhall,1,OpenStreetMap Overpass API
kyiv_grid_01_06,education,school,2,OpenStreetMap Overpass API
kyiv_grid_01_06,healthcare,clinic,2,OpenStreetMap Overpass API
kyiv_grid_01_06,healthcare,hospital,1,OpenStreetMap Overpass API
kyiv_grid_01_06,healthcare,pharmacy,2,OpenStreetMap Overpass API
kyiv_grid_01_06,public_service,police,1,OpenStreetMap Overpass API
kyiv_grid_01_06,public_service,post_office,2,OpenStreetMap Overpass API
kyiv_grid_01_06,public_service,townhall,1,OpenStreetMap Overpass API
kyiv_grid_02_00,education,kindergarten,3,OpenStreetMap Overpass API
kyiv_grid_02_00,education,school,2,OpenStreetMap Overpass API
kyiv_grid_02_01,education,college,2,OpenStreetMap Overpass API
kyiv_grid_02_01,education,kindergarten,2,OpenStreetMap Overpass API
kyiv_grid_02_01,education,school,3,OpenStreetMap Overpass API
kyiv_grid_02_01,healthcare,pharmacy,2,OpenStreetMap Overpass API
kyiv_grid_02_01,public_service,post_office,1,OpenStreetMap Overpass API
kyiv_grid_02_01,public_service,public,1,OpenStreetMap Overpass API
kyiv_grid_02_01,public_service,townhall,1,OpenStreetMap Overpass API
kyiv_grid_02_02,education,kindergarten,4,OpenStreetMap Overpass API
kyiv_grid_02_02,education,school,4,OpenStreetMap Overpass API
kyiv_grid_02_02,healthcare,pharmacy,1,OpenStreetMap Overpass API
kyiv_grid_02_02,public_service,police,1,OpenStreetMap Overpass API
kyiv_grid_02_02,public_service,post_office,4,OpenStreetMap Overpass API
kyiv_grid_02_02,public_service,townhall,1,OpenStreetMap Overpass API
kyiv_grid_02_03,education,kindergarten,30,OpenStreetMap Overpass API
kyiv_grid_02_03,education,school,18,OpenStreetMap Overpass API
kyiv_grid_02_03,healthcare,clinic,11,OpenStreetMap Overpass API
kyiv_grid_02_03,healthcare,dentist,4,OpenStreetMap Overpass API
kyiv_grid_02_03,healthcare,doctors,1,OpenStreetMap Overpass API
kyiv_grid_02_03,healthcare,hospital,5,OpenStreetMap Overpass API
kyiv_grid_02_03,healthcare,laboratory,1,OpenStreetMap Overpass API
kyiv_grid_02_03,healthcare,pharmacy,23,OpenStreetMap Overpass API
kyiv_grid_02_03,healthcare,sample_collection,1,OpenStreetMap Overpass API
kyiv_grid_02_03,public_service,fire_station,3,OpenStreetMap Overpass API
kyiv_grid_02_03,public_service,police,3,OpenStreetMap Overpass API
kyiv_grid_02_03,public_service,post_office,18,OpenStreetMap Overpass API
kyiv_grid_02_03,public_service,townhall,2,OpenStreetMap Overpass API
kyiv_grid_02_04,education,college,9,OpenStreetMap Overpass API
kyiv_grid_02_04,education,kindergarten,80,OpenStreetMap Overpass API
kyiv_grid_02_04,education,school,65,OpenStreetMap Overpass API
kyiv_grid_02_04,education,university,18,OpenStreetMap Overpass API
kyiv_grid_02_04,healthcare,clinic,21,OpenStreetMap Overpass API
kyiv_grid_02_04,healthcare,counselling,1,OpenStreetMap Overpass API
kyiv_grid_02_04,healthcare,dentist,8,OpenStreetMap Overpass API
kyiv_grid_02_04,healthcare,doctor,3,OpenStreetMap Overpass API
kyiv_grid_02_04,healthcare,doctors,2,OpenStreetMap Overpass API
kyiv_grid_02_04,healthcare,hospital,9,OpenStreetMap Overpass API
kyiv_grid_02_04,healthcare,laboratory,7,OpenStreetMap Overpass API
kyiv_grid_02_04,healthcare,pharmacy,59,OpenStreetMap Overpass API
kyiv_grid_02_04,healthcare,sample_collection,5,OpenStreetMap Overpass API
