uid,type,CATUTTC,addressPostCode,addressAdminUnitL1,addressAdminUnitL2,addressAdminUnitL3,addressAdminUnitL4,addressPostName,addressPostDistrict,addressThoroughfare,addressLocatorDesignator,addressLocatorBuilding,addressDescription,lat,lon,balanceHolderName,balanceHolderId,elements,area,startDate,inventoryDate,inventoryOrgName,inventoryOrgId,passport,plan
100-1,дитячий,UA80000000000126643,03127,Україна,місто Київ,null,null,Київ,Голосіївський,просп. Голосіївський,87-Г,null,Голосіївський парк ім. М.Рильського,50.395253,30.509706,КП УЗН Голосіївського району,03359799,"Ігровий комплекс серія climboo 0415 – 1шт., ігровий комплекс серія climboo md0415– 1шт., ігровий комплекс серія nettix 1634– 1шт., гойдалка серія swing st 0500– 1шт., гойдалка серія swing wd 1492– 1шт., ігровий комплекс серія steel+1701– 1шт., ігровий комплекс серія castillo 3029-1– 1шт., ігровий комплекс (крук) серія castillo3080– 1шт., ігровий комплекс серія wooden wd1505– 1шт., гойдалка серія swing st 0517– 1шт., гойдалка на пружині серія spring 0630– 1шт., карусель hoop 0703-1– 1шт",775.00,2022-10-01,2025-12-11,КП УЗН Голосіївського району,03359799,null,null
100-2,дитячий та спортивний,UA80000000000126643,03127,Україна,місто Київ,null,null,Київ,Голосіївський,просп. Голосіївський,114,2,сквер,50.386720,30.488406,КП УЗН Голосіївського району,03359799,"Гойдалка-балансир те 222 - 1 шт., гойдалка гніздо лелеки те 412 - 1 шт., тренажер вуличний степпер-розгинач стегна sl136-126 - 1 шт., тренажер вуличний степпер-sl101,1 жим сидячи від грудей – 1шт., тренажер вуличний interatletika sl 116 орбітрек – 1шт., тренажер вуличний interatletika sl 104.1 твистер – 1шт., тренажер вуличний interatletika sе 135 – 1шт., тренажер вуличний interatletika sl 242 – 1шт.",370.00,2023-01-01,2025-12-15,КП УЗН Голосіївського району,03359799,null,null
100-3,дитячий,UA80000000000126643,03191,Україна,місто Київ,null,null,Київ,Голосіївський,вул. Героїв Маріуполя,2-Г,null,сквер,50.378776,30.458051,КП УЗН Голосіївського району,03359799,"Ігровий комплекс crooc 0310 - 1 шт., балансир st 0500 - 1 шт., гойдалка st 1494 ririr 6 - 1 шт., гойдалка на пружині spring 0610 - 1 шт., ігровий комплекс wd 1454 - 1 шт., гімнастичний комплекс climboo 17167 - 1 шт",275.00,2022-05-01,2025-11-05,КП УЗН Голосіївського району,03359799,null,null
100-4,дитячий,UA80000000000126643,03039,Україна,місто Київ,null,null,Київ,Голосіївський,в межах вул. Деміївської та пров. Деміївського,13,null,сквер,50.404356,30.513526,КП УЗН Голосіївського району,03359799,"Гойдалка одинарна на металевих стійках «гніздо лелеки» - 1 шт., ігровий комплекс «хортиця» - 1 шт., гойдалка-балансир - 1 шт",345.00,2020-12-01,2025-11-06,КП УЗН Голосіївського району,03359799,null,null
100-5,дитячий,UA80000000000126643,01033,Україна,місто Київ,null,null,Київ,Голосіївський,вул. Паньківська,"2, 2/25",null,сквер,50.440681,30.505524,КП УЗН Голосіївського району,03359799,"Дитячий комплекс канатний «Піраміда» - 1 шт., гойдалка гніздо з гнучкою підсвіткою - 1 шт., гойдалка-балансир на пружині - 1 шт.",115.00,2024-05-01,2025-11-07,КП УЗН Голосіївського району,03359799,null,null
100-6,дитячий,UA80000000000126643,03028,Україна,місто Київ,null,null,Київ,Голосіївський,вул. Писаржевського; вул. Іртишська,"8, 8-А; 20",null,сквер,50.394816,30.535344,КП УЗН Голосіївського району,03359799,"Дитячий комплекс «Маяк» - 1 шт., гойдалка stork wood - 1 шт., гойдалка geom single - 1 шт., гойдалка-балансир metal – 1шт., канатний комплекс piramida – 1шт., карусель бумеранг – 1шт",323.00,2024-05-01,2025-11-11,КП УЗН Голосіївського району,03359799,null,null
100-7,дитячий та спортивний,UA80000000000126643,02000,Україна,місто Київ,null,null,Київ,Голосіївський,вул. Володимира Самійленка,14,null,сквер,50.404355,30.493030,КП УЗН Голосіївського району,03359799,"Ворота футбольні 3000*2000 стінкою - 1шт., стійка баскетбольна зі щитом і сіткою - 1шт., тренажер розгинач стегна – степлер - 1шт., тренажер жим сидячи від грудей - 1шт., тренажер «тренажер для м'язів та стегна» - 1шт., тренажер орбітрек - 1шт., тренажер веслування - 1шт, тренажер повітряний ходок - 1шт, тренажер маятник-твістер - 1шт, спортивний комплекс типу si-2 - 1шт, гойдалка гніздо лелеки - 1шт, гойдалка типу те 407 - 1шт, гойдалка типу st1422 - 1шт, гойдалка на пружині типу 0609 - 1шт, гойдалка на пружині типу 0610 - 1шт, дошка для малювання (двохстороння) - 1шт, гойдалка балансир типу st0522 - 1шт, гойдалка на пружині типу wd1422 - 1шт, пісочниця з кришкою середня - 1шт, інтерактивна пісочниця зі столиками - 1шт, пісочниця з дахом і кришкою - 1шт, канатний комплекс по типу піраміда 5 - 1шт",364.00,2023-12-01,2025-12-22,КП УЗН Голосіївського району,03359799,null,null
100-8,дитячий,UA80000000000126643,03188,Україна,місто Київ,null,null,Київ,Голосіївський,просп. Академіка Глушкова,"9-В, 9-Г, 9-Д",null,сквер,50.369854,30.465015,КП УЗН Голосіївського району,03359799,"Дитячий комплекс (2 гірки, альпійський підйом, сходи, лазалки) – 1шт",260.00,2021-08-01,2025-11-18,КП УЗН Голосіївського району,03359799,null,null
100-9,дитячий,UA80000000000126643,03150,Україна,місто Київ,null,null,Київ,Голосіївський,вул. Івана Федорова,10,null,сквер,50.427493,30.514517,КП УЗН Голосіївського району,03359799,Дитячий комплекс – 1 шт.,60.00,null,2025-11-24,КП УЗН Голосіївського району,03359799,null,null
100-10,спортивний,UA80000000000126643,03127,Україна,місто Київ,null,null,Київ,Голосіївський,просп. Голосіївський,87-Г,null,Голосіївський парк ім. М.Рильського,50.387091,30.500959,КП УЗН Голосіївського району,03359799,Спортивний комплекс – 1шт.,775.00,null,2025-12-08,КП УЗН Голосіївського району,03359799,null,null
