id,name,CATUTTC,addressPostCode,addressAdminUnitL1,addressAdminUnitL2,addressAdminUnitL3,addressAdminUnitL4,addressPostName,addressThoroughfare,addressLocatorDesignator,addressLocatorBuilding,addressLocatorName,contactPointName,contactPointEmail,contactPointTelephone,contactPointUrl
00016490,ТОВАРИСТВО «ЗНАННЯ» УКРАЇНИ,UA80000000000093317,03150,Україна,місто Київ,null,null,Київ,вул. Велика Васильківська,57/3,null,null,null,null,+380442262648,null
00032112,АКЦІОНЕРНЕ ТОВАРИСТВО «ДЕРЖАВНИЙ ЕКСПОРТНО-ІМПОРТНИЙ БАНК УКРАЇНИ»,UA80000000000093317,03150,Україна,місто Київ,null,null,Київ,вул. Володимира Антоновича,127,null,null,null,vrakitin@kvr.eximb.com; bank@eximb.com,"+380442516111, +380444821966",null
00032129,АКЦІОНЕРНЕ ТОВАРИСТВО «ДЕРЖАВНИЙ ОЩАДНИЙ БАНК УКРАЇНИ»,UA80000000000093317,01001,Україна,місто Київ,null,null,Київ,вул. Госпітальна,12-Г,null,null,null,office@sbank.zp.ua offc.00@schadbank.ua,"+380612270203, +380612270201",null
00034186,ПУБЛІЧНЕ АКЦІОНЕРНЕ ТОВАРИСТВО «НАЦІОНАЛЬНА АКЦІОНЕРНА СТРАХОВА КОМПАНІЯ «ОРАНТА»,UA80000000000093317,02081,Україна,місто Київ,null,null,Київ,вул. Здолбунівська,7-Д,null,null,null,dir@mk.oranta.ua,"+380512473025, +380512472206",null
00034186,ПУБЛІЧНЕ АКЦІОНЕРНЕ ТОВАРИСТВО КИЇВСЬКА МІСЬКА ДИРЕКЦІЯ «НАЦІОНАЛЬНОЇ АКЦІОНЕРНОЇ СТРАХОВОЇ КОМПАНІЇ «ОРАНТА»,UA80000000000093317,02081,Україна,місто Київ,null,null,Київ,вул. Здолбунівська,7-Д,null,null,null,dir@mk.oranta.ua,"+380512473025, +380512472206",null
00039002,ПУБЛІЧНЕ АКЦІОНЕРНЕ ТОВАРИСТВО «АКЦІОНЕРНИЙ КОМЕРЦІЙНИЙ ПРОМИСЛОВО-ІНВЕСТИЦІЙНИЙ БАНК»,UA80000000000093317,01001,Україна,місто Київ,null,null,Київ,вул. Малопідвальна,8,null,null,null,vladimir.ivanyuk@pib.ua,"+380442795161, +380800215161",null
00109339,ПРИВАТНЕ АКЦІОНЕРНЕ ТОВАРИСТВО «КИЇВСЬКИЙ ЗАВОД ЕКСПЕРИМЕНТАЛЬНИХ КОНСТРУКЦІЙ»,UA80000000000093317,02090,Україна,місто Київ,null,null,Київ,вул. Алматинська,8,null,null,null,null,"+380445669741, +380445590331",null
00148429,АКЦІОНЕРНЕ ТОВАРИСТВО «ІНСТИТУТ ТРАНСПОРТУ НАФТИ»,UA80000000000093317,04050,Україна,місто Київ,null,null,Київ,вул. Січових Стрільців,60,null,null,null,itn@itn.ua,+380444843252,null
00305981,ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ «ФУТБОЛЬНИЙ КЛУБ «ДИНАМО» КИЇВ»,UA80000000000093317,01001,Україна,місто Київ,null,null,Київ,вул. Михайла Грушевського,3,null,null,null,ivan@goal.com.ua,"+380445970003, +380442784135, +380507532952",null
00307632,ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ «ВИРОБНИЧО-ТОРГОВЕЛЬНА ФІРМА «ГЛОРІЯ»»,UA80000000000093317,03022,Україна,місто Київ,null,null,Київ,вул. Смольна,9,null,null,null,null,"+380444929497,+380444929499",null
