uid,number,dateSigned,investorName,investorId,authorityName,authorityId,partiesName,partiesId,description,amountValue,startDate,endDate,status,url,text,legalActType,legalActTitle,legalActDate,legalActNumber,legalActUrl,publisherName,publisherId
2003-049-13/і/1,049-13/і/1,2003-03-18,ТОВ «Київгейт Інвестмент»,35364532,Департамент економіки та інвестицій виконавчого органу Київської міської ради (Київської міської державної адміністрації),04633423,null,null,Будівництво підземного паркінгу з підземно-надземними нежитловими приміщеннями торговельно-офісного призначення у складі Вокзальної площі від вул. Комінтерну,null,2003-03-18,До повного виконання своїх зобов'язань,Чинний,null,null,Розпорядження,Про затвердження результатів конкурсу із залучення інвесторів для будівництва підземного паркінгу з підземно надземними нежиТловими приміщеннями торговельно- офісного призначення у складі Вокзальної площі від вул. Комінтерну,2003-02-21,281,null,Київська міська державна адміністрація,00022527
2003-049-13/і/2,049-13/і/2,2003-06-03,ТОВ «ЖенСан»,32222741,Головне управління розвитку міста Київської міської державної адміністрації,04633423,"Комунальна корпорація «Київавтодор», Комунальне підприємство «Київський метрополітен»","03359026, 03328913",Будівництво підземного пішохідного переходу з нежитловими приміщеннями торговельно-побутового комплексу між Броварським шосе та вул.Андрія Малишка з влаштуванням другого виходу зі станції метро «Дарниця»,null,2003-06-03,До повного виконання своїх зобов'язань,Розірваний,null,null,Розпорядження,Про затвердження результатів конкурсу із залучення інвесторів для будівництва підземного пішохідного переходу з нежитловими приміщеннями торговельно-побутового комплексу між Броварським шосе та вул.Андрія Малишка з влаштуванням другого виходу зі станції метро «Дарниця»,2003-04-21,737,null,Київська міська державна адміністрація,00022527
2003-049-13/і/3,049-13/і/3,2003-06-17,ТОВ «Грааль»,24266659,Департамент економіки та інвестицій виконавчого органу Київської міської ради (Київської міської державної адміністрації),04633423,Комунальне підприємство «Дирекція будівництва шляхово–транспортних споруд м. Києва»,05445267,"Реконструкція Європейської площі з будівництвом комплексу нежилих приміщень для розміщення об'єктів сфери обслуговування населення, підземного паркінгу, підземних пішохідних переходів та інших місць загального користування під шляховим покриттям Європейської площі і прилеглих до неї вулиць та офісно-готельного комплексу з апартаментами «Столичний»",null,2003-06-17,До повного виконання своїх зобов'язань,Чинний,null,null,Розпорядження,Про затвердження результатів конкурсу,2003-05-12,792,null,Київська міська державна адміністрація,00022527
2003-049-13/і/4,049-13/і/4,2003-07-29,ТОВ «Фостер»,31899510,Головне управління економіки та інвестицій виконавчого органу Київської міської ради (Київської міської державної адміністрації),04633423,Комунальна корпорація «Київавтодор»,03359026,Будівництво підземного пішохідного переходу з нежитловими приміщеннями торговельно-побутового комплексу під проїзною частиною на проспекті Бажана біля станції метрополітену «Харківська»,null,2003-07-29,До повного виконання своїх зобов'язань,Розірваний,null,null,Розпорядження,Про затвердження результатів конкурсу по залученню інвесторів для будівництва підземного пішохідного переходу з нежитловими приміщеннями торговельно-побутового комплексу під проїзною частиною на проспекті Бажана біля станції метрополітену «Харківська»,2003-02-21,279,null,Київська міська державна адміністрація,00022527
2003-049-13/і/5,049-13/і/5,2003-07-29,ТОВ «Ельба»,31722302,Головне управління економіки та інвестицій виконавчого органу Київської міської ради (Київської міської державної адміністрації),04633423,Комунальна корпорація «Київавтодор»,03359026,Завершення будівництва нежитлових приміщень в підземному просторі в районі примикання Нового проїзду до вулиці Червоноармійської,null,2003-07-29,До повного виконання своїх зобов'язань,Розірваний,null,null,Розпорядження,Про затвердження результатів конкурсу по залученню інвесторів для завершення будівництва нежитлових приміщень торговельного комплексу в підземному просторі в районі примикання Нового проїзду до вулиці Червоноармійської,2003-02-21,278,null,Київська міська державна адміністрація,00022527
2003-049-13/і/6,049-13/і/6,2003-07-29,ТОВ «Тріал»,31512481,Головне управління економіки та інвестицій виконавчого органу Київської міської ради (Київської міської державної адміністрації),04633423,Комунальна корпорація «Київавтодор»,03359026,Реконструкція підземного діючого підземного пішохідного переходу біля станції метро «Університет» на бульварі Т.Шевченка з будівництвом нежитлових приміщень торговельного комплексу,null,2003-07-29,До повного виконання своїх зобов'язань,Розірваний,null,null,Розпорядження,Про затвердження результатів конкурсу із залучення інвесторів для реконструкції підземного діючого підземного пішохідного переходу біля станції метро «Університет» на бульварі Т.Шевченка з будівництвом нежитлових приміщень торговельного комплексу,2003-02-21,277,null,Київська міська державна адміністрація,00022527
2003-049-13/і/7,049-13/і/7,2003-08-28,ТОВ «Фрістайл»,31566296,Головне управління економіки та інвестицій виконавчого органу Київської міської ради (Київської міської державної адміністрації),04633423,"Комунальна корпорація «Київавтодор», Комунальне підприємство «Київський метрополітен»","03359026, 03328913",Будівництво підземного пішохідного переходу з нежитловими приміщеннями торговельно-побутового комплексу між Броварським шосе та вул. Андрія Малишка з влаштуванням другого виходу зі ст метро «Дарниця» в м.Києві,null,2003-08-28,"До повного виконання своїх зобов'язань, за винятком положень розділів 7 та 8 Договору",Розірваний,null,null,Розпорядження,Про затвердження результатів конкурсу із залучення інвесторів для будівництва підземного пішохідного переходу пз нежитловими приміщеннями торговельно-побутового комплексу між Броварським шоссе та вул. Андрія Малишка з влаштуванням другого виходу зі ст метро «Дарниця» в м.Києві,2003-08-19,1543,null,Київська міська державна адміністрація,00022527
2003-049-13/і/8,049-13/і/8,2003-09-09,ТОВ «Валентин Плюс»,26266190,Головне управління економіки та інвестицій виконавчого органу Київської міської ради (Київської міської державної адміністрації),04633423,null,null,Будівництво паркінгу та нежитлових приміщень торговельно-виставкового комплексу на ділянці від вулиці Л. Толстого до Вокзальної площі,null,2003-09-09,До повного виконання своїх зобов'язань,Чинний,null,null,Розпорядження,Про затвердження результатів конкурсу із залучення інвесторів для будівництва паркінгу на 550 автомобілів та нежитлових приміщень торговельно-виставкового комплексу над паркінгом на дільниці від вул.Л.Толстого до Вокзальної площі,2001-07-20,1522,null,Київська міська державна адміністрація,00022527
2003-049-13/і/9,049-13/і/9,2003-10-22,ТОВ «Київміськбуд-Інвест»,32455875,Головне управління економіки та інвестицій виконавчого органу Київської міської ради (Київської міської державної адміністрації),04633423,Комунальна корпорація «Київавтодор»,03359026,Будівництво підземного пішохідного переходу з нежитловими приміщеннями торговельно-виставкового комплексу під проїзною частиною по вулиці Володимирській на ділянці від вул. Л.Толстого до бульв.Т.Шевченка,null,2003-10-22,До повного виконання своїх зобов'язань,Розірваний,null,null,Розпорядження,Про затвердження результатів конкурсу із залучення інвесторів для будівництва підземного пішохідного переходу з приміщеннями торговельно-виставкового комплексу під проїзною частиною по вул. Володимирській на ділянці від вул. Л.Толстого до бульв.Т.Шевченка,2003-10-17,1933,null,Київська міська державна адміністрація,00022527
2003-049-13/і/10,049-13/і/10,2003-11-21,ЗАТ СП «Партнер»,13684158,Головне управління економіки та інвестицій виконавчого органу Київської міської ради (Київської міської державної адміністрації),04633423,null,null,Будівництво підземного автопаркінгу на місці котлованів над конструкцією станційного комплексу станції метро «Житомирська»,null,2003-11-21,До повного виконання своїх зобов'язань,Розірваний,null,null,Розпорядження,Про затвердження результатів конкурсу із залучення інвесторів для будівництва підземного автопаркінгу на місці котлованів над конструкцією станційного комплексу станції метро «Житомирська»,2003-09-30,1818,null,Київська міська державна адміністрація,00022527
