uid,type,title,acceptedDate,number,issuedDate,validFrom,status,publisherName,publisherId,text,url,registrationNumber,registrationDate,registratorName,registratorId
337-2026-г,Розпорядження,Про внесення змін до розпорядження Голосіївської районної в місті Києві державної адміністрації від 20.11.2015 № 635 «Про Голосіївську районну ланку територіальної підсистеми міста Києва єдиної державної системи цивільного захисту»,2026-06-16,337,2026-06-16,2026-06-16,Чинний,Голосіївська районна в місті Києві державна адміністрація,37308812,null,https://minio.kyivcity.gov.ua/kyivcity/sites/12/header/main-menu/administratsiia/rozporiadzhennia/rozporiadzhennia-za-2026-rik/337.pdf,null,null,null,null
336-2026-г,Розпорядження,Про надання дозволу ПІБ зареєструвати народження дитини в органах реєстрації актів цивільного стану,2026-06-12,336,2026-06-15,2026-06-12,Чинний,Голосіївська районна в місті Києві державна адміністрація,37308812,null,null,null,null,null,null
335-2026-г,Розпорядження,Про затвердження протоколу про результати електронного аукціону та передачу нерухомого майна комунальної власності територіальної громади міста Києва в оренду,2026-06-12,335,2026-06-15,2026-06-12,Чинний,Голосіївська районна в місті Києві державна адміністрація,37308812,null,https://minio.kyivcity.gov.ua/kyivcity/sites/12/header/main-menu/administratsiia/rozporiadzhennia/rozporiadzhennia-za-2026-rik/335.pdf,null,null,null,null
334-2026-г,Розпорядження,Про прийняття квартир до комунальної власності територіальної громади міста Києва,2026-06-12,334,2026-06-15,2026-06-12,Чинний,Голосіївська районна в місті Києві державна адміністрація,37308812,null,https://minio.kyivcity.gov.ua/kyivcity/sites/12/header/main-menu/administratsiia/rozporiadzhennia/rozporiadzhennia-za-2026-rik/334.pdf,null,null,null,null
333-2026-г,Розпорядження,Про включення об'єкту нерухомого майна комунальної власності міста Києва до Переліку першого типу,2026-06-12,333,2026-06-15,2026-06-12,Чинний,Голосіївська районна в місті Києві державна адміністрація,37308812,null,https://minio.kyivcity.gov.ua/kyivcity/sites/12/header/main-menu/administratsiia/rozporiadzhennia/rozporiadzhennia-za-2026-rik/333.pdf,null,null,null,null
332-2026-г,Розпорядження,"Про затвердження списку одержувачів одноразової адресної матеріальної допомоги киянам, які опинилися в складних життєвих обставинах в результаті пошкодження чи руйнування житлового будинку (квартири) внаслідок надзвичайної ситуації воєнного характеру, спричиненої збройною агресією Російської Федерації проти України",2026-06-12,332,2026-06-12,2026-06-12,Чинний,Голосіївська районна в місті Києві державна адміністрація,37308812,null,null,null,null,null,null
331-2026-г,Розпорядження,Про виключення з числа службових жилих приміщень,2026-06-11,331,2026-06-12,2026-06-11,Чинний,Голосіївська районна в місті Києві державна адміністрація,37308812,null,https://minio.kyivcity.gov.ua/kyivcity/sites/12/header/main-menu/administratsiia/rozporiadzhennia/rozporiadzhennia-za-2026-rik/331.pdf,null,null,null,null
330-2026-г,Розпорядження,Про внесення змін до підпункту 2.1. пункту 2 розпорядження Голосіївської районної в місті Києві державної адміністрації від 25.05.2026 № 293 «Про затвердження рішень про надання службових житлових приміщень»,2026-06-11,330,2026-06-11,2026-06-11,Чинний,Голосіївська районна в місті Києві державна адміністрація,37308812,null,null,null,null,null,null
329-2026-г,Розпорядження,"Про взяття на облік громадян, що потребують надання житлового приміщення для тимчасового проживання з фонду житла, призначеного для тимчасового проживання внутрішньо переміщених осіб",2026-06-11,329,2026-06-11,2026-06-11,Чинний,Голосіївська районна в місті Києві державна адміністрація,37308812,null,null,null,null,null,null
328-2026-г,Розпорядження,"Про взяття на квартирний облік громадян, зняття з обліку та внесення змін у справи квартирного обліку",2026-06-11,328,2026-06-11,2026-06-11,Чинний,Голосіївська районна в місті Києві державна адміністрація,37308812,null,null,null,null,null,null
327-2026-г,Розпорядження,"Про внесення змін до Переліку осіб, які мають право доступу до приміщень відділу ведення Державного реєстру виборців до розпорядження Голосіївської районної в місті Києві державної адміністрації від 17 грудня 2020 року № 599",2026-06-11,327,2026-06-11,2026-06-11,Чинний,Голосіївська районна в місті Києві державна адміністрація,37308812,null,null,null,null,null,null
326-2026-г,Розпорядження,"Про визначення особи, яка виконує функції адміністратора безпеки у відділі ведення Державного реєстру виборців",2026-06-11,326,2026-06-11,2026-06-11,Чинний,Голосіївська районна в місті Києві державна адміністрація,37308812,null,null,null,null,null,null
325-2026-г,Розпорядження,Про часткове відшкодування вартості придбаних незалежних джерел електричної енергії,2026-06-11,325,2026-06-11,2026-06-11,Чинний,Голосіївська районна в місті Києві державна адміністрація,37308812,null,https://minio.kyivcity.gov.ua/kyivcity/sites/12/header/main-menu/administratsiia/rozporiadzhennia/rozporiadzhennia-za-2026-rik/325.pdf,null,null,null,null
324-2026-г,Розпорядження,"Про передачу на праві узуфрукта комунального майна будинків 3, 7, 9, 13, 17 на вул. Баренбойма Комунальному підприємству «Керуюча компанія з обслуговування житлового фонду Голосіївського району м. Києва»",2026-06-10,324,2026-06-15,2026-06-10,Чинний,Голосіївська районна в місті Києві державна адміністрація,37308812,null,https://minio.kyivcity.gov.ua/kyivcity/sites/12/header/main-menu/administratsiia/rozporiadzhennia/rozporiadzhennia-za-2026-rik/324.pdf,null,null,null,null
323-2026-г,Розпорядження,"Про реконструкцію нежитлової будівлі (літ. «А'») по вул. Голосіївська, 53 під Центр комплексної реабілітації для дітей та осіб з інвалідністю Голосіївського району",2026-06-10,323,2026-06-10,2026-06-10,Чинний,Голосіївська районна в місті Києві державна адміністрація,37308812,null,https://minio.kyivcity.gov.ua/kyivcity/sites/12/header/main-menu/administratsiia/rozporiadzhennia/rozporiadzhennia-za-2026-rik/323.pdf,null,null,null,null
322-2026-г,Розпорядження,"Про надання неповнолітньому ПІБ статусу дитини, позбавленої батьківського піклування",2026-06-10,322,2026-06-10,2026-06-10,Чинний,Голосіївська районна в місті Києві державна адміністрація,37308812,null,null,null,null,null,null
321-2026-г,Розпорядження,Про внесення змін до складу Опікунської ради при Голосіївській районній в місті Києві державній адміністрації,2026-06-10,321,2026-06-10,2026-06-10,Чинний,Голосіївська районна в місті Києві державна адміністрація,37308812,null,https://minio.kyivcity.gov.ua/kyivcity/sites/12/header/main-menu/administratsiia/rozporiadzhennia/rozporiadzhennia-za-2026-rik/321.pdf,null,null,null,null
320-2026-г,Розпорядження,Про призначення керівника робіт з ліквідації надзвичайної ситуації,2026-06-09,320,2026-06-10,2026-06-09,Чинний,Голосіївська районна в місті Києві державна адміністрація,37308812,null,https://minio.kyivcity.gov.ua/kyivcity/sites/12/header/main-menu/administratsiia/rozporiadzhennia/rozporiadzhennia-za-2026-rik/320.pdf,null,null,null,null
319-2026-г,Розпорядження,Про внесення змін до розпорядження Голосіївської районної в місті Києві державної адміністрації від 13.02.2026 № 63 «Про затвердження паспортів бюджетних програм на 2026 рік»,2026-06-08,319,2026-06-09,2026-06-08,Чинний,Голосіївська районна в місті Києві державна адміністрація,37308812,null,https://minio.kyivcity.gov.ua/kyivcity/sites/12/header/main-menu/administratsiia/rozporiadzhennia/rozporiadzhennia-za-2026-rik/319.pdf,null,null,null,null
318-2026-г,Розпорядження,Про негайне відібрання дитини ПІБ у матері ПІБ у зв'язку з безпосередньою загрозою для життя та здоров'я,2026-06-08,318,2026-06-08,2026-06-08,Чинний,Голосіївська районна в місті Києві державна адміністрація,37308812,null,null,null,null,null,null
317-2026-г,Розпорядження,Про проходження практики в Голосіївській районній в місті Києві державній адміністрації,2026-06-08,317,2026-06-08,2026-06-08,Чинний,Голосіївська районна в місті Києві державна адміністрація,37308812,null,https://minio.kyivcity.gov.ua/kyivcity/sites/12/header/main-menu/administratsiia/rozporiadzhennia/rozporiadzhennia-za-2026-rik/317.pdf,null,null,null,null
316-2026-г,Розпорядження,"Про затвердження списку одержувачів одноразової адресної матеріальної допомоги киянам, які опинилися в складних життєвих обставинах в результаті пошкодження чи руйнування житлового будинку (квартири) внаслідок надзвичайної ситуації воєнного характеру, спричиненої збройною агресією Російської Федерації проти України",2026-06-08,316,2026-06-08,2026-06-08,Чинний,Голосіївська районна в місті Києві державна адміністрація,37308812,null,null,null,null,null,null
315-2026-г,Розпорядження,"Про затвердження списку одержувачів одноразової адресної матеріальної допомоги киянам, які опинилися в складних життєвих обставинах в результаті пошкодження чи руйнування житлового будинку (квартири) внаслідок надзвичайної ситуації воєнного характеру, спричиненої збройною агресією Російської Федерації проти України",2026-06-08,315,2026-06-08,2026-06-08,Чинний,Голосіївська районна в місті Києві державна адміністрація,37308812,null,null,null,null,null,null
314-2026-г,Розпорядження,Про вибуття з прийомної сім'ї Перегуди вихованця ПІБ,2026-06-08,314,2026-06-08,2026-06-08,Чинний,Голосіївська районна в місті Києві державна адміністрація,37308812,null,null,null,null,null,null
313-2026-г,Розпорядження,"Про затвердження списку одержувачів одноразової адресної матеріальної допомоги киянам, які опинилися в складних життєвих обставинах в результаті пошкодження чи руйнування житлового будинку (квартири) внаслідок надзвичайної ситуації воєнного характеру, спричиненої збройною агресією Російської Федерації проти України",2026-06-05,313,2026-06-05,2026-06-05,Чинний,Голосіївська районна в місті Києві державна адміністрація,37308812,null,null,null,null,null,null
312-2026-г,Розпорядження,Про затвердження Положення про відділ торгівлі та споживчого ринку Голосіївської районної в місті Києві державної адміністрації,2026-06-05,312,2026-06-05,2026-06-05,Чинний,Голосіївська районна в місті Києві державна адміністрація,37308812,null,https://minio.kyivcity.gov.ua/kyivcity/sites/12/header/main-menu/administratsiia/rozporiadzhennia/rozporiadzhennia-za-2026-rik/312.pdf,null,null,null,null
311-2026-г,Розпорядження,Про внесення змін до розпорядження Голосіївської районної в місті Києві державної адміністрації від 13.02.2026 № 63 «Про затвердження паспортів бюджетних програм на 2026 рік»,2026-06-04,311,2026-06-09,2026-06-04,Чинний,Голосіївська районна в місті Києві державна адміністрація,37308812,null,https://minio.kyivcity.gov.ua/kyivcity/sites/12/header/main-menu/administratsiia/rozporiadzhennia/rozporiadzhennia-za-2026-rik/311.pdf,null,null,null,null
310-2026-г,Розпорядження,Про розгляд заяв про майно дітей,2026-06-03,310,2026-06-03,2026-06-03,Чинний,Голосіївська районна в місті Києві державна адміністрація,37308812,null,null,null,null,null,null
309-2026-г,Розпорядження,Про організацію навчання і перевірки знань з питань охорони праці,2026-06-02,309,2026-06-02,2026-06-02,Чинний,Голосіївська районна в місті Києві державна адміністрація,37308812,null,https://minio.kyivcity.gov.ua/kyivcity/sites/12/header/main-menu/administratsiia/rozporiadzhennia/rozporiadzhennia-za-2026-rik/309.pdf,null,null,null,null
308-2026-г,Розпорядження,"Про внесення змін до розпорядження Голосіївської районної в місті Києві державної адміністрації від 27.01.2026 № 28 «Про встановлення лімітів споживання теплової, електричної енергії, природного газу, водопостачання та водовідведення на 2026 рік для бюджетних установ та закладів, які перебувають у сфері управління Голосіївської районної в місті Києві державної адміністрації»",2026-06-02,308,2026-06-03,2026-06-02,Чинний,Голосіївська районна в місті Києві державна адміністрація,37308812,null,https://minio.kyivcity.gov.ua/kyivcity/sites/12/header/main-menu/administratsiia/rozporiadzhennia/rozporiadzhennia-za-2026-rik/308.pdf,null,null,null,null
