uid,type,title,registrationDate,issuedDate,text,url,creatorName,creatorId,publisherName,publisherId,note,comparisonTable,regulatoryImpactAnalysis
7-2026-ПН-259/101001610-pr,Розпорядження,"Про визнання таким, що втратило чинність розпорядження Голосіївської районної в місті Києві державної адміністрації від 31.08.2011 № 645",2026-04-29,2026-04-29,null,https://minio.kyivcity.gov.ua/kyivcity/sites/12/header/main-menu/administratsiia/rozporiadzhennia/proiekty-normatyvno-pravovykh-aktiv/2026/pro-vyznannia-takym-shcho-vtratylo-chynnist-rozporiadzhennia-holosiivskoi-rda-vid-31082011-645-proekt-rozp.pdf,Управління будівництва Голосіївської районної в місті Києві державної адміністрації,39612276,Голосіївська районна в місті Києві державна адміністрація,37308812,https://minio.kyivcity.gov.ua/kyivcity/sites/12/header/main-menu/administratsiia/rozporiadzhennia/proiekty-normatyvno-pravovykh-aktiv/2026/pro-vyznannia-takym-shcho-vtratylo-chynnist-rozporiadzhennia-holosiivskoi-rda-vid-31082011-645-poiasn-zapyska.pdf,null,null
6-2025-ПН-431/101000301-pr,Розпорядження,Про погодження розміру щомісячної плати за навчання дітей у мистецьких школах Голосіївського району м. Києва на 2025/2026 навчальний рік,2025-08-11,2025-08-11,null,https://minio.kyivcity.gov.ua/kyivcity/sites/12/header/main-menu/administratsiia/rozporiadzhennia/proiekty-normatyvno-pravovykh-aktiv/2025/Pro-pohodzhennia-rozmiru-shchomisiachnoi-platy-za-navchannia-ditei-u-mystetskykh-shkolakh-Holosiivskoho-raionu-m-Kyieva-na-2025-2026-navchalnyi-rik-proekt-rozp.pdf,Управління культури Голосіївської районної в місті Києві державної адміністрації,37413541,Голосіївська районна в місті Києві державна адміністрація,37308812,https://minio.kyivcity.gov.ua/kyivcity/sites/12/header/main-menu/administratsiia/rozporiadzhennia/proiekty-normatyvno-pravovykh-aktiv/2025/Pro-pohodzhennia-rozmiru-shchomisiachnoi-platy-za-navchannia-ditei-u-mystetskykh-shkolakh-Holosiivskoho-raionu-m-Kyieva-na-2025-2026-navchalnyi-rik-poiasn-zapyska.pdf,null,null
5-2025-ПН-325/1010023-pr,Розпорядження,"Про затвердження Порядку розгляду повідомлень про можливі факти корупційних або пов'язаних з корупцією правопорушень, інших порушень Закону України «Про запобігання корупції» у Голосіївській районній в місті Києві державній адміністрації",2025-06-16,2025-06-16,null,https://minio.kyivcity.gov.ua/kyivcity/sites/12/header/main-menu/administratsiia/rozporiadzhennia/proiekty-normatyvno-pravovykh-aktiv/2025/pro-vstanovlennia-vartosti-kharchuvannia-vykhovantsiv-u-zakladakh-doshkilnoi-osvity-komunalnoi-formy-vlasnosti-proekt-rozp.pdf,Голосіївська районна в місті Києві державна адміністрація,37308812,Голосіївська районна в місті Києві державна адміністрація,37308812,https://minio.kyivcity.gov.ua/kyivcity/sites/12/header/main-menu/administratsiia/rozporiadzhennia/proiekty-normatyvno-pravovykh-aktiv/2025/pro-zatverdzhennia-poriadku-rozghliadu-povidomlen-pro-mozhlyvi-fakty-koruptsiinykh-abo-poviazanykh-z-koruptsiieiu-pravoporushen-poiasn-zapyska.pdf,null,null
4-2025-ПН-304/101000401-pr,Розпорядження,Про встановлення вартості харчування вихованців у закладах дошкільної освіти комунальної форми власності Голосіївського району міста Києва та у дошкільному підрозділі Початкової школи «Барвінок» міста Києва,2025-06-05,2025-06-05,null,https://minio.kyivcity.gov.ua/kyivcity/sites/12/header/main-menu/administratsiia/rozporiadzhennia/proiekty-normatyvno-pravovykh-aktiv/2025/pro-vstanovlennia-vartosti-kharchuvannia-vykhovantsiv-u-zakladakh-doshkilnoi-osvity-komunalnoi-formy-vlasnosti-proekt-rozp.pdf,Управління освіти Голосіївської районної в місті Києві державної адміністрації,37479398,Голосіївська районна в місті Києві державна адміністрація,37308812,https://minio.kyivcity.gov.ua/kyivcity/sites/12/header/main-menu/administratsiia/rozporiadzhennia/proiekty-normatyvno-pravovykh-aktiv/2025/pro-vstanovlennia-vartosti-kharchuvannia-vykhovantsiv-u-zakladakh-doshkilnoi-osvity-komunalnoi-formy-vlasnosti-poiasn-zapyska.pdf,null,null
3-2025-ПН-237/101000601-pr,Розпорядження,"Про затвердження тарифів на соціальні послуги, що надаються Територіальним центром соціального обслуговування (надання соціальних послуг) Голосіївського району м. Києва, на 2025 рік",2025-04-24,2025-04-24,null,https://minio.kyivcity.gov.ua/kyivcity/sites/12/header/main-menu/administratsiia/rozporiadzhennia/proiekty-normatyvno-pravovykh-aktiv/2025/pro-zatverdzhennia-taryfiv-na-sotsposluhy-shcho-nadaiutsia-terytorialnym-tsentrom-sotsobsluhovuvannia-holosiivskoho-raionu-na-2025-rik-proiekt-rozp.pdf,Управління соціальної та ветеранської політики Голосіївської районної в місті Києві державної адміністрації,37414016,Голосіївська районна в місті Києві державна адміністрація,37308812,https://minio.kyivcity.gov.ua/kyivcity/sites/12/header/main-menu/administratsiia/rozporiadzhennia/proiekty-normatyvno-pravovykh-aktiv/2025/pro-zatverdzhennia-taryfiv-na-sotsposluhy-shcho-nadaiutsia-terytorialnym-tsentrom-sotsobsluhovuvannia-holosiivskoho-raionu-na-2025-rik-poiasn-zapyska.pdf,null,null
2-2025-ПН-150/1010018-pr,Розпорядження,"Про затвердження Положення про Тимчасову районну комісію з виявлення, переміщення та повернення покинутих (тривалий термін не використовуються за призначенням, мають суттєві ознаки втрати експлуатаційних можливостей) і знищених внаслідок військової агресії транспортних засобів на території Голосіївського району міста Києва",2025-03-14,2025-03-14,null,https://minio.kyivcity.gov.ua/kyivcity/sites/12/header/main-menu/administratsiia/rozporiadzhennia/proiekty-normatyvno-pravovykh-aktiv/2025/pro-zatverdzhennia-polozhennia-pro-tymchasovu-raionnu-komisiiu-z-vyiavlennia-znyshchenykh-transportnykh-zasobiv-proiekt-rozp.pdf,Голосіївська районна в місті Києві державна адміністрація,37308812,Голосіївська районна в місті Києві державна адміністрація,37308812,https://minio.kyivcity.gov.ua/kyivcity/sites/12/header/main-menu/administratsiia/rozporiadzhennia/proiekty-normatyvno-pravovykh-aktiv/2025/pro-zatverdzhennia-polozhennia-pro-tymchasovu-raionnu-komisiiu-z-vyiavlennia-znyshchenykh-transportnykh-zasobiv-poiasn-zapyska.pdf,null,null
1-2025-ПН-133/101000601-pr,Розпорядження,"Про визнання такими, що втратили чинність, деяких розпоряджень Голосіївської районної в місті Києві державної адміністрації",2025-03-05,2025-03-05,null,https://minio.kyivcity.gov.ua/kyivcity/sites/12/header/main-menu/administratsiia/rozporiadzhennia/proiekty-normatyvno-pravovykh-aktiv/2025/pro-vyznannia-takymy-shcho-vtratyly-chynnist-deiakykh-rozporiadzhen-hrda-proekt-rozp.pdf,Управління соціальної та ветеранської політики Голосіївської районної в місті Києві державної адміністрації,37414016,Голосіївська районна в місті Києві державна адміністрація,37308812,https://minio.kyivcity.gov.ua/kyivcity/sites/12/header/main-menu/administratsiia/rozporiadzhennia/proiekty-normatyvno-pravovykh-aktiv/2025/pro-vyznannia-takymy-shcho-vtratyly-chynnist-deiakykh-rozporiadzhen-hrda-poiasn-zapyska.pdf,null,null
3-2024-ПН-493/101000401-pr,Розпорядження,"Про організацію у 2024/2025 навчальному році безоплатного харчування окремих категорій учнів закладів загальної середньої освіти Голосіївського району міста Києва, заснованих на комунальній власності територіальної громади міста Києва",2024-09-11,2024-09-11,null,https://minio.kyivcity.gov.ua/kyivcity/sites/12/header/main-menu/administratsiia/rozporiadzhennia/proiekty-normatyvno-pravovykh-aktiv/2024/491-draft-ordinance.pdf,Управління освіти Голосіївської районної в місті Києві державної адміністрації,37479398,Голосіївська районна в місті Києві державна адміністрація,37308812,https://minio.kyivcity.gov.ua/kyivcity/sites/12/header/main-menu/administratsiia/rozporiadzhennia/proiekty-normatyvno-pravovykh-aktiv/2024/491-explanatory-note.pdf,null,null
2-2024-ПН-422/1010003011-pr,Розпорядження,Про погодження розміру плати за навчання у мистецьких школах Голосіївського району м. Києва на 2024/2025 навчальний рік,2024-07-23,2024-07-23,null,https://minio.kyivcity.gov.ua/kyivcity/sites/12/header/main-menu/administratsiia/rozporiadzhennia/proiekty-normatyvno-pravovykh-aktiv/2024/431-draft-ordinance.pdf,Управління культури Голосіївської районної в місті Києві державної адміністрації,37413541,Голосіївська районна в місті Києві державна адміністрація,37308812,https://minio.kyivcity.gov.ua/kyivcity/sites/12/header/main-menu/administratsiia/rozporiadzhennia/proiekty-normatyvno-pravovykh-aktiv/2024/431-explanatory-note.pdf,null,null
1-2024-ПН-210/101000601-pr,Розпорядження,"Про затвердження тарифів на соціальні послуги, що надаються Територіальним центром соціального обслуговування (надання соціальних послуг) Голосіївського району м. Києва на 2024 рік",2024-04-09,2024-04-09,null,https://minio.kyivcity.gov.ua/kyivcity/sites/12/header/main-menu/administratsiia/rozporiadzhennia/proiekty-normatyvno-pravovykh-aktiv/2024/241-draft-ordinance.pdf,Управління соціальної та ветеранської політики Голосіївської районної в місті Києві державної адміністрації,37414016,Голосіївська районна в місті Києві державна адміністрація,37308812,https://minio.kyivcity.gov.ua/kyivcity/sites/12/header/main-menu/administratsiia/rozporiadzhennia/proiekty-normatyvno-pravovykh-aktiv/2024/241-explanatory-note.pdf,null,null
9-2023-ПН-409/101000301-pr,Розпорядження,Про погодження розміру плати за навчання у мистецьких школах Голосіївського району м. Києва на 2023/2024 навчальний рік,2023-08-18,2023-08-18,null,https://minio.kyivcity.gov.ua/kyivcity/sites/12/header/main-menu/administratsiia/rozporiadzhennia/proiekty-normatyvno-pravovykh-aktiv/2023/404-draft-ordinance.pdf,Управління культури Голосіївської районної в місті Києві державної адміністрації,37413541,Голосіївська районна в місті Києві державна адміністрація,37308812,https://minio.kyivcity.gov.ua/kyivcity/sites/12/header/main-menu/administratsiia/rozporiadzhennia/proiekty-normatyvno-pravovykh-aktiv/2023/404-explanatory-note.pdf,null,null
8-2023-ПН-391/101000401-pr,Розпорядження,"Про організацію у 2023/2024 навчальному році безоплатного харчування для учнів закладів загальної середньої освіти Голосіївського району міста Києва, заснованих на комунальній власності територіальної громади міста Києва",2023-08-10,2023-08-10,null,https://minio.kyivcity.gov.ua/kyivcity/sites/12/header/main-menu/administratsiia/rozporiadzhennia/proiekty-normatyvno-pravovykh-aktiv/2023/403-draft-ordinance.pdf,Управління освіти Голосіївської районної в місті Києві державної адміністрації,37479398,Голосіївська районна в місті Києві державна адміністрація,37308812,https://minio.kyivcity.gov.ua/kyivcity/sites/12/header/main-menu/administratsiia/rozporiadzhennia/proiekty-normatyvno-pravovykh-aktiv/2023/403-explanatory-note.pdf,null,null
