uid,type,title,acceptedDate,number,issuedDate,validFrom,status,publisherName,publisherId,text,url,registrationNumber,registrationDate,registratorName,registratorId
2024-1,Розпорядження,Про поновлення та зняття з соціального квартирного обліку,2024-01-02,1,2024-01-02,null,Чинний,Дніпровська районна в місті Києві державна адміністрація,37203257,null,https://dnipr.kyivcity.gov.ua/acts/rozporiadzhennia-vid-02012024-1-pro-ponovlennia-ta-zniattia-z-sotsialnoho-kvartyrnoho-obliku,null,null,null,null
2024-2,Розпорядження,"Про облік громадян, що потребують житла для тимчасового проживання",2024-01-02,2,2024-01-02,null,Чинний,Дніпровська районна в місті Києві державна адміністрація,37203257,null,https://dnipr.kyivcity.gov.ua/acts/rozporiadzhennia-vid-02012024-2-pro-oblik-hromadian-shcho-potrebuiut-zhytla-dlia-tymchasovoho-prozhyvannia,null,null,null,null
2024-3,Розпорядження,"Про облік громадян, що потребують житла для тимчасового проживання",2024-01-03,3,2024-01-03,null,Чинний,Дніпровська районна в місті Києві державна адміністрація,37203257,null,https://dnipr.kyivcity.gov.ua/acts/rozporiadzhennia-vid-03012024-3-pro-oblik-hromadian-shcho-potrebuiut-zhytla-dlia-tymchasovoho-prozhyvannia,null,null,null,null
2024-4,Розпорядження,Про затвердження Зведеної номенклатури справ Дніпровської районної в місті Києві державної адміністрації на 2025 рік,2024-01-03,785,2024-01-03,null,Чинний,Дніпровська районна в місті Києві державна адміністрація,37203257,null,https://dnipr.kyivcity.gov.ua/acts/rozporiadzhennia-vid-0312024-785-pro-zatverdzhennia-zvedenoi-nomenklatury-sprav-dniprovskoi-raionnoi-v-misti-kyievi-derzhavnoi-administratsii-na-2025-rik,null,null,null,null
2024-5,Розпорядження,"Про присвоєння поштової адреси новозбудованому обєкту нерухомого майна на вулиці Марка Черемшини, 15-А",2024-01-04,4,2024-01-04,null,Чинний,Дніпровська районна в місті Києві державна адміністрація,37203257,null,https://dnipr.kyivcity.gov.ua/acts/rozporiadzhennia-vid-04012024-4-pro-prysvoiennia-poshtovoi-adresy-novozbudovanomu-obiektu-nerukhomoho-maina-na-vulytsi-marka-cheremshyny-15-a,null,null,null,null
2024-6,Розпорядження,Про оголошення електронного аукціону про передачу нерухомого майна комунальної власності територіальної громади міста Києва в оренду,2024-01-05,5,2024-01-05,null,Чинний,Дніпровська районна в місті Києві державна адміністрація,37203257,null,https://dnipr.kyivcity.gov.ua/acts/rozporiadzhennia-vid-05012024-5-pro-oholoshennia-elektronnoho-auktsionu-pro-peredachu-nerukhomoho-maina-komunalnoi-vlasnosti-terytorialnoi-hromady-mista-kyieva-v-orendu,null,null,null,null
2024-7,Розпорядження,"Про облік громадян, що потребують житла для тимчасового проживання",2024-01-05,6,2024-01-05,null,Чинний,Дніпровська районна в місті Києві державна адміністрація,37203257,null,https://dnipr.kyivcity.gov.ua/acts/rozporiadzhennia-vid-05012024-6-pro-oblik-hromadian-shcho-potrebuiut-zhytla-dlia-tymchasovoho-prozhyvannia,null,null,null,null
2024-8,Розпорядження,Про затвердження структур дитячо-юнацьких спортивних шкіл,2024-01-05,7,2024-01-05,null,Чинний,Дніпровська районна в місті Києві державна адміністрація,37203257,null,https://dnipr.kyivcity.gov.ua/acts/rozporiadzhennia-vid-05012024-7-pro-zatverdzhennia-struktur-dytiacho-iunatskykh-sportyvnykh-shkil,null,null,null,null
2024-9,Розпорядження,"Про облік громадян, що потребують житла для тимчасового проживання",2024-01-05,8,2024-01-05,null,Чинний,Дніпровська районна в місті Києві державна адміністрація,37203257,null,https://dnipr.kyivcity.gov.ua/acts/rozporiadzhennia-vid-05012024-8-pro-oblik-hromadian-shcho-potrebuiut-zhytla-dlia-tymchasovoho-prozhyvannia,null,null,null,null
2024-10,Розпорядження,Про включення до Переліку другого типу та укладання договору оренди,2024-01-09,9,2024-01-09,null,Чинний,Дніпровська районна в місті Києві державна адміністрація,37203257,null,https://dnipr.kyivcity.gov.ua/acts/rozporiadzhennia-vid-09012024-9-pro-vkliuchennia-do-pereliku-druhoho-typu-ta-ukladannia-dohovoru-orendy,null,null,null,null
