uid,type,title,acceptedDate,number,issuedDate,validFrom,status,publisherName,publisherId,text,url,registrationNumber,registrationDate,registratorName,registratorId
1-2024,Розпорядження,"Про облік громадян, які потребують житла для тимчасового проживання",2024-01-01,1,null,2024-01-01,Чинний,Дарницька районна в місті Києві державна адміністрація,37388222,null,null,null,null,null,null
2-2024,Розпорядження,Про влаштування малолітньої дитини до навчально-реабілітаційного центру № 21 Оболонського району м. Києва,2024-01-01,2,null,2024-01-01,Чинний,Дарницька районна в місті Києві державна адміністрація,37388222,null,null,null,null,null,null
3-2024,Розпорядження,Про призначення грошової компенсації за належне для отримання жиле приміщення,2024-01-01,3,null,2024-01-01,Чинний,Дарницька районна в місті Києві державна адміністрація,37388222,null,null,null,null,null,null
4-2024,Розпорядження,Про перерахунок грошової компенсації за належні для отримання жилі приміщення,2024-01-02,4,null,2024-01-02,Чинний,Дарницька районна в місті Києві державна адміністрація,37388222,null,null,null,null,null,null
5-2024,Розпорядження,Про встановлення опіки над дітьми,2024-01-03,5,null,2024-01-03,Втрата чинності,Дарницька районна в місті Києві державна адміністрація,37388222,null,null,null,null,null,null
6-2024,Розпорядження,"Про затвердження списку одержувачів одноразової адресної матеріальної допомоги, які опинилися в складних життєвих обставинах в результаті пошкодження чи руйнування житлового будинку (квартири) внаслідок надзвичайної ситуації воєнного характеру, спричиненої збройною агресією Російської Федерації проти України, у Дарницькому районі міста Києва",2024-01-03,6,null,2024-01-03,Чинний,Дарницька районна в місті Києві державна адміністрація,37388222,null,null,null,null,null,null
7-2024,Розпорядження,"Про створення комісії з перевірки горищ, технічних поверхів і приміщень багатоквартирних будинків та будівель",2024-01-08,7,null,2024-01-08,Чинний,Дарницька районна в місті Києві державна адміністрація,37388222,null,null,null,null,null,null
8-2024,Розпорядження,Про надання дозволу на вчинення правочину,2024-01-08,8,null,2024-01-08,Чинний,Дарницька районна в місті Києві державна адміністрація,37388222,null,null,null,null,null,null
9-2024,Розпорядження,"Про облік громадян, які потребують житла для тимчасового проживання",2024-01-08,9,null,2024-01-08,Чинний,Дарницька районна в місті Києві державна адміністрація,37388222,null,null,null,null,null,null
10-2024,Розпорядження,Про внесення змін до умов договору про передачу майна територіальної громади міста Києва в оренду,2024-01-08,10,null,2024-01-08,Чинний,Дарницька районна в місті Києві державна адміністрація,37388222,null,null,null,null,null,null
11-2024,Розпорядження,"Про облік громадян, які потребують житла для тимчасового проживання",2024-01-09,11,null,2024-01-09,Чинний,Дарницька районна в місті Києві державна адміністрація,37388222,null,null,null,null,null,null
