uid,type,title,acceptedDate,number,issuedDate,validFrom,status,publisherName,publisherId,text,url,registrationNumber,registrationDate,registratorName,registratorId
2024-1,Розпорядження РДА,Про затвердження фінансового плану на 2024 рік комунального некомерційного підприємства «Консультативно-діагностичний центр» Подільського району м. Києва,2024-01-02,1,2024-01-02,2024-01-02,Чинний,Подільська районна в місті Києві державна адміністрація,37333608,null,https://minio.kyivcity.gov.ua/kyivcity/sites/15/2024/1/3/1.1.pdf,null,null,null,null
2024-2,Розпорядження РДА,"Про затвердження передавального акту прав, зобов'язань та майна Спеціалізованої дитячо-юнацької школи олімпійського резерву м. Києва з легкої атлетики",2024-01-03,2,null,2024-01-03,Чинний,Подільська районна в місті Києві державна адміністрація,37333608,null,null,null,null,null,null
2024-3,Розпорядження РДА,Про створення робочої групи для забезпечення оповіщення військовозобов'язаних та виявлення і залучення транспортних засобів у підприємств-власників,2024-01-04,3,null,2024-01-04,Чинний,Подільська районна в місті Києві державна адміністрація,37333608,null,null,null,null,null,null
2024-4,Розпорядження РДА,Про призначення на посаду директора позашкільного навчального закладу «Дитячо-юнацька спортивна школа №4» Подільського району м. Києва,2024-01-04,4,null,2024-01-04,Чинний,Подільська районна в місті Києві державна адміністрація,37333608,null,null,null,null,null,null
2024-5,Розпорядження РДА,Про затвердження Статуту позашкільного навчального закладу «Дитячо-юнацька спортивна школа № 4» Подільського району м. Києва,2024-01-05,5,2024-01-05,2024-01-05,Чинний,Подільська районна в місті Києві державна адміністрація,37333608,null,https://minio.kyivcity.gov.ua/kyivcity/uploads/public/693/2e5/ee5/6932e5ee511b0506884361.pdf,null,null,null,null
2024-6,Розпорядження РДА,Про введення в дію штатного розпису Подільської районної в місті Києві державної адміністрації,2024-01-05,6,2024-01-05,2024-01-05,Внесення змін,Подільська районна в місті Києві державна адміністрація,37333608,null,https://minio.kyivcity.gov.ua/kyivcity/uploads/public/693/2e5/058/6932e50582b80406776679.pdf,null,null,null,null
2024-7,Розпорядження РДА,Про внесення змін до розпорядження Подільської районної в місті Києві державної адміністрації від 04.05.2017 № 310 «Про створення підготовчої групи з проведення громадського звіту про роботу Подільської районної в місті Києві державної адміністрації»,2024-01-05,7,2024-01-05,2024-01-05,Втратив чинність,Подільська районна в місті Києві державна адміністрація,37333608,null,https://minio.kyivcity.gov.ua/kyivcity/uploads/public/693/2e3/87b/6932e387bb0dd102331315.pdf,null,null,null,null
2024-8,Розпорядження РДА,Про деякі питання соціального квартирного обліку,2024-01-08,8,null,2024-01-08,Чинний,Подільська районна в місті Києві державна адміністрація,37333608,null,null,null,null,null,null
2024-9,Розпорядження РДА,"Про надання дозволу на укладання договору купівлі-продажу 1/4 частини квартири, власником якої є недієздатна особа",2024-01-08,9,null,2024-01-08,Чинний,Подільська районна в місті Києві державна адміністрація,37333608,null,null,null,null,null,null
2024-10,Розпорядження РДА,Про внесення змін до розпорядження Подільської районної в місті Києві державної адміністрації від 21.09.2023 № 752 «Про утворення Координаційного центру підтримки цивільного населення при Подільській районній в місті Києві державній адміністрації»,2024-01-09,10,2024-01-09,2024-01-09,Чинний,Подільська районна в місті Києві державна адміністрація,37333608,null,https://minio.kyivcity.gov.ua/kyivcity/uploads/public/693/2e2/23b/6932e223b1e47148377754.pdf,null,null,null,null
2024-11,Розпорядження РДА,"Про надання житлового приміщення для тимчасового проживання з фонду житла, призначеного для тимчасового проживання внутрішньо переміщених осіб",2024-01-09,11,null,2024-01-09,Чинний,Подільська районна в місті Києві державна адміністрація,37333608,null,null,null,null,null,null
2024-12,Розпорядження РДА,"Про взяття на облік громадян, що потребують надання житлового приміщення для тимчасового проживання з фонду житла, призначеного для тимчасового проживання внутрішньо переміщених осіб",2024-01-09,12,null,2024-01-09,Чинний,Подільська районна в місті Києві державна адміністрація,37333608,null,null,null,null,null,null
2024-13,Розпорядження РДА,Про вирішення питання щодо місця проживання дитини,2024-01-11,13,null,2024-01-11,Чинний,Подільська районна в місті Києві державна адміністрація,37333608,null,null,null,null,null,null
2024-14,Розпорядження РДА,Про стан військового обліку на території Подільського району міста Києва у 2023 році та завдання щодо його поліпшення у 2024 році,2024-01-12,14,2024-01-12,2024-01-12,Чинний,Подільська районна в місті Києві державна адміністрація,37333608,null,https://minio.kyivcity.gov.ua/kyivcity/uploads/public/693/2e0/5cd/6932e05cd4f82663165847.pdf,null,null,null,null
2024-15,Розпорядження РДА,Про призначення відповідальної особи з питань безбар'єрності,2024-01-12,15,2024-01-12,2024-01-12,Чинний,Подільська районна в місті Києві державна адміністрація,37333608,null,https://minio.kyivcity.gov.ua/kyivcity/uploads/public/693/2de/fd1/6932defd1bdbd353502424.pdf,null,null,null,null
2024-16,Розпорядження РДА,Про внесення змін до розпорядження Подільської районної в місті Києві державної адміністрації від 07.08.2020 № 549 «Про затвердження складу районної громадської комісії з житлових питань при Подільській районній в місті Києві державній адміністрації»,2024-01-12,16,2024-01-12,2024-01-12,Чинний,Подільська районна в місті Києві державна адміністрація,37333608,null,https://minio.kyivcity.gov.ua/kyivcity/uploads/public/693/2db/cb5/6932dbcb5671a073906548.pdf,null,null,null,null
2024-17,Розпорядження РДА,"Про надання статусу дитини, яка постраждала внаслідок воєнних дій та збройних конфліктів",2024-01-12,17,null,2024-01-12,Чинний,Подільська районна в місті Києві державна адміністрація,37333608,null,null,null,null,null,null
2024-18,Розпорядження РДА,"Про надання статусу дитини, яка постраждала внаслідок воєнних дій та збройних конфліктів",2024-01-12,18,null,2024-01-12,Чинний,Подільська районна в місті Києві державна адміністрація,37333608,null,null,null,null,null,null
2024-19,Розпорядження РДА,"Про надання статусу дитини, яка постраждала внаслідок воєнних дій та збройних конфліктів",2024-01-12,19,null,2024-01-12,Чинний,Подільська районна в місті Києві державна адміністрація,37333608,null,null,null,null,null,null
2024-20,Розпорядження РДА,"Про надання статусу дитини, яка постраждала внаслідок воєнних дій та збройних конфліктів",2024-01-12,20,null,2024-01-12,Чинний,Подільська районна в місті Києві державна адміністрація,37333608,null,null,null,null,null,null
2024-21,Розпорядження РДА,"Про надання статусу дитини, яка постраждала внаслідок воєнних дій та збройних конфліктів",2024-01-12,21,null,2024-01-12,Чинний,Подільська районна в місті Києві державна адміністрація,37333608,null,null,null,null,null,null
2024-22,Розпорядження РДА,"Про надання статусу дитини, яка постраждала внаслідок воєнних дій та збройних конфліктів",2024-01-12,22,null,2024-01-12,Чинний,Подільська районна в місті Києві державна адміністрація,37333608,null,null,null,null,null,null
2024-23,Розпорядження РДА,"Про організацію роботи по прийому заяв одержувачів одноразової адресної матеріальної допомоги, які опинилися в складних життєвих обставинах в результаті пошкодження чи руйнування житлового будинку (квартири) внаслідок надзвичайної ситуації воєнного характеру, спричиненої збройною агресією Російської Федерації проти України",2024-01-12,23,2024-01-12,2024-01-12,Чинний,Подільська районна в місті Києві державна адміністрація,37333608,null,https://minio.kyivcity.gov.ua/kyivcity/uploads/public/693/2da/4a1/6932da4a1bd78327037546.pdf,null,null,null,null
2024-24,Розпорядження РДА,Про передачу в оренду нежитлових приміщень комунальної власності територіальної громади міста Києва без проведення аукціону,2024-01-12,24,2024-01-12,2024-01-12,Чинний,Подільська районна в місті Києві державна адміністрація,37333608,null,https://minio.kyivcity.gov.ua/kyivcity/uploads/public/693/2d8/9c3/6932d89c368b9226674989.pdf,null,null,null,null
2024-25,Розпорядження РДА,Про затвердження протоколу про результати електронного аукціону № LLE001-UA-20231206-53367 та укладення договору оренди,2024-01-15,25,2024-01-15,2024-01-15,Чинний,Подільська районна в місті Києві державна адміністрація,37333608,null,https://minio.kyivcity.gov.ua/kyivcity/uploads/public/693/2d5/23a/6932d523a71cc236690043.pdf,null,null,null,null
2024-26,Розпорядження РДА,Про затвердження протоколу про результати електронного аукціону № LLE001-UA-20231206-25940 та укладення договору оренди,2024-01-15,26,2024-01-15,2024-01-15,Чинний,Подільська районна в місті Києві державна адміністрація,37333608,null,https://minio.kyivcity.gov.ua/kyivcity/uploads/public/693/2d3/796/6932d37963e7e434992822.pdf,null,null,null,null
2024-27,Розпорядження РДА,Про оголошення Подяки Подільської районної в місті Києві державної адміністрації,2024-01-16,27,null,2024-01-16,Чинний,Подільська районна в місті Києві державна адміністрація,37333608,null,null,null,null,null,null
2024-28,Розпорядження РДА,Про розгляд заяв громадян з житлових питань,2024-01-16,28,null,2024-01-16,Чинний,Подільська районна в місті Києві державна адміністрація,37333608,null,null,null,null,null,null
2024-29,Розпорядження РДА,"Про взяття на облік громадян, що потребують надання житлового приміщення для тимчасового проживання з фонду житла, призначеного для тимчасового проживання внутрішньо переміщених осіб",2024-01-16,29,null,2024-01-16,Чинний,Подільська районна в місті Києві державна адміністрація,37333608,null,null,null,null,null,null
2024-30,Розпорядження РДА,Про внесення змін до розпорядження Подільської районної в місті Києві державної адміністрації від 25.12.2012 № 906 «Про виключення житлової площі із числа службових жилих приміщень КП «Дирекція з управління та обслуговування житлового фонду Подільського району»,2024-01-16,30,null,2024-01-16,Чинний,Подільська районна в місті Києві державна адміністрація,37333608,null,null,null,null,null,null
2024-31,Розпорядження РДА,Про внесення змін до договорів найму жилих приміщень,2024-01-16,31,null,2024-01-16,Чинний,Подільська районна в місті Києві державна адміністрація,37333608,null,null,null,null,null,null
2024-32,Розпорядження РДА,Про оголошення Подяки Подільської районної в місті Києві державної адміністрації,2024-01-17,32,null,2024-01-17,Чинний,Подільська районна в місті Києві державна адміністрація,37333608,null,null,null,null,null,null
2024-33,Розпорядження РДА,Про призначення опікуна неповнолітній дитині,2024-01-17,33,null,2024-01-17,Чинний,Подільська районна в місті Києві державна адміністрація,37333608,null,null,null,null,null,null
