uid,type,title,acceptedDate,number,issuedDate,validFrom,status,publisherName,publisherId,text,url,registrationNumber,registrationDate,registratorName,registratorId
2025-1,Розпорядження КМДА,"Про встановлення тарифів на теплову енергію, що виробляється на установках з використанням альтернативних джерел енергії, комунальному підприємству «Керуюча компанія з обслуговування житлового фонду Подільського району м. Києва» для населення",2025-06-09,1,null,null,Втрата чинності,Київська міська державна адміністрація,00022527,null,https://kyivcity.gov.ua/npa/rozporyadzhennya_vikonavchogo_organu_kivsko_misko_radi_kivsko_misko_derzhavno_administratsi_pro_vstanovlennya_tarifiv_na_teplovu_energiyu_scho_viroblyayetsya_na_ustanovkakh_z_vikoristannyam_alternativnikh_dzherel_energi_komunalnomu_pidpriyemstvu_keruyucha/,null,null,null,null
2025-2,Розпорядження КМДА,"Про встановлення тарифу на послуги з користування громадськими вбиральнями, які надає Спеціалізоване водогосподарське комунальне підприємство виконавчого органу Київської міської ради (Київської міської державної адміністрації) «Київводфонд»",2025-06-09,2,null,null,Чинний,Київська міська державна адміністрація,00022527,null,https://kyivcity.gov.ua/npa/rozporyadzhennya_vikonavchogo_organu_kivsko_misko_radi_kivsko_misko_derzhavno_administratsi_pro_vstanovlennya_tarifu_na_poslugi_z_koristuvannya_gromadskimi_vbiralnyami_yaki_nadaye_spetsializovane_vodogospodarske_komunalne_pidpriyemstvo_vikonavchogo_organu/,null,null,null,null
2025-3,Розпорядження КМДА,"Про встановлення тарифів на теплову енергію, що виробляється на установках з використанням альтернативних джерел енергії, ТОВАРИСТВУ З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ «ДОМОБУДІВЕЛЬНА КОМПАНІЯ РОСИЧІ» для установ та організацій, що фінансуються з державного чи місцевого бюджету",2025-06-09,3,null,null,Чинний,Київська міська державна адміністрація,00022527,null,https://kyivcity.gov.ua/npa/rozporyadzhennya_vikonavchogo_organu_kivsko_misko_radi_kivsko_misko_derzhavno_administratsi_pro_vstanovlennya_tarifiv_na_teplovu_energiyu_scho_viroblyayetsya_na_ustanovkakh_z_vikoristannyam_alternativnikh_dzherel_energi_tovaristvu_z_obmezhenoyu_vidpovidal/,null,null,null,null
2025-4,Розпорядження КМДА,"Про встановлення тарифів на теплову енергію, що виробляється на установках з використанням альтернативних джерел енергії, ТОВАРИСТВУ З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ «МІОС» для установ та організацій, що фінансуються з державного чи місцевого бюджету",2025-06-09,4,null,null,Втрата чинності,Київська міська державна адміністрація,00022527,null,https://kyivcity.gov.ua/npa/rozporyadzhennya_vikonavchogo_organu_kivsko_misko_radi_kivsko_misko_derzhavno_administratsi_pro_vstanovlennya_tarifiv_na_teplovu_energiyu_scho_viroblyayetsya_na_ustanovkakh_z_vikoristannyam_alternativnikh_dzherel_energi_tovaristvu_z_obmezhenoyu_vi/,null,null,null,null
2025-5,Розпорядження КМДА,"Про встановлення тарифів на теплову енергію, що виробляється на установках з використанням альтернативних джерел енергії, ТОВАРИСТВУ З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ «ЕНЕРГОЕКСПЕРТ» для установ та організацій, що фінансуються з державного чи місцевого бюджету",2025-06-09,5,null,null,Втрата чинності,Київська міська державна адміністрація,00022527,null,https://kyivcity.gov.ua/npa/rozporyadzhennya_vikonavchogo_organu_kivsko_misko_radi_kivsko_misko_derzhavno_administratsi_pro_vstanovlennya_tarifiv_na_teplovu_energiyu_scho_viroblyayetsya_na_ustanovkakh_z_vikoristannyam_alternativnikh_dzherel_energi_tovaristvu_z_obmezhenoyu_vi_1026400/,null,null,null,null
2025-6,Розпорядження КМДА,"Про встановлення тарифів на теплову енергію, що виробляється на установках з використанням альтернативних джерел енергії, Малому приватному підприємству «В П К» для установ та організацій, що фінансуються з державного чи місцевого бюджету",2025-06-09,6,null,null,Чинний,Київська міська державна адміністрація,00022527,null,https://kyivcity.gov.ua/npa/rozporyadzhennya_vikonavchogo_organu_kivsko_misko_radi_kivsko_misko_derzhavno_administratsi_pro_vstanovlennya_tarifiv_na_teplovu_energiyu_scho_viroblyayetsya_na_ustanovkakh_z_vikoristannyam_alternativnikh_dzherel_energi_malomu_privatnomu_pidpriyemstvu_v_p/,null,null,null,null
2025-7,Розпорядження КМДА,"Про встановлення тарифів на теплову енергію, що виробляється на установках з використанням альтернативних джерел енергії, Приватному підприємству «Єврофасадбуд 2» для установ та організацій, що фінансуються з державного чи місцевого бюджету",2025-06-09,7,null,null,Втрата чинності,Київська міська державна адміністрація,00022527,null,https://kyivcity.gov.ua/npa/rozporyadzhennya_vikonavchogo_organu_kivsko_misko_radi_kivsko_misko_derzhavno_administratsi_pro_vstanovlennya_tarifiv_na_teplovu_energiyu_scho_viroblyayetsya_na_ustanovkakh_z_vikoristannyam_alternativnikh_dzherel_energi_privatnomu_pidpriyemstvu_yevrofasad/,null,null,null,null
2025-8,Розпорядження КМДА,"Про встановлення тарифів на теплову енергію, що виробляється на установках з використанням альтернативних джерел енергії, ТОВАРИСТВУ З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ «ФІЛАЙТ» для установ та організацій, що фінансуються з державного чи місцевого бюджету",2025-06-09,8,null,null,Чинний,Київська міська державна адміністрація,00022527,null,https://kyivcity.gov.ua/npa/rozporyadzhennya_vikonavchogo_organu_kivsko_misko_radi_kivsko_misko_derzhavno_administratsi_pro_vstanovlennya_tarifiv_na_teplovu_energiyu_scho_viroblyayetsya_na_ustanovkakh_z_vikoristannyam_alternativnikh_dzherel_energi_tovaristvu_z_obmezhenoyu_vi_1026406/,null,null,null,null
2025-9,Розпорядження КМДА,"Про встановлення тарифів на теплову енергію, що виробляється на установках з використанням альтернативних джерел енергії, ТОВАРИСТВУ З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ «ЕКОБУДТЕХ» для установ та організацій, що фінансуються з державного чи місцевого бюджету",2025-06-09,9,null,null,Втрата чинності,Київська міська державна адміністрація,00022527,null,https://kyivcity.gov.ua/npa/rozporyadzhennya_vikonavchogo_organu_kivsko_misko_radi_kivsko_misko_derzhavno_administratsi_pro_vstanovlennya_tarifiv_na_teplovu_energiyu_scho_viroblyayetsya_na_ustanovkakh_z_vikoristannyam_alternativnikh_dzherel_energi_tovaristvu_z_obmezhenoyu_vi_1026408/,null,null,null,null
2025-10,Розпорядження КМДА,"Про встановлення тарифів на теплову енергію, що виробляється на установках з використанням альтернативних джерел енергії, ТОВАРИСТВУ З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ «ЛІДЕРАЙ» для установ та організацій, що фінансуються з державного чи місцевого бюджету",2025-06-09,10,null,null,Втрата чинності,Київська міська державна адміністрація,00022527,null,https://kyivcity.gov.ua/npa/rozporyadzhennya_vikonavchogo_organu_kivsko_misko_radi_kivsko_misko_derzhavno_administratsi_pro_vstanovlennya_tarifiv_na_teplovu_energiyu_scho_viroblyayetsya_na_ustanovkakh_z_vikoristannyam_alternativnikh_dzherel_energi_tovaristvu_z_obmezhenoyu_vi_1026410/,null,null,null,null
