uid,type,title,acceptedDate,number,issuedDate,validFrom,status,publisherName,publisherId,text,url,registrationNumber,registrationDate,registratorName,registratorId
2024-1,Розпорядження міського голови,Про утворення Комісії з питань призначення щорічних стипендій видатним діячам культури і мистецтва м. Києва та комісії з питань призначення довічних стипендій видатним діячам культури і мистецтва,2024-01-03,1,null,null,Внесення змін,Київська міська державна адміністрація,00022527,null,https://kyivcity.gov.ua/npa/pro_utvorennya_komisi_z_pitan_priznachennya_schorichnikh_stipendiy_vidatnim_diyacham_kulturi_i_mistetstva_m_kiyeva_ta_komisi_z_pitan_priznachennya_dovichnikh_stipendiy_vidatnim_diyacham_kulturi_i_mistetstva/,null,null,null,null
2024-2,Розпорядження міського голови,"Про внесення змін до Порядку підготовки, погодження та видання розпоряджень Київського міського голови",2024-01-03,2,null,null,Чинний,Київська міська державна адміністрація,00022527,null,https://kyivcity.gov.ua/npa/pro_vnesennya_zmin_do_poryadku_pidgotovki_pogodzhennya_ta_vidannya_rozporyadzhen_kivskogo_miskogo_golovi_997305/,null,null,null,null
2024-3,Розпорядження міського голови,Про проведення 18 січня 2024 року пленарного засідання ІІ сесії Київської міської ради ІХ скликання,2024-01-05,10,null,null,Чинний,Київська міська державна адміністрація,00022527,null,https://kyivcity.gov.ua/npa/pro_provedennya_18_sichnya_2024_roku_plenarnogo_zasidannya_ii_sesi_kivsko_misko_radi_ikh_sklikannya/,null,null,null,null
2024-4,Розпорядження міського голови,Про затвердження Статуту комунального підприємства «Школярик» Шевченківського району м. Києва,2024-01-09,17,null,null,Внесення змін,Київська міська державна адміністрація,00022527,null,null,null,null,null,null
2024-5,Розпорядження міського голови,Про затвердження Статуту комунального підприємства «Школяр» Шевченківського району м. Києва,2024-01-09,18,null,null,Чинний,Київська міська державна адміністрація,00022527,null,null,null,null,null,null
2024-6,Розпорядження міського голови,Про затвердження Статуту Комунального підприємства «Шкільне харчування»,2024-01-09,19,null,null,Чинний,Київська міська державна адміністрація,00022527,null,null,null,null,null,null
2024-7,Розпорядження міського голови,"Про підготовку річного звіту про діяльність структурних підрозділів виконавчого органу Київської міської ради (Київської міської державної адміністрації), районних в місті Києві державних адміністрацій, підприємств, установ, організацій територіальної громади міста Києва за 2023 рік",2024-01-11,20,null,null,Чинний,Київська міська державна адміністрація,00022527,null,https://kyivcity.gov.ua/npa/pro_pidgotovku_richnogo_zvitu_pro_diyalnist_strukturnikh_pidrozdiliv_vikonavchogo_organu_kivsko_misko_radi_kivsko_misko_derzhavno_administratsi_rayonnikh_v_misti_kiyevi_derzhavnikh_administratsiy_pidpriyemstv_ustanov_organizatsiy_teritorialno_gromadi_mist/,null,null,null,null
2024-8,Розпорядження міського голови,Про внесення змін до розпорядження Київського міського голови від 08 квітня 2022 року № 170,2024-01-11,22,null,null,Чинний,Київська міська державна адміністрація,00022527,null,https://kyivcity.gov.ua/npa/pro_vnesennya_zmin_do_rozporyadzhennya_kivskogo_miskogo_golovi_vid_08_kvitnya_2022_roku__170_998674/,null,null,null,null
2024-9,Розпорядження міського голови,"Про деякі питання надання одноразової адресної матеріальної допомоги киянам, які опинилися в складних життєвих обставинах в результаті пошкодження чи руйнування житлового будинку (квартири) внаслідок надзвичайної ситуації воєнного характеру, спричиненої збройною агресією Російської Федерації проти України у 2024 році",2024-01-12,25,null,null,Чинний,Київська міська державна адміністрація,00022527,null,https://kyivcity.gov.ua/npa/pro_deyaki_pitannya_nadannya_odnorazovo_adresno_materialno_dopomogi_kiyanam_yaki_opinilisya_v_skladnikh_zhittyevikh_obstavinakh_v_rezultati_poshkodzhennya_chi_ruynuvannya_zhitlovogo_budinku_kvartiri_vnaslidok_nadzvichayno_situatsi_voyennogo_kharakt/,null,null,null,null
2024-10,Розпорядження міського голови,Про уповноваження заступника голови Київської міської державної адміністрації з питань здійснення самоврядних повноважень Хонди М. П. на подання заявки від міста Києва на участь у програмі «Партнерство «Відкритий Уряд» - місцевий рівень»,2024-01-15,31,null,null,Чинний,Київська міська державна адміністрація,00022527,null,https://kyivcity.gov.ua/npa/pro_upovnovazhennya_zastupnika_golovi_kivsko_misko_derzhavno_administratsi_z_pitan_zdiysnennya_samovryadnikh_povnovazhen_khondi_m_p_na_podannya_zayavki_vid_mista_kiyeva_na_uchast_u_programi_partnerstvo_vidkritiy_uryad_-_mistseviy_riven/,null,null,null,null
