uid,authorityName,authorityId,title,validFrom,url,text,bibliographicCitation,legalActTitle,legalActId,legalActIssued,basicEvalDate,basicEvalUrl,basicEvalText,basicEvalBibliographicCitation,repeatEvalDate,repeatEvalUrl,repeatEvalText,repeatEvalBibliographicCitation,periodEvalDate,periodEvalURL,periodEvalText,periodEvalBibliographicCitation
2025-01,ВО КМР (Київська міська державна адміністрація),22527,"«Про встановлення коефіцієнтів завантаженості відведених майданчиків для платного паркування транспортних засобів та коефіцієнтів для досягнення оптимального завантаження вулично-дорожньої мережі, які використовуються для формування тарифів на послуги з користування відведеними майданчиками для платного паркування транспортних засобів у місті Києві»",2025-11-27,https://kyivcity.gov.ua/npa/NPA_1037230/kmda__97_1037231/,КМДА № 97,null,"Розпорядження КМДА від 27.11.2025 № 97 «Про встановлення коефіцієнтів завантаженості відведених майданчиків для платного паркування транспортних засобів та коефіцієнтів для досягнення оптимального завантаження вулично-дорожньої мережі, які використовуються для формування тарифів на послуги з користування відведеними майданчиками для платного паркування транспортних засобів у місті Києві»",97,2025-11-27,2025-11-14,https://kyivcity.gov.ua/publichna_informatsiia_Tag_166122/NPA_1035478/zvit_1035480/,"Звіт про результати базового відстеження результативності проєкту регуляторного акта – проєкту розпорядження КМДА «Про встановлення коефіцієнтів завантаженості відведених майданчиків для платного паркування транспортних засобів та коефіцієнтів для досягнення оптимального завантаження вулично-дорожньої мережі, які використовуються для формування тарифів на послуги з користування відведеними майданчиками для платного паркування транспортних засобів у місті Києві»",null,null,null,null,null,null,null,null,null
2024-01,Київська міська військова адміністрація,22527,«Про внесення змін до Норм надання послуг з вивезення твердих побутових відходів для міста Києва на 2023-2027 роки»,2024-03-13,https://kyivcity.gov.ua/npa/pro_vnesennya_zmin_do_norm_nadannya_poslug_z_vivezennya_tverdikh_pobutovikh_vidkhodiv_dlya_mista_kiyeva_na_2023-2027_roki/kmva__202/,КМВА № 202,null,Розпорядження начальника Київської міської військової адміністрації від 13.03.2024 № 202 «Про внесення змін до Норм надання послуг з вивезення твердих побутових відходів для міста Києва на 2023-2027 роки»,202,2024-03-13,2024-02-22,https://kyivcity.gov.ua/publichna_informatsiia_Tag_166122/zvit_pro_bazove_vidstezhennya_rezultativnosti_proyektu_rozporyadzhennya_nachalnika_kivsko_misko_viyskovo_administratsi_pro_vnesennya_zmin_do_norm_nadannya_poslug_z_vivezennya_tverdikh_pobutovikh_vidkhodiv_dlya_mista_kiyeva_na_2023-2027_roki_2027_roki/zvit_pro_bazove_vidstezhennya_rezultativnosti_vid_22022024/,Звіт_про_базове_відстеження_результативності від 22.02.2024,null,2025-04-18,https://kyivcity.gov.ua/publichna_informatsiia_Tag_166122/zvit_pro_povtorne_vidstezhennya_rezultativnosti_regulyatornogo_akta__rozporyadzhennya_nachalnika_kivsko_misko_viyskovo_administratsi_pro_vnesennya_zmin_do_norm_nadannya_poslug_z_vivezennya_pobutovikh_vidkhodiv_dlya_mista_kiyeva_na_2023-2027_roki_vid_13032/zvit_1023588/,Звіт про повторне відстеження результативності регуляторного акта – розпорядження начальника Київської міської військової адміністрації «Про внесення змін до Норм надання послуг з вивезення побутових відходів для міста Києва на 2023-2027 роки» від 13.03.2024 № 202,null,null,null,null,null
2023-01,Київська міська військова адміністрація,22527,«Про затвердження норм надання послуг з вивезення побутових відходів у місті Києві на 2023-2027 роки»,2023-01-31,https://kyivcity.gov.ua/npa/pro_zatverdzhennya_norm_nadannya_poslug_z_vivezennya_pobutovikh_vidkhodiv_u_misti_kiyevi_na_2023-2027_roki/kmva__59/,КМВА № 59,null,Розпорядження начальника Київської міської військової адміністрації від 31.01.2023 № 59 «Про затвердження норм надання послуг з вивезення побутових відходів у місті Києві на 2023-2027 роки»,59,2023-01-31,2023-01-18,https://kyivcity.gov.ua/publichna_informatsiia_Tag_166122/zvit_pro_bazove_vidstezhennya_rezultativnosti_proyektu_rozporyadzhennya_kivsko_misko_viyskovo_administratsi_pro_zatverdzhennya_norm_nadannya_poslug_z_vivezennya_pobutovikh_vidkhodiv_u_misti_kiyevi_na_period_2023-2027_roki/,Звіт про базове відстеження результативності проєкту розпорядження Київської міської військової адміністрації «Про затвердження норм надання послуг з вивезення побутових відходів у місті Києві на період 2023-2027 роки»,null,2024-02-20,https://kyivcity.gov.ua/publichna_informatsiia_Tag_166122/zvit_pro_povtorne_vidstezhennya_rezultativnosti_regulyatornogo_akta_-_rozporyadzhennya_kivsko_misko_viyskovo_administratsi_vid_31012023__59_pro_zatverdzhennya_norm_nadannya_poslug_z_vivezennya_pobutovikh_vidkhodiv_u_misti_kiyevi_na_2023-2027_roki/,Звіт про повторне відстеження результативності регуляторного акта - розпорядження Київської міської військової адміністрації від 31.01.2023 № 59 «Про затвердження норм надання послуг з вивезення побутових відходів у місті Києві на 2023-2027 роки»,null,null,null,null,null
2022-01,Київська міська військова адміністрація,22527,«Про затвердження Змін до Порядку функціонування автоматизованої системи обліку оплати проїзду в міському пасажирському транспорті міста Києва незалежно від форм власності»,2022-10-04,https://kyivcity.gov.ua/npa/pro_zatverdzhennya_zmin_do_poryadku_funktsionuvannya_avtomatizovano_sistemi_obliku_oplati_prozdu_v_miskomu_pasazhirskomu_transporti_mista_kiyeva_nezalezhno_vid_form_vlasnosti/kmva__687/,КМВА № 687,null,Розпорядження начальника Київської міської військової адміністрації від 04.10.2022 № 687 «Про затвердження Змін до Порядку функціонування автоматизованої системи обліку оплати проїзду в міському пасажирському транспорті міста Києва незалежно від форм власності»,687,2022-10-04,2021-08-17,https://kyivcity.gov.ua/publichna_informatsiia_Tag_166122/zvit__pro_bazove_vidstezhennya_rezultativnosti_proyektu_rozporyadzhennya_vikonavchogo_organu_kivsko_misko_radi_kivsko_misko_derzhavno_administratsi_pro_vnesennya_zmin_do_poryadku_funktsionuvannya_avtomatizovano_sistemi_obliku_oplati_prozdu_v_miskomu_pasaz/,Звіт про базове відстеження результативності проєкту розпорядження виконавчого органу Київської міської ради (Київської міської державної адміністрації) «Про внесення змін до Порядку функціонування автоматизованої системи обліку оплати проїзду в міському пасажирському транспорті міста Києва незалежно від форм власності»,null,2024-01-04,https://kyivcity.gov.ua/publichna_informatsiia_Tag_166122/zvit_pro_povtorne_vidstezhennya_rezultativnosti_rozporyadzhennya_nachalnika_kivsko_misko_viyskovo_administratsi_vid_04_zhovtnya_2022_roku__687_pro_zatverdzhennya_zmin_do_poryadku_funktsionuvannya_avtomatizovano_sistemi_obliku_oplati_prozdu_v_miskomu_pasaz/,Звіт про повторне відстеження результативності розпорядження начальника Київської міської військової адміністрації від 04 жовтня 2022 року № 687 «Про затвердження змін до Порядку функціонування автоматизованої системи обліку оплати проїзду в міському пасажирському транспорті міста Києва незалежно від форм власності»,null,null,null,null,null
2021-01,ВО КМР (Київська міська державна адміністрація),22527,"«Про встановлення тарифів на платні послуги з медичного обслуговування, які надає Державний заклад «Спеціалізована медико-санітарна частина № 10 Міністерства охорони здоров’я України»",2021-12-28,https://kyivcity.gov.ua/npa/pro_vstanovlennya_tarifiv_na_platni_poslugi_z_medichnogo_obslugovuvannya_yaki_nadaye_derzhavniy_zaklad_spetsializovana_mediko-sanitarna_chastina__10_ministerstva_okhoroni_zdorovya_ukrani/rph9sk9tsu_kmda__2754/,КМДА № 2754,null,"Розпорядження виконавчого органу Київської міської ради (Київської міської державної адміністрації) від 28.12.2021 № 2754 «Про встановлення тарифів на платні послуги з медичного обслуговування, які надає Державний заклад «Спеціалізована медико-санітарна частина № 10 Міністерства охорони здоров’я України»",2754,2021-12-28,2021-12-14,https://kyivcity.gov.ua/publichna_informatsiia_Tag_166122/zvit_pro_bazove_vidstezhennya_rezultativnosti_proyektu_rozporyadzhennya_vikonavchogo_organu_kivsko_misko_radi_kivsko_misko_derzhavno_administratsi_pro_vstanovlennya_tarifiv_na_platni_poslugi_z_medichnogo_obslugovuvannya_yaki_nadaye_derzhavniy_zaklad_spets/,"Звіт про базове відстеження результативності проєкту розпорядження виконавчого органу Київської міської ради (Київської міської державної адміністрації) «Про встановлення тарифів на платні послуги з медичного обслуговування, які надає Державний заклад «Спеціалізована медико-санітарна частина № 10 Міністерства охорони здоров'я України»",null,2023-04-03,https://kyivcity.gov.ua/publichna_informatsiia_Tag_166122/zvit_pro_povtorne_vidstezhennya_rezultativnosti_rozporyadzhennya_vikonavchogo_organu_kivsko_misko_radi_kivsko_misko_derzhavno_administratsi_vid_28122021__2754_pro_vstanovlennya_tarifiv_na_platni_poslugi_z_medichnogo_obslugovuvannya_yaki_nadaye_derzhavniy/zvit_pro_povtorne_vidstezhennya_2754_vipravleniy/,"Звіт про повторне відстеження результативності розпорядження виконавчого органу Київської міської ради (Київської міської державної адміністрації) від 28.12.2021 № 2754 «Про встановлення тарифів на платні послуги з медичного обслуговування, які надає Державний заклад «Спеціалізована медико-санітарна частина № 10 Міністерства охорони здоров’я України»",null,2026-04-07,https://kyivcity.gov.ua/publichna_informatsiia_Tag_166122/NPA_1043355/zvit_pro_period_vidstezh_rozpor_2754/,"Звіт про періодичне відстеження результативності розпорядження виконавчого органу Київської міської ради (Київської міської державної адміністрації) від 28.12.2021 № 2754 «Про встановлення тарифів на платні послуги з медичного обслуговування, які надає Державний заклад «Спеціалізована медико-санітарна частина № 10 Міністерства охорони здоров’я України»",null
2021-02,ВО КМР (Київська міська державна адміністрація),22527,«Про внесення змін до розпорядження виконавчого органу Київської міської ради (Київської міської державної адміністрації) від 11 червня 2015 року № 557»,2021-10-20,https://kyivcity.gov.ua/npa/pro_vnesennya_zmin_do_rozporyadzhennya_vikonavchogo_organu_kivsko_misko_radi_kivsko_misko_derzhavno_administratsi_vid_11_chervnya_2015_roku__557_449315/nv9q7rfbpt_kmda__2192/,КМДА № 2192,null,Розпорядження виконавчого органу Київської міської ради (Київської міської державної адміністрації) від 20.10.2021 № 2192 «Про внесення змін до розпорядження виконавчого органу Київської міської ради (Київської міської державної адміністрації) від 11 червня 2015 року № 557»,2192,2021-10-20,2021-10-21,https://kyivcity.gov.ua/publichna_informatsiia_Tag_166122/zvit_pro_bazove_vidstezhennya_rezultativnosti_proyektu_rozporyadzhennya_vikonavchogo_organu_kivsko_misko_radi_kivsko_misko_derzhavno_administratsi_pro_vnesennya_zmin_do_rozporyadzhennya_vikonavchogo_organu_kivsko_misko_radi_kivsko_misko_derzhavno_a_449190/,Звіт про базове відстеження результативності проєкту розпорядження виконавчого органу Київської міської ради (Київської міської державної адміністрації) «Про внесення змін до розпорядження виконавчого органу Київської міської ради (Київської міської державної адміністрації) від 11 червня 2015 року № 557»,null,2022-12-08,https://kyivcity.gov.ua/publichna_informatsiia_Tag_166122/zvit_pro_povtorne_vidstezhennya_rezultativnosti_rozporyadzhennya_vikonavchogo_organu_kivsko_misko_radi_kivsko_misko_derzhavno_administratsi_vid_20102021__2192_pro_vnesennya_zmin_do_rozporyadzhennya_vikonavchogo_organu_kivsko_misko_radi_kivsko_misko_derzha/zvit_pro_povtorne_vidstezhennya_2192/,Звіт_про_повторне_відстеження_2192,null,2026-01-23,https://kyivcity.gov.ua/publichna_informatsiia_Tag_166122/NPA_1039617/zvit_1039618/,Звіт про періодичне відстеження результативності розпорядження виконавчого органу Київської міської ради (Київської міської державної адміністрації) від 20.10.2021 № 2192 «Про внесення змін до розпорядження виконавчого органу Київської міської ради (Київської міської державної адміністрації) від 11.06.2015 року № 557»,null
2021-03,ВО КМР (Київська міська державна адміністрація),22527,"«Про внесення змін до Тарифів на платні послуги з медичного обслуговування, які надаються Українським науково-практичним центром ендокринної хірургії, трансплантації ендокринних органів і тканин Міністерства охорони здоров'я України»",2021-10-07,https://kyivcity.gov.ua/npa/pro_vnesennya_zmin_do_tarifiv_na_platni_poslugi_z_medichnogo_obslugovuvannya_yaki_nadayutsya_ukranskim_naukovo-praktichnim_tsentrom_endokrinno_khirurgi_transplantatsi_endokrinnikh_organiv_i_tkanin_ministerstva_okhoroni_zdorovya_ukrani/bomhiv11xn_kmda__2127/,КМДА № 2127,null,"Розпорядження виконавчого органу Київської міської ради (Київської міської державної адміністрації) від 07.10.2021 № 2127 «Про внесення змін до Тарифів на платні послуги з медичного обслуговування, які надаються Українським науково-практичним центром ендокринної хірургії, трансплантації ендокринних органів і тканин Міністерства охорони здоров'я України»",2127,2021-10-07,2021-10-06,https://kyivcity.gov.ua/publichna_informatsiia_Tag_166122/zvit_pro_bazove_vidstezhennya_rezultativnosti_proyektu_rozporyadzhennya_vikonavchogo_organu_kivsko_misko_radi_kivsko_misko_derzhavno_administratsi_pro_vnesennya_zmin_do_tarifiv_na_platni_poslugi_z_medichnogo_obslugovuvannya_yaki_nadayutsya_ukranskim_nauko/,"Звіт про базове відстеження результативності проєкту розпорядження виконавчого органу Київської міської ради (Київської міської державної адміністрації) «Про внесення змін до Тарифів на платні послуги з медичного обслуговування, які надаються Українським науково-практичним центром ендокринної хірургії, трансплантації ендокринних органів і тканин Міністерства охорони здоров'я України»",null,2022-12-08,https://kyivcity.gov.ua/publichna_informatsiia_Tag_166122/zvit_pro_povtorne_vidstezhennya_rezultativnosti_rozporyadzhennya_vikonavchogo_organu_kivsko_misko_radi_kivsko_misko_derzhavno_administratsi_vid_07102021__2127_pro_vnesennya_zmin_do_tarifiv_na_platni_poslugi_z_medichnogo_obslugovuvannya_yaki_nadayutsya_ukr/zvit_pro_povtorne_vidstezhennya_2127/,Звіт_про_повторне_відстеження_2127,null,2026-01-23,https://kyivcity.gov.ua/publichna_informatsiia_Tag_166122/NPA_1039614/zvit_1039616/,"Звіт про періодичне відстеження результативності розпорядження виконавчого органу Київської міської ради (Київської міської державної адміністрації) від 07.10.2021 № 2127 «Про внесення змін до Тарифів на платні послуги з медичного обслуговування, які надаються Українським науково-практичним центром ендокринної хірургії, трансплантації ендокринних органів і тканин Міністерства охорони здоров’я України»",null
2021-04,ВО КМР (Київська міська державна адміністрація),22527,«Про внесення змін до розпорядження виконавчого органу Київської міської ради (Київської міської державної адміністрації) від 26 лютого 2015 року № 171»,2021-09-01,https://kyivcity.gov.ua/npa/pro_vnesennya_zmin_do_rozporyadzhennya_vikonavchogo_organu_kivsko_misko_radi_kivsko_misko_derzhavno_administratsi_vid_26_lyutogo_2015_roku__171_444267/kmofmjz8ma_kmda__1885/,КМДА № 1885,null,Розпорядження виконавчого органу Київської міської ради (Київської міської державної адміністрації) від 01.09.2021 № 1885 «Про внесення змін до розпорядження виконавчого органу Київської міської ради (Київської міської державної адміністрації) від 26 лютого 2015 року № 171»,1885,2021-09-01,2021-09-06,https://kyivcity.gov.ua/publichna_informatsiia_Tag_166122/zvit_pro_bazove_vidstezhennya_rezultativnosti_proyektu_rozporyadzhennya_vikonavchogo_organu_kivsko_misko_radi_kivsko_misko_derzhavno_administratsi_pro_vnesennya_zmin_do_rozporyadzhennya_vikonavchogo_organu_kivsko_misko_radi_kivsko_misko_derzhavno_a_444609/,Звіт про базове відстеження результативності проєкту розпорядження виконавчого органу Київської міської ради (Київської міської державної адміністрації) «Про внесення змін до розпорядження виконавчого органу Київської міської ради (Київської міської державної адміністрації) від 26 лютого 2015 № 171»,null,2023-06-28,https://kyivcity.gov.ua/publichna_informatsiia_Tag_166122/zvit_pro_povtorne_vidstezhennya_rezultativnosti_rozporyadzhennya_vikonavchogo_organu_kivsko_misko_radi_kivsko_misko_derzhavno_administratsi_vid_01092021__1885_pro_vnesennya_zmin_do_rozporyadzhennya_vikonavchogo_organu_kivsko_misko_radi_kivsko_misko_derzha/zvit_pro_period_vidstezh_1885/,Звіт про повторне відстеження результативності розпорядження виконавчого органу Київської міської ради (Київської міської державної адміністрації) від 01.09.2021 № 1885 «Про внесення змін до розпорядження виконавчого органу Київської міської ради (Київської міської державної адміністрації) від 26 лютого 2015 року № 171»,null,null,null,null,null
2021-05,ВО КМР (Київська міська державна адміністрація),22527,«Про внесення змін до розпорядження виконавчого органу Київської міської ради (Київської міської державної адміністрації) від 24 вересня 2014 року № 1055»,2021-08-28,https://kyivcity.gov.ua/npa/pro_vnesennya_zmin_do_rozporyadzhennya_vikonavchogo_organu_kivsko_misko_radi_kivsko_misko_derzhavno_administratsi_vid_24_veresnya_2014_roku__1055_443949/eqvzujmt1i_kmda__1849/,КМДА № 1849,null,Розпорядження виконавчого органу Київської міської ради (Київської міської державної адміністрації) від 28.08.2021 № 1849 «Про внесення змін до розпорядження виконавчого органу Київської міської ради (Київської міської державної адміністрації) від 24 вересня 2014 року № 1055»,1849,2021-08-28,2021-09-06,https://kyivcity.gov.ua/publichna_informatsiia_Tag_166122/zvit_pro_bazove_vidstezhennya_rezultativnosti_proyektu_rozporyadzhennya_vikonavchogo_organu_kivsko_misko_radi_kivsko_misko_derzhavno_administratsi_pro_vnesennya_zmin_do_rozporyadzhennya_vikonavchogo_organu_kivsko_misko_radi_kivsko_misko_derzhavno_a_444610/,Звіт про базове відстеження результативності проєкту розпорядження виконавчого органу Київської міської ради (Київської міської державної адміністрації) «Про внесення змін до розпорядження виконавчого органу Київської міської ради (Київської міської державної адміністрації) від 24 вересня 2014 року № 1055»,null,2023-06-28,https://kyivcity.gov.ua/publichna_informatsiia_Tag_166122/zvit_pro_povtorne_vidstezhennya_rezultativnosti_rozporyadzhennya_vikonavchogo_organu_kivsko_misko_radi_kivsko_misko_derzhavno_administratsi_vid_18082021__1849_pro_vnesennya_zmin_do_rozporyadzhennya_vikonavchogo_organu_kivsko_misko_radi_kivsko_misko_derzha/zvit_pro_period_vidstezh_1849/,Звіт про повторне відстеження результативності розпорядження виконавчого органу Київської міської ради (Київської міської державної адміністрації) від 18.08.2021 № 1849 «Про внесення змін до розпорядження виконавчого органу Київської міської ради (Київської міської державної адміністрації) від 24 вересня 2014 року № 1055»,null,null,null,null,null
2021-06,ВО КМР (Київська міська державна адміністрація),22527,«Про внесення змін до розпорядження виконавчого органу Київської міської ради (Київської міської державної адміністрації) від 26 лютого 2015 року № 171»,2021-03-11,https://kyivcity.gov.ua/npa/pro_vnesennya_zmin_do_rozporyadzhennya_vikonavchogo_organu_kivsko_misko_radi_kivsko_misko_derzhavno_administratsi_vid_26_lyutogo_2015_roku__171_426950/yqxphjgsbw_kmda__535/,КМДА № 535,null,Розпорядження виконавчого органу Київської міської ради (Київської міської державної адміністрації) від 11.03.2021 № 535 «Про внесення змін до розпорядження виконавчого органу Київської міської ради (Київської міської державної адміністрації) від 26 лютого 2015 року № 171»,535,2021-03-11,2021-02-22,https://kyivcity.gov.ua/publichna_informatsiia_Tag_166122/zvit_pro_bazove_vidstezhennya_rezultativnosti_proyektu_rozporyadzhennya_vikonavchogo_organu_kivsko_misko_radi_kivsko_misko_derzhavno_administratsi_pro_vnesennya_zmin_do_rozporyadzhennya_vikonavchogo_organu_kivsko_misko_radi_kivsko_misko_derzhavno_a_425000/,Звіт про базове відстеження результативності проєкту розпорядження виконавчого органу Київської міської ради (Київської міської державної адміністрації) «Про внесення змін до розпорядження виконавчого органу Київської міської ради (Київської міської державної адміністрації) від 26 лютого 2015 року № 171»,null,2022-11-04,https://kyivcity.gov.ua/publichna_informatsiia_Tag_166122/zvit_pro_povtorne_vidstezhennya_rezultativnosti_rozporyadzhennya_vikonavchogo_organu_kivsko_misko_radi_kivsko_misko_derzhavno_administratsi_vid_11032021__535_pro_vnesennya_zmin_do_rozporyadzhennya_vikonavchogo_organu_kivsko_misko_radi_kivsko_misko_derzhav/,Звіт про повторне відстеження результативності розпорядження виконавчого органу Київської міської ради (Київської міської державної адміністрації) від 11.03.2021 № 535 «Про внесення змін до розпорядження виконавчого органу Київської міської ради (Київської міської державної адміністрації) від 26 лютого 2015 року № 171»,null,2025-11-20,https://kyivcity.gov.ua/publichna_informatsiia_Tag_166122/NPA_1035961/zvit_1035962/,Звіт про періодичне відстеження результативності розпорядження виконавчого органу Київської міської ради (Київської міської державної адміністрації) від 11.03.2021 № 535 «Про внесення змін до розпорядження виконавчого органу Київської міської ради (Київської міської державної адміністрації) від 26 лютого 2015 року № 171»,null
