uid,title,description,accrualPeriodicity,keywords,purpose,url,distributionFormat,publisherName,publisherId,contactPointName,contactPointEmail
5c81d1c5-369e-4d02-a323-3e7bf614f781,"Дані про місцезнаходження міського електричного та пасажирського автомобільного транспорту в режимі реального часу, зокрема короткострокові зміни в русі транспорту та час прибуття транспорту на зупинки в режимі реального часу",Набір містить кінцеві точки API (інтерфейсу прикладного програмування) системи GPS-моніторингу громадського транспорту міста Києва.,Більш як один раз на день,"маршрут, місцезнаходження, транспорт","Закон України «Про місцеве самоврядування в Україні», Закон України «Про автомобільний транспорт», постанова Кабінету Міністрів України від 03 грудня 2008 року № 1081 «Про затвердження Порядку проведення конкурсу з перевезення пасажирів на автобусному маршруті загального користування»",https://data.kyivcity.gov.ua/dataset/dani-pro-mistseznakhodzhennia-miskoho-elektrychnoho-ta-pasazhyrskoho-avtomobilnoho-tra-dep-transport,"JSON, API",Київська міська державна адміністрація,00022527,Кравчук Олександра Вікторівна,oleksandra.kravchuk@kyivcity.gov.ua
8d8b1ec0-22a9-4fed-8cab-fda6bbdec9de,Інформація із системи обліку публічної інформації,"Набір містить інформацію про розпорядника, якому належить система обліку публічної інформації, посадову особу або структурний підрозділ, що відповідає за внесення інформації, програмне забезпечення, види інформації, яка зберігається розпорядником, посилання на веб-ресурс, що дає доступ до інформації системи.",Щороку,"документи, доступ, облік, публічна, система, інформація","Закон України «Про доступ до публічної інформації», розпорядження ВО КМР (КМДА) від 12.03.2013 № 304 «Про інформаційно-телекомунікаційну систему «Єдиний веб-портал територіальної громади міста Києва»",https://data.kyivcity.gov.ua/dataset/informatsiia-iz-systemy-obliku-publichnoi-informatsii-aparat,CSV,Київська міська державна адміністрація,00022527,Відділ оприлюднення інформації,data@kyivcity.gov.ua
1130a57b-5319-4f18-b44a-c617cf3cdac9,Інформація про нормативно-правові засади діяльності розпорядника інформації,"Набір містить дані щодо нормативно–правових засад діяльності районних в місті Києві державних адміністрацій в розрізі кожного нормативного акту, зокрема: назву, дату прийняття, орган, який його прийняв, посилання на нормативний акт, оприлюднений в мережі Інтернет.",Щороку,"акти, закони, засади","Конституція України, Закон України «Про місцеві державні адміністрації», Закон України «Про місцеве самоврядування в Україні»",https://data.kyivcity.gov.ua/dataset/informatsiia-pro-normatyvno-pravovi-zasady-diialnosti-raionnykh-v-misti-kyievi-derzhavnykh-ad-aparat,CSV,Київська міська державна адміністрація,00022527,Відділ оприлюднення інформації,data@kyivcity.gov.ua
d8dc17f1-9e52-4f8b-a374-afb9432853b3,Дані про розміщення громадських вбиралень комунальної власності,"Набір містить дані про характеристики громадських вбиралень, їхнє місцерозташування, утримувачів, графік роботи, доступність, вартість послуг та інше. Набір містить два ресурси: 37292855_publicToilets – дані про характеристики громадських вбиралень СВКП «Київводфонд»; publicToilets – кінцева точка доступу API для отримання даних про характеристики комунальних громадських вбиралень, їхнє місцерозташування, утримувачів, графік роботи, доступність, вартість послуг та інше. Дані оприлюднено з ІАС «Майно» у форматі geoJSON.",Щороку,"благоустрій, вбиральні, доступність, послуги, туалети, інфраструктура","Закон України «Про місцеве самоврядування в Україні», наказ Міністерства регіонального розвитку, будівництва та житлово-комунального господарства України від 27 листопада 2017 року № 310 «Про затвердження Типових правил благоустрою території населеного пункту», Закон України «Про благоустрій населених пунктів»",https://data.kyivcity.gov.ua/dataset/dani-pro-rozmishchennia-hromadskykh-vbyralen-komunalnoi-vlasnosti-dep-zhki,"CSV, GeoJSON, API",Київська міська державна адміністрація,00022527,Єгорова Оксана Валеріївна,svk_infrastructure@kyivcity.gov.ua
5505eecc-a202-4f40-8807-26c8aa671079,Бюветні комплекси,"Набір містить дані про характеристики бюветів СВКП «Київводфонд», їхнє місцерозташування, утримувачів, наявність генератора та інше.",Щороку,"благоустрій, бювет, вода","Водний кодекс України, Закон України «Про місцеве самоврядування в Україні», Закон України «Про питну воду та питне водопостачання», Закон України «Про благоустрій населених пунктів», Наказ Міністерства охорони здоров'я України «Про затвердження Державних санітарних норм та правил «Гігієнічні вимоги до води питної, призначеної для споживання людиною» від 12 травня 2010 року №400»",https://data.kyivcity.gov.ua/dataset/biuvetni-kompleksy-dep-zhki,CSV,Київська міська державна адміністрація,00022527,Єгорова Оксана Валеріївна,svk_infrastructure@kyivcity.gov.ua
a167997a-c734-499c-8f99-78d8b1acca29,Реєстр кладовищ,"Набір даних містить інформацію про кладовища у місті Києві, їх адреси, контактні дані, балансоутримувачів.",Щороку,"благоустрій, кладовища, поховання","Закон України «Про поховання та похоронну справу», Закон України «Про благоустрій населених пунктів», Закон України «Про місцеве самоврядування в Україні», Порядок утримання кладовищ та інших місць поховань, затверджений Наказом Держжитлокомунгоспу України від 19.11.2003 № 193, Державні санітарні правила та норми «Гігієнічні вимоги щодо облаштування і утримання кладовищ в населених пунктах України» ДСанПіН 2.2.2.028-99",https://data.kyivcity.gov.ua/dataset/reiestr-kladovyshch-dep-zhki,CSV,Київська міська державна адміністрація,00022527,Єгорова Оксана Валеріївна,svk_infrastructure@kyivcity.gov.ua
69e1a7ac-0e15-4737-868b-9b5884799ec1,Фінансова звітність суб'єктів господарювання державного та комунального сектору економіки,"Набір містить кінцеву точку API (посилання) для отримання балансів, звітів про фінансові результати, звітів про власний капітал, фінансових звітів СМП, приміток до річної фінансової звітності комунальних суб'єктів господарювання територіальної громади м. Києва, які здійснюють свою діяльність на засадах госпрозрахунку, а також комунальних установ, організацій, органів місцевого самоврядування, державних органів, діяльність яких фінансується з коштів міського бюджету. Примітка: Фінансова звітність зазначених суб'єктів господарювання формується у тисячах гривень. Це необхідно враховувати під час аналізу та використання даних. XML документи сформовані з ІКС «Баланс». Набір даних містить наступні ресурси із даними з 2004 року: J0900108 – баланс (звіт про фінансовий стан) комунальних госпрозрахункових підприємств; J0901107 – фінансовий звіт СМП (баланс + звіт про фінансові результати) комунальних госпрозрахункових підприємств; J0900207 – звіт про фінансові результати (звіт про сукупний дохід) комунальних госпрозрахункових підприємств; J0901005 – звіт про власний капітал комунальних госпрозрахункових підприємств; J0901301 – примітки до річної фінансової звітності (основні засоби) комунальних госпрозрахункових підприємств; J0900904 – звіти про рух грошових коштів комунальних госпрозрахункових підприємств. Також набір містить ресурси із даними з 2017 року: J0903203 – баланс комунальних установ, організацій, органів місцевого самоврядування, державних органів, діяльність яких фінансується з бюджету міста Києва; J0903303 – звіти по фінансові результати комунальних установ, організацій, органів місцевого самоврядування, державних органів, діяльність яких фінансується з бюджету міста Києва; J0903403 – звіти про рух грошових коштів комунальних установ, організацій, органів місцевого самоврядування, державних органів, діяльність яких фінансується з бюджету міста Києва; J0903502 – звіти про власний капітал комунальних установ, організацій, органів місцевого самоврядування, державних органів, діяльність яких фінансується з бюджету міста Києва; J0903602 – примітки до річної фінансової звітності комунальних установ, організацій, органів місцевого самоврядування, державних органів, діяльність яких фінансується з бюджету міста Києва.",Щокварталу,"звіт, звітність, капітал, кошти, фінанси","Постанова Кабінету Міністрів України від 28 лютого 2000 року № 419 «Про затвердження Порядку подання фінансової звітності» (Офіційний вісник України, 2000 р., № 9, ст. 344), наказ Міністерства фінансів України від 07 лютого 2013 року № 73 «Про затвердження Національного положення (стандарту) бухгалтерського обліку 1 «Загальні вимоги до фінансової звітності», зареєстрований в Міністерстві юстиції України 28 лютого 2013 року за № 336/22868",https://data.kyivcity.gov.ua/dataset/finansova-zvitnist-subiektiv-hospodariuvannia-derzhavnoho-ta-komunalnoho-sektoru-ekonom-dep-communal,"XML, API",Київська міська державна адміністрація,00022527,Грінченко Олена Олегівна,grinchenko@kyivcity.gov.ua
d77b33c1-ad3d-4b3a-868e-66575ad02ef9,Річні зведені основні фінансові показники звітів про виконання фінансових планів підприємств державного та комунального сектору економіки,"Набір містить кінцеву точку API (посилання) для отримання звітів про виконання фінансових планів суб'єктів господарювання територіальної громади м. Києва, які здійснюють свою діяльність на засадах госпрозрахунку. Примітка: Фінансова звітність зазначених суб'єктів господарювання формується у тисячах гривень. Це необхідно враховувати під час аналізу та використання даних. XML документи сформовані з ІКС «Баланс». Набір даних містить дані з 2023 року.",Щокварталу,"витрати, доходи, звіт, кошти","Господарський Кодекс України, Розпорядження ВО КМР (КМДА) від 19 січня 2022 року № 139 «Про затвердження Порядку складання, затвердження та контролю виконання фінансових планів підприємств, організацій, установ, об'єднань територіальної громади міста Києва»",https://data.kyivcity.gov.ua/dataset/richni-zvedeni-osnovni-finansovi-pokaznyky-zvitiv-pro-vykonannia-finansovykh-planiv-pid-dep-communal,"XML, API",Київська міська державна адміністрація,00022527,Грінченко Олена Олегівна,grinchenko@kyivcity.gov.ua
a2a5ba88-4d5f-4050-ab9e-171cbe5cdc6a,"Дані про паркування, зокрема розміщення майданчиків, їх операторів, обладнання та функціонування","Набір даних містить кінцеву точку API (посилання) для отримання даних про адреси, типи майданчиків для паркування, а також інформацію про їх балансоутримувачів, операторів, площу, кількість місць, вартість паркування, спосіб оплати та інше. Набір даних складається з двох ресурсів: parkingLots – містить інвентарні номери, адреси, типи майданчиків для паркування, а також інформацію про їх балансоутримувачів, операторів, площу, кількість місць, вартість паркування, спосіб оплати та інше. Кожним записом до таблиці є один майданчик; operators – містить ідентифікаційні (назва, код ЄДРПОУ) та контактні дані (адреса розміщення, адреса електронної пошти, телефон) операторів майданчиків для паркування.",Більш як один раз на день,"оплата, паркування, паркомісце, паркінг, тариф, транспорт","Закон України «Про місцеве самоврядування в Україні», постанова Кабінету Міністрів України від 03 грудня 2009 року № 1342 «Про затвердження Правил паркування транспортних засобів», постанова Кабінету Міністрів України від 02 березня 2010 року № 258 «Про затвердження Порядку формування тарифів на послуги з користування майданчиками для платного паркування транспортних засобів»",https://data.kyivcity.gov.ua/dataset/dani-pro-parkuvannia-u-tomu-chysli-rozmishchennia-maidanchykiv-ikh-operatoriv-obladnan-dep-transport,"CSV, GeoJSON, API",Київська міська державна адміністрація,00022527,Кравчук Олександра Вікторівна,oleksandra.kravchuk@kyivcity.gov.ua
16026e7a-65dc-48cb-98ec-51fd702b8ef8,Дані про розташування захисних споруд цивільного захисту,"Набір даних містить кінцеву точку API (посилання) для отримання даних про захисні споруди цивільного захисту, які перебувають в комунальній власності, їх місце розташування, інформацію про балансоутримувача, режим роботи та використання.",Більш як один раз на день,"безпека, захист, споруди, укриття","Кодекс Цивільного захисту України, постанова Кабінету Міністрів України від 10 березня 2017 року №138 «Деякі питання використання захисних споруд цивільного захисту», наказ Міністерства внутрішніх справ України від 09 липня 2018 року № 579 «Про затвердження вимог з питань використання та обліку фонду захисних споруд цивільного захисту»",https://data.kyivcity.gov.ua/dataset/dani-pro-roztashuvannia-zakhysnykh-sporud-tsyvilnoho-zakhystu-dep-municipal,"GeoJSON, API",Київська міська державна адміністрація,00022527,Омельчук Наталія Миколаївна,nataliia.omelchuk@kyivcity.gov.ua
