uid,vehicleNumber,vehicleVin,bodyType,brand,model,year,agencyId,agencyName,routeId,status,dateFrom,dateUntil,capacity,capacitySeated,capacityStanding,wheelchairAccessible,isLowFloor,bikesAllowed
1.1,null,null,автобус,null,null,null,30056005,ПП Універсал-Транс,150,Використовується,null,null,null,не менше 21,null,0,null,0
1.2,null,null,автобус,null,null,null,30056005,ПП Універсал-Транс,150,Використовується,null,null,null,не менше 21,null,0,null,0
1.3,null,null,автобус,null,null,null,30056005,ПП Універсал-Транс,150,Використовується,null,null,null,не менше 21,null,0,null,0
1.4,null,null,автобус,null,null,null,30056005,ПП Універсал-Транс,150,Використовується,null,null,null,не менше 21,null,0,null,0
1.5,null,null,автобус,null,null,null,30056005,ПП Універсал-Транс,150,Використовується,null,null,null,не менше 21,null,0,null,0
1.6,null,null,автобус,null,null,null,30056005,ПП Універсал-Транс,150,Використовується,null,null,null,не менше 21,null,0,null,0
1.7,null,null,автобус,null,null,null,30056005,ПП Універсал-Транс,150,Використовується,null,null,null,не менше 21,null,0,null,0
1.8,null,null,автобус,null,null,null,30056005,ПП Універсал-Транс,150,Використовується,null,null,null,не менше 21,null,0,null,0
1.9,null,null,автобус,null,null,null,30056005,ПП Універсал-Транс,150,Використовується,null,null,null,не менше 21,null,0,null,0
1.10.,null,null,автобус,null,null,null,30056005,ПП Універсал-Транс,150,Використовується,null,null,null,не менше 21,null,0,null,0
2.1,null,null,автобус,null,null,null,24102067,ПП Парк,151,Використовується,null,null,не менше 50,не менше 21,null,0,null,0
2.2,null,null,автобус,null,null,null,24102067,ПП Парк,151,Використовується,null,null,не менше 50,не менше 21,null,0,null,0
2.3,null,null,автобус,null,null,null,24102067,ПП Парк,151,Використовується,null,null,не менше 50,не менше 21,null,0,null,0
2.4,null,null,автобус,null,null,null,24102067,ПП Парк,151,Використовується,null,null,не менше 50,не менше 21,null,0,null,0
2.5,null,null,автобус,null,null,null,24102067,ПП Парк,151,Використовується,null,null,не менше 50,не менше 21,null,0,null,0
3.1,null,null,автобус,null,null,null,30977976,ПП АВЕН-ЄЗЄР,157,Використовується,null,null,не менше 50,не менше 21,null,0,null,0
3.2,null,null,автобус,null,null,null,30977976,ПП АВЕН-ЄЗЄР,157,Використовується,null,null,не менше 50,не менше 21,null,0,null,0
3.3,null,null,автобус,null,null,null,30977976,ПП АВЕН-ЄЗЄР,157,Використовується,null,null,не менше 50,не менше 21,null,0,null,0
3.4,null,null,автобус,null,null,null,30977976,ПП АВЕН-ЄЗЄР,157,Використовується,null,null,не менше 50,не менше 21,null,0,null,0
3.5,null,null,автобус,null,null,null,30977976,ПП АВЕН-ЄЗЄР,157,Використовується,null,null,не менше 50,не менше 21,null,0,null,0
4.1,null,null,автобус,null,null,null,24102067,ПП Парк,165,Використовується,null,null,null,не менше 21,null,0,null,0
4.2,null,null,автобус,null,null,null,24102067,ПП Парк,165,Використовується,null,null,null,не менше 21,null,0,null,0
5.1,null,null,автобус,null,null,null,30977976,ПП АВЕН-ЄЗЄР,166,Використовується,null,null,null,не менше 21,null,0,null,0
5.2,null,null,автобус,null,null,null,30977976,ПП АВЕН-ЄЗЄР,166,Використовується,null,null,null,не менше 21,null,0,null,0
5.3,null,null,автобус,null,null,null,30977976,ПП АВЕН-ЄЗЄР,166,Використовується,null,null,null,не менше 21,null,0,null,0
5.4,null,null,автобус,null,null,null,30977976,ПП АВЕН-ЄЗЄР,166,Використовується,null,null,null,не менше 21,null,0,null,0
5.5,null,null,автобус,null,null,null,30977976,ПП АВЕН-ЄЗЄР,166,Використовується,null,null,null,не менше 21,null,0,null,0
6.1,null,null,автобус,null,null,null,30056005,ПП Універсал-Транс,171,Використовується,null,null,не менше 50,не менше 21,null,0,null,0
6.2,null,null,автобус,null,null,null,30056005,ПП Універсал-Транс,171,Використовується,null,null,не менше 50,не менше 21,null,0,null,0
6.3,null,null,автобус,null,null,null,30056005,ПП Універсал-Транс,171,Використовується,null,null,не менше 50,не менше 21,null,0,null,0
6.4,null,null,автобус,null,null,null,30056005,ПП Універсал-Транс,171,Використовується,null,null,не менше 50,не менше 21,null,0,null,0
6.5,null,null,автобус,null,null,null,30056005,ПП Універсал-Транс,171,Використовується,null,null,не менше 50,не менше 21,null,0,null,0
7.1,null,null,автобус,null,null,null,32527677,ТОВ Радонь,174,Використовується,null,null,не менше 50,не менше 21,null,0,null,0
7.2,null,null,автобус,null,null,null,32527677,ТОВ Радонь,174,Використовується,null,null,не менше 50,не менше 21,null,0,null,0
7.3,null,null,автобус,null,null,null,32527677,ТОВ Радонь,174,Використовується,null,null,не менше 50,не менше 21,null,0,null,0
8.1,null,null,автобус,null,null,null,30977976,ПП АВЕН-ЄЗЄР,177,Використовується,null,null,не менше 50,не менше 21,null,0,null,0
8.2,null,null,автобус,null,null,null,30977976,ПП АВЕН-ЄЗЄР,177,Використовується,null,null,не менше 50,не менше 21,null,0,null,0
8.3,null,null,автобус,null,null,null,30977976,ПП АВЕН-ЄЗЄР,177,Використовується,null,null,не менше 50,не менше 21,null,0,null,0
8.4,null,null,автобус,null,null,null,30977976,ПП АВЕН-ЄЗЄР,177,Використовується,null,null,не менше 50,не менше 21,null,0,null,0
8.5,null,null,автобус,null,null,null,30977976,ПП АВЕН-ЄЗЄР,177,Використовується,null,null,не менше 50,не менше 21,null,0,null,0
8.6,null,null,автобус,null,null,null,30977976,ПП АВЕН-ЄЗЄР,177,Використовується,null,null,не менше 50,не менше 21,null,0,null,0
8.7,null,null,автобус,null,null,null,30977976,ПП АВЕН-ЄЗЄР,177,Використовується,null,null,не менше 50,не менше 21,null,0,null,0
8.8,null,null,автобус,null,null,null,30977976,ПП АВЕН-ЄЗЄР,177,Використовується,null,null,не менше 50,не менше 21,null,0,null,0
9.1,null,null,автобус,null,null,null,30977976,ПП АВЕН-ЄЗЄР,178,Використовується,null,null,не менше 50,не менше 21,null,0,null,0
9.2,null,null,автобус,null,null,null,30977976,ПП АВЕН-ЄЗЄР,178,Використовується,null,null,не менше 50,не менше 21,null,0,null,0
9.3,null,null,автобус,null,null,null,30977976,ПП АВЕН-ЄЗЄР,178,Використовується,null,null,не менше 50,не менше 21,null,0,null,0
9.4,null,null,автобус,null,null,null,30977976,ПП АВЕН-ЄЗЄР,178,Використовується,null,null,не менше 50,не менше 21,null,0,null,0
9.5,null,null,автобус,null,null,null,30977976,ПП АВЕН-ЄЗЄР,178,Використовується,null,null,не менше 50,не менше 21,null,0,null,0
9.6,null,null,автобус,null,null,null,30977976,ПП АВЕН-ЄЗЄР,178,Використовується,null,null,не менше 50,не менше 21,null,0,null,0
9.7,null,null,автобус,null,null,null,30977976,ПП АВЕН-ЄЗЄР,178,Використовується,null,null,не менше 50,не менше 21,null,0,null,0
9.8,null,null,автобус,null,null,null,30977976,ПП АВЕН-ЄЗЄР,178,Використовується,null,null,не менше 50,не менше 21,null,0,null,0
9.9,null,null,автобус,null,null,null,30977976,ПП АВЕН-ЄЗЄР,178,Використовується,null,null,не менше 50,не менше 21,null,0,null,0
9.1,null,null,автобус,null,null,null,30977976,ПП АВЕН-ЄЗЄР,178,Використовується,null,null,не менше 50,не менше 21,null,0,null,0
10.1,null,null,автобус,null,null,null,30977976,ПП АВЕН-ЄЗЄР,179,Використовується,null,null,null,не менше 21,null,0,null,0
10.2,null,null,автобус,null,null,null,30977976,ПП АВЕН-ЄЗЄР,179,Використовується,null,null,null,не менше 21,null,0,null,0
10.3,null,null,автобус,null,null,null,30977976,ПП АВЕН-ЄЗЄР,179,Використовується,null,null,null,не менше 21,null,0,null,0
11.1,null,null,автобус,null,null,null,32159460,ТОВ Ярославь-Авто,180,Використовується,null,null,не менше 50,не менше 21,null,0,null,0
11.2,null,null,автобус,null,null,null,32159460,ТОВ Ярославь-Авто,180,Використовується,null,null,не менше 50,не менше 21,null,0,null,0
11.3,null,null,автобус,null,null,null,32159460,ТОВ Ярославь-Авто,180,Використовується,null,null,не менше 50,не менше 21,null,0,null,0
11.4,null,null,автобус,null,null,null,32159460,ТОВ Ярославь-Авто,180,Використовується,null,null,не менше 50,не менше 21,null,0,null,0
11.5,null,null,автобус,null,null,null,32159460,ТОВ Ярославь-Авто,180,Використовується,null,null,не менше 50,не менше 21,null,0,null,0
12.1,null,null,автобус,null,null,null,30977976,ПП АВЕН-ЄЗЄР,181,Використовується,null,null,не менше 50,не менше 21,null,0,null,0
