uid,number,dateSigned,authorityName,authorityId,customerName1,customerId1,customerName2,customerId2,customerName3,customerId3,customerName4,customerId4,description,cadastralNumber,CATUTTC,addressPostCode,addressAdminUnitL1,addressAdminUnitL2,addressAdminUnitL3,addressAdminUnitL4,addressPostName,district,addressThoroughfare,addressLocatorDesignator,addressLocatorBuilding,periodStartDate,periodEndDate,paymentEndDate,status,amountValue,percent,paymentAmountValue,debtAmountValue,penyAmountValue,penaltyAmountValue,penaltyAmountCurrency
01/д-2022,01/д,2022-01-27,Департамент економіки та інвестицій виконавчого органу Київської міської ради (Київської міської державної адміністрації),04633423,Товариство з обмеженою відповідальністю «КІБ»,32979764,null,null,null,null,null,null,"Будівництво об'єкта дорожнього сервісу, а саме: нежитлової будівлі літ. «А» загальною площею 25,40 кв.м та навісу літ. «Б» площею забудови 255,80 кв.м (за даними технічного паспорту Фізичної особи-підприємця Локарева Костянтина Сергійовича)",8000000000:78:086:0002,UA80000000000093317,null,Україна,Київ,null,null,Київ,Оболонський,перетин вул. Богатирської та Полярної,null,null,2022-01-27,До повного виконання своїх зобов'язань,2022-03-02,Виконаний,151848.00,151848.00,151848.00,0,0,0,UAH
02/д-2022,02/д,2022-01-27,Департамент економіки та інвестицій виконавчого органу Київської міської ради (Київської міської державної адміністрації),04633423,Товариство з обмеженою відповідальністю «Ірена М»,21472849,null,null,null,null,null,null,"Реконструкція нежитлової будівлі літ. «А» загальною площею 201,00 кв.м (за даними технічного паспорта Товариства з обмеженою відповідальністю «Проекттехсервісгруп»)",null,UA80000000000093317,null,Україна,Київ,null,null,Київ,Дніпровський,вул. Сосюри Володимира,3-В,null,2022-01-27,До повного виконання своїх зобов'язань,2022-03-02,Виконаний,58482.00,58482.00,58482.00,0,0,0,UAH
03/д-2022,03/д,2022-02-18,Департамент економіки та інвестицій виконавчого органу Київської міської ради (Київської міської державної адміністрації),04633423,Товариство з обмеженою відповідальністю «Дайтона ЛТД»,35671275,null,null,null,null,null,null,"Реконструкція під літ. «Б» групи нежитлових приміщень № 52/1 (автомийка) загальною площею 204,00 кв.м (за даними технічного паспорта Товариства з обмеженою відповідальністю «Київське бюро технічної інвентаризації»)",null,UA80000000000093317,03191,Україна,Київ,null,null,Київ,Голосіївський,вул. Касіяна Василя,2/1,null,2022-02-18,До повного виконання своїх зобов'язань,2022-03-25,Виконаний,55188.00,55188.00,55188.00,0,0,0,UAH
04/д-2022,04/д,2022-11-23,Департамент економіки та інвестицій виконавчого органу Київської міської ради (Київської міської державної адміністрації),04633423,Товариство з обмеженою відповідальністю «ІНФОРМАЦІЙНО-ЮРИДИЧНА СЛУЖБА «АЛЬФА»,23162219,null,null,null,null,null,null,"Нежитлова будівля літ. «А» загальною площею 171,70 кв.м (за даними технічного паспорту Фізичної особи підприємця Кузьменка Олександра Анатолійовича)",null,UA80000000000093317,03124,Україна,Київ,null,null,Київ,Солом'янський,вул. Василенка Миколи,7-А,null,2022-11-23,До повного виконання своїх зобов'язань,2022-12-08,Виконаний,29808.00,29808.00,29808.00,0,0,0,UAH
05/д-2022,05/д,2022-11-28,Департамент економіки та інвестицій виконавчого органу Київської міської ради (Київської міської державної адміністрації),04633423,Товариство з обмеженою відповідальністю «Дніпряночка»,19124058,null,null,null,null,null,null,"Реконструкція торгівельного комплексу міні ринку, а саме нежитлових будівель літ. «Б» загальною площею 196,50 кв. м, літ. «В» загальною площею 140,60 кв. м, літ. «Г» загальною площею 22,90 кв. м (за даними технічного паспорту Товариства з обмеженою відповідальністю «Прогрес ЖКГ»)",null,UA80000000000093317,02097,Україна,Київ,null,null,Київ,Деснянський,вул. Оноре де Бальзака,94,null,2022-11-28,До повного виконання своїх зобов'язань,2022-12-21,Виконаний,194400.00,194400.00,194400.00,0,0,0,UAH
06/д-2022,06/д,2022-12-06,Департамент економіки та інвестицій виконавчого органу Київської міської ради (Київської міської державної адміністрації),04633423,Фізична особа,xxxxxxxxxx,Фізична особа,xxxxxxxxxx,Фізична особа,xxxxxxxxxx,Фізична особа,xxxxxxxxxx,"Реконструкція квартири під нежитлове приміщення № 148 (магазин непродовольчих товарів) з влаштуванням вхідної групи загальною площею 64,00 кв.м (за даними технічного паспорту Товариства з обмеженою відповідальністю «ПРОЕКТСЕРВІСГРУП»)",null,UA80000000000093317,03162,Україна,Київ,null,null,Київ,Святошинський,вул. Тулузи,2/58,null,2022-12-06,До повного виконання своїх зобов'язань,2022-12-27,Виконаний,1431.00,1431.00,1431.00,0,0,0,UAH
07/р-2022,07/р,2022-12-19,Департамент економіки та інвестицій виконавчого органу Київської міської ради (Київської міської державної адміністрації),04633423,Обслуговуючий кооператив «Житлово-будівельний кооператив Весна на вулиці Осінній»,43131164,null,null,null,null,null,null,"Будівництво індивідуального (садибного) житлового будинку загальною площею 2346,30 кв. м (за даними технічного паспорту Фізичної особи-підприємця Ананьєва Євгена Олександровича)",null,UA80000000000093317,null,Україна,Київ,null,null,Київ,Святошинський,вул. Осіння,59,null,2022-12-19,До повного виконання своїх зобов'язань,2023-01-06,Виконаний,896333.53,896333.53,896333.53,0,0,0,UAH
08/р-2022,08/р,2022-12-19,Департамент економіки та інвестицій виконавчого органу Київської міської ради (Київської міської державної адміністрації),04633423,Товариство з обмеженою відповідальністю «АТБ-інвест»,30691543,null,null,null,null,null,null,"Реконструкція груп нежилих приміщень №№ 3 та 5 (в літ. «А») під магазин продовольчих та непродовольчих товарів з розвантажувальною рампою загальною площею 1 040,00 кв. м (за даними технічного паспорту фізичної особи-підприємця Сидорова Валерія Валерійовича)",null,UA80000000000093317,02152,Україна,Київ,null,null,Київ,Дніпровський,просп. Тичини Павла,7,null,2022-12-19,До повного виконання своїх зобов'язань,2022-12-28,Виконаний,6318.00,6318.00,6318.00,0,0,0,UAH
09/р-2022,09/р,2022-12-29,Департамент економіки та інвестицій виконавчого органу Київської міської ради (Київської міської державної адміністрації),04633423,Акціонерне товариство «Акціонерний банк Радабанк»,21322127,Фізична особа,xxxxxxxxxx,null,null,null,null,"Реконструкція нежилих приміщень № 6 нежитлової будівлі літ. «А» загальною площею 2 189,00 кв. м (за даними технічного паспорта Товариства з обмеженою відповідальністю «ГРАНД ПЛЮС-В»)",null,UA80000000000093317,03039,Україна,Київ,null,null,Київ,Голосіївський,просп. Лобановського Валерія,123,null,2022-12-29,До повного виконання своїх зобов'язань,2023-01-07,Виконаний,364878.00,364878.00,364878.00,0,0,0,UAH
01/р-2023,01/р,2023-01-09,Департамент економіки та інвестицій виконавчого органу Київської міської ради (Київської міської державної адміністрації),04633423,Фізична особа,xxxxxxxxxx,null,null,null,null,null,null,"Будівництво індивідуального житлового будинку літ. «А» загальною площею 970,30 кв. м (за даними технічного паспорту Товариства з обмеженою відповідальністю «Київське міське бюро технічної інвентаризації»)",null,UA80000000000093317,null,Україна,Київ,null,null,Київ,Солом'янський,вул. Мостова,23-Б,null,2023-01-09,До повного виконання своїх зобов'язань,2023-01-30,Виконаний,370674.01,370674.01,370674.01,0,0,0,UAH
