uid,title,acceptedDate,issuedDate,type,url,text,creatorName,publisherName,publisherId
010-1,Про підсумки роботи із розгляду звернень громадян в апараті виконавчого органу Київської міської ради (Київської міської державної адміністрації) у 2019 році,null,2020-01-15,Звіти з питань звернень громадян,https://kyivcity.gov.ua/kyiv_ta_miska_vlada/struktura_150/vikonavchiy_organ_kivsko_misko_radi_kivska_miska_derzhavna_administratsiya/aparat_kmda/struktura_aparatu_kmda/upravlinnya_z_pitan_zvernen_gromadyan_386574/zvitnist_upravlinnya_z_pitan_zvernen_gromadyan_386578/informatsiya_pro_pidsumki_roboti_iz_rozglyadu_zvernen_gromadyan_v_aparati_vikonavchogo_organu_kivsko_misko_radi_kivsko_misko_derzhavno_administratsi_u_2019_rotsi/,null,Управління з питань звернень громадян,Апарат виконавчого органу Київської міської ради (Київської міської державної адміністрації),37853361
010-10,Інформація про підсумки роботи із розгляду звернень громадян в апараті виконавчого органу Київської міської ради (Київської міської державної адміністрації) у першому кварталі 2022 року,null,2022-10-18,Звіти з питань звернень громадян,https://kyivcity.gov.ua/kyiv_ta_miska_vlada/struktura_150/vikonavchiy_organ_kivsko_misko_radi_kivska_miska_derzhavna_administratsiya/aparat_kmda/struktura_aparatu_kmda/upravlinnya_z_pitan_zvernen_gromadyan_386574/zvitnist_upravlinnya_z_pitan_zvernen_gromadyan_386578/informatsiya_pro_pidsumki_roboti_iz_rozglyadu_zvernen_gromadyan_v_aparati_vikonavchogo_organu_kivsko_misko_radi_kivsko_misko_derzhavno_administratsi_u_pershomu_kvartali_2022_roku/,null,Управління з питань звернень громадян,Апарат виконавчого органу Київської міської ради (Київської міської державної адміністрації),37853361
010-11,Інформація про підсумки роботи із розгляду звернень громадян в апараті виконавчого органу Київської міської ради (Київської міської державної адміністрації) у першому півріччі 2022 року,null,2022-10-18,Звіти з питань звернень громадян,https://kyivcity.gov.ua/kyiv_ta_miska_vlada/struktura_150/vikonavchiy_organ_kivsko_misko_radi_kivska_miska_derzhavna_administratsiya/aparat_kmda/struktura_aparatu_kmda/upravlinnya_z_pitan_zvernen_gromadyan_386574/zvitnist_upravlinnya_z_pitan_zvernen_gromadyan_386578/informatsiya_pro_pidsumki_roboti_iz_rozglyadu_zvernen_gromadyan_v_aparati_vikonavchogo_organu_kivsko_misko_radi_kivsko_misko_derzhavno_administratsi_u_pershomu_pivrichchi_2022_roku/,null,Управління з питань звернень громадян,Апарат виконавчого органу Київської міської ради (Київської міської державної адміністрації),37853361
010-12,Інформація про підсумки роботи із розгляду звернень громадян в апараті виконавчого органу Київської міської ради (Київської міської державної адміністрації) за 9 місяців 2022 року,null,2022-10-18,Звіти з питань звернень громадян,https://kyivcity.gov.ua/kyiv_ta_miska_vlada/struktura_150/vikonavchiy_organ_kivsko_misko_radi_kivska_miska_derzhavna_administratsiya/aparat_kmda/struktura_aparatu_kmda/upravlinnya_z_pitan_zvernen_gromadyan_386574/zvitnist_upravlinnya_z_pitan_zvernen_gromadyan_386578/informatsiya_pro_pidsumki_roboti_iz_rozglyadu_zvernen_gromadyan_v_aparati_vikonavchogo_organu_kivsko_misko_radi_kivsko_misko_derzhavno_administratsi_za_9_misyatsiv_2022_roku/,null,Управління з питань звернень громадян,Апарат виконавчого органу Київської міської ради (Київської міської державної адміністрації),37853361
010-13,Інформація про підсумки роботи із розгляду звернень громадян в апараті виконавчого органу Київської міської ради (Київської міської державної адміністрації) у 2022 році,null,2023-01-13,Звіти з питань звернень громадян,https://kyivcity.gov.ua/kyiv_ta_miska_vlada/struktura_150/vikonavchiy_organ_kivsko_misko_radi_kivska_miska_derzhavna_administratsiya/aparat_kmda/struktura_aparatu_kmda/upravlinnya_z_pitan_zvernen_gromadyan_386574/zvitnist_upravlinnya_z_pitan_zvernen_gromadyan_386578/informatsiya_pro_pidsumki_roboti_iz_rozglyadu_zvernen_gromadyan_v_aparati_vikonavchogo_organu_kivsko_misko_radi_kivsko_misko_derzhavno_administratsi_u_2022_rotsi/,null,Управління з питань звернень громадян,Апарат виконавчого органу Київської міської ради (Київської міської державної адміністрації),37853361
010-14,Інформація про підсумки роботи з розгляду звернень громадян в апараті виконавчого органу Київської міської ради (Київської міської державної адміністрації) у першому кварталі 2023 року,null,2023-04-07,Звіти з питань звернень громадян,https://kyivcity.gov.ua/kyiv_ta_miska_vlada/struktura_150/vikonavchiy_organ_kivsko_misko_radi_kivska_miska_derzhavna_administratsiya/aparat_kmda/struktura_aparatu_kmda/upravlinnya_z_pitan_zvernen_gromadyan_386574/zvitnist_upravlinnya_z_pitan_zvernen_gromadyan_386578/informatsiya_pro_pidsumki_roboti_z_rozglyadu_zvernen_gromadyan_v_aparati_vikonavchogo_organu_kivsko_misko_radi_kivsko_misko_derzhavno_administratsi_u_pershomu_kvartali_2023_roku_986538/,null,Управління з питань звернень громадян,Апарат виконавчого органу Київської міської ради (Київської міської державної адміністрації),37853361
010-15,Інформація про підсумки роботи з розгляду звернень громадян в апараті виконавчого органу Київської міської ради (Київської міської державної адміністрації) у першому кварталі 2023 року,null,2023-07-14,Звіти з питань звернень громадян,https://kyivcity.gov.ua/kyiv_ta_miska_vlada/struktura_150/vikonavchiy_organ_kivsko_misko_radi_kivska_miska_derzhavna_administratsiya/aparat_kmda/struktura_aparatu_kmda/upravlinnya_z_pitan_zvernen_gromadyan_386574/zvitnist_upravlinnya_z_pitan_zvernen_gromadyan_386578/informatsiya_pro_pidsumki_roboti_z_rozglyadu_zvernen_gromadyan_v_aparati_vikonavchogo_organu_kivsko_misko_radi_kivsko_misko_derzhavno_administratsi_u_pershomu_kvartali_2023_roku_986538/,null,Управління з питань звернень громадян,Апарат виконавчого органу Київської міської ради (Київської міської державної адміністрації),37853361
010-16,Інформація про підсумки роботи із розгляду звернень громадян в апараті виконавчого органу Київської міської ради (Київської міської державної адміністрації) за 9 місяців 2023 року,null,2023-10-12,Звіти з питань звернень громадян,https://kyivcity.gov.ua/kyiv_ta_miska_vlada/struktura_150/vikonavchiy_organ_kivsko_misko_radi_kivska_miska_derzhavna_administratsiya/aparat_kmda/struktura_aparatu_kmda/upravlinnya_z_pitan_zvernen_gromadyan_386574/zvitnist_upravlinnya_z_pitan_zvernen_gromadyan_386578/informatsiya_pro_pidsumki_roboti_iz_rozglyadu_zvernen_gromadyan_v_aparati_vikonavchogo_organu_kivsko_misko_radi_kivsko_misko_derzhavno_administratsi_za_9_misyatsiv_2023_roku/,null,Управління з питань звернень громадян,Апарат виконавчого органу Київської міської ради (Київської міської державної адміністрації),37853361
010-17,Інформація про підсумки роботи із розгляду звернень громадян в апараті виконавчого органу Київської міської ради (Київської міської державної адміністрації) у 2023 році,null,2024-01-15,Звіти з питань звернень громадян,https://kyivcity.gov.ua/kyiv_ta_miska_vlada/struktura_150/vikonavchiy_organ_kivsko_misko_radi_kivska_miska_derzhavna_administratsiya/aparat_kmda/struktura_aparatu_kmda/upravlinnya_z_pitan_zvernen_gromadyan_386574/zvitnist_upravlinnya_z_pitan_zvernen_gromadyan_386578/informatsiya_pro_pidsumki_roboti_iz_rozglyadu_zvernen_gromadyan_v_aparati_vikonavchogo_organu_kivsko_misko_radi_kivsko_misko_derzhavno_administratsi_u_2023_rotsi/,null,Управління з питань звернень громадян,Апарат виконавчого органу Київської міської ради (Київської міської державної адміністрації),37853361
010-18,Інформація про підсумки роботи з розгляду звернень громадян в апараті виконавчого органу Київської міської ради (Київської міської державної адміністрації) у І кварталі 2024 року,null,2024-04-05,Звіти з питань звернень громадян,https://kyivcity.gov.ua/kyiv_ta_miska_vlada/struktura_150/vikonavchiy_organ_kivsko_misko_radi_kivska_miska_derzhavna_administratsiya/aparat_kmda/struktura_aparatu_kmda/upravlinnya_z_pitan_zvernen_gromadyan_386574/zvitnist_upravlinnya_z_pitan_zvernen_gromadyan_386578/informatsiya_pro_pidsumki_roboti_z_rozglyadu_zvernen_gromadyan_v_aparati_vikonavchogo_organu_kivsko_misko_radi_kivsko_misko_derzhavno_administratsi_u_i_kvartali_2024_roku/,null,Управління з питань звернень громадян,Апарат виконавчого органу Київської міської ради (Київської міської державної адміністрації),37853361
010-19,Інформація про підсумки роботи із розгляду звернень громадян в апараті виконавчого органу Київської міської ради (Київської міської державної адміністрації) у першому півріччі 2024 року,null,2024-07-11,Звіти з питань звернень громадян,https://kyivcity.gov.ua/kyiv_ta_miska_vlada/struktura_150/vikonavchiy_organ_kivsko_misko_radi_kivska_miska_derzhavna_administratsiya/aparat_kmda/struktura_aparatu_kmda/upravlinnya_z_pitan_zvernen_gromadyan_386574/zvitnist_upravlinnya_z_pitan_zvernen_gromadyan_386578/informatsiya_pro_pidsumki_roboti_iz_rozglyadu_zvernen_gromadyan_v_aparati_vikonavchogo_organu_kivsko_misko_radi_kivsko_misko_derzhavno_administratsi_u_pershomu_pivrichchi_2024_roku/informatsiya_pro_pidsumki_roboti_iz_rozglyadu_zvernen_gromadyan_v_aparati_kmda_u_i_pivrichchi_2024/,null,Управління з питань звернень громадян,Апарат виконавчого органу Київської міської ради (Київської міської державної адміністрації),37853361
010-2,Про підсумки роботи із розгляду звернень громадян в апараті виконавчого органу Київської міської ради (Київської міської державної адміністрації) у першому кварталі 2020 року,null,2020-04-13,Звіти з питань звернень громадян,https://kyivcity.gov.ua/kyiv_ta_miska_vlada/struktura_150/vikonavchiy_organ_kivsko_misko_radi_kivska_miska_derzhavna_administratsiya/aparat_kmda/struktura_aparatu_kmda/upravlinnya_z_pitan_zvernen_gromadyan_386574/zvitnist_upravlinnya_z_pitan_zvernen_gromadyan_386578/pro_pidsumki_roboti_iz_rozglyadu_zvernen_gromadyan_v_aparati_vikonavchogo_organu_kivsko_misko_radi_kivsko_misko_derzhavno_administratsi_u_pershomu_pivrichchi_2020_roku/,null,Управління з питань звернень громадян,Апарат виконавчого органу Київської міської ради (Київської міської державної адміністрації),37853361
010-20,Інформація про підсумки роботи із розгляду звернень громадян в апараті виконавчого органу Київської міської ради (Київської міської державної адміністрації) за 9 місяців 2024 року,null,2024-10-11,Звіти з питань звернень громадян,https://kyivcity.gov.ua/kyiv_ta_miska_vlada/struktura_150/vikonavchiy_organ_kivsko_misko_radi_kivska_miska_derzhavna_administratsiya/aparat_kmda/struktura_aparatu_kmda/upravlinnya_z_pitan_zvernen_gromadyan_386574/zvitnist_upravlinnya_z_pitan_zvernen_gromadyan_386578/informatsiya_pro_pidsumki_roboti_iz_rozglyadu_zvernen_gromadyan_v_aparati_vikonavchogo_organu_kivsko_misko_radi_kivsko_misko_derzhavno_administratsi_za_9_misyatsiv_2024_roku/,null,Управління з питань звернень громадян,Апарат виконавчого органу Київської міської ради (Київської міської державної адміністрації),37853361
010-21,Звіти про опрацювання запитів на отримання публічної інформації у січні 2020 року,null,2020-02-06,Звіти щодо задоволення запитів на інформацію,https://kyivcity.gov.ua/publichna_informatsiia_Tag_166122/u_sichni_2020_roku/,null,Управління інформаційної політики та доступу до публічної інформації,Апарат виконавчого органу Київської міської ради (Київської міської державної адміністрації),37853361
010-22,Звіти про опрацювання запитів на отримання публічної інформації у лютому 2020 року,null,2020-03-02,Звіти щодо задоволення запитів на інформацію,https://kyivcity.gov.ua/publichna_informatsiia_Tag_166122/u_lyutomu_2020_roku/,null,Управління інформаційної політики та доступу до публічної інформації,Апарат виконавчого органу Київської міської ради (Київської міської державної адміністрації),37853361
010-23,Звіти про опрацювання запитів на отримання публічної інформації у березні 2020 року,null,2020-04-02,Звіти щодо задоволення запитів на інформацію,https://kyivcity.gov.ua/publichna_informatsiia_Tag_166122/u_berezni_2020_roku/,null,Управління інформаційної політики та доступу до публічної інформації,Апарат виконавчого органу Київської міської ради (Київської міської державної адміністрації),37853361
010-24,Звіти про опрацювання запитів на отримання публічної інформації у квітні 2020 року,null,2020-05-04,Звіти щодо задоволення запитів на інформацію,https://kyivcity.gov.ua/publichna_informatsiia_Tag_166122/u_kvitni_2020_roku/,null,Управління інформаційної політики та доступу до публічної інформації,Апарат виконавчого органу Київської міської ради (Київської міської державної адміністрації),37853361
010-25,Звіти про опрацювання запитів на отримання публічної інформації у травні 2020 року,null,2020-06-03,Звіти щодо задоволення запитів на інформацію,https://kyivcity.gov.ua/publichna_informatsiia_Tag_166122/u_travni_2020_roku_406936/,null,Управління інформаційної політики та доступу до публічної інформації,Апарат виконавчого органу Київської міської ради (Київської міської державної адміністрації),37853361
010-26,Звіти про опрацювання запитів на отримання публічної інформації у червні 2020 року,null,2020-07-02,Звіти щодо задоволення запитів на інформацію,https://kyivcity.gov.ua/publichna_informatsiia_Tag_166122/u_chervni_2020_roku/,null,Управління інформаційної політики та доступу до публічної інформації,Апарат виконавчого органу Київської міської ради (Київської міської державної адміністрації),37853361
010-27,Звіти про опрацювання запитів на отримання публічної інформації у липні 2020 року,null,2020-08-04,Звіти щодо задоволення запитів на інформацію,https://kyivcity.gov.ua/publichna_informatsiia_Tag_166122/u_lipni_2020_roku/,null,Управління інформаційної політики та доступу до публічної інформації,Апарат виконавчого органу Київської міської ради (Київської міської державної адміністрації),37853361
010-28,Звіти про опрацювання запитів на отримання публічної інформації у серпні 2020 року,null,2020-09-03,Звіти щодо задоволення запитів на інформацію,https://kyivcity.gov.ua/publichna_informatsiia_Tag_166122/u_serpni_2020_roku/,null,Управління інформаційної політики та доступу до публічної інформації,Апарат виконавчого органу Київської міської ради (Київської міської державної адміністрації),37853361
010-29,Звіти про опрацювання запитів на отримання публічної інформації у вересні 2020 року,null,2020-10-08,Звіти щодо задоволення запитів на інформацію,https://kyivcity.gov.ua/publichna_informatsiia_Tag_166122/u_veresni_2020_roku/,null,Управління інформаційної політики та доступу до публічної інформації,Апарат виконавчого органу Київської міської ради (Київської міської державної адміністрації),37853361
010-3,Про підсумки роботи із розгляду звернень громадян в апараті виконавчого органу Київської міської ради (Київської міської державної адміністрації) у першому півріччі 2020 року,null,2020-07-14,Звіти з питань звернень громадян,https://kyivcity.gov.ua/kyiv_ta_miska_vlada/struktura_150/vikonavchiy_organ_kivsko_misko_radi_kivska_miska_derzhavna_administratsiya/aparat_kmda/struktura_aparatu_kmda/upravlinnya_z_pitan_zvernen_gromadyan_386574/zvitnist_upravlinnya_z_pitan_zvernen_gromadyan_386578/pro_pidsumki_roboti_iz_rozglyadu_zvernen_gromadyan_v_aparati_vikonavchogo_organu_kivsko_misko_radi_kivsko_misko_derzhavno_administratsi_u_pershomu_pivrichchi_2020_roku_407684/,null,Управління з питань звернень громадян,Апарат виконавчого органу Київської міської ради (Київської міської державної адміністрації),37853361
010-30,Звіти про опрацювання запитів на отримання публічної інформації у жовтні 2020 року,null,2020-11-03,Звіти щодо задоволення запитів на інформацію,https://kyivcity.gov.ua/publichna_informatsiia_Tag_166122/u_zhovtni_2020_roku/,null,Управління інформаційної політики та доступу до публічної інформації,Апарат виконавчого органу Київської міської ради (Київської міської державної адміністрації),37853361
010-31,Звіти про опрацювання запитів на отримання публічної інформації у листопаді 2020 року,null,2020-12-02,Звіти щодо задоволення запитів на інформацію,https://kyivcity.gov.ua/publichna_informatsiia_Tag_166122/u_listopadi_2020_roku/,null,Управління інформаційної політики та доступу до публічної інформації,Апарат виконавчого органу Київської міської ради (Київської міської державної адміністрації),37853361
010-32,Звіти про опрацювання запитів на отримання публічної інформації у грудні 2020 року,null,2021-01-04,Звіти щодо задоволення запитів на інформацію,https://kyivcity.gov.ua/publichna_informatsiia_Tag_166122/ugrudni_2020_roku/,null,Управління інформаційної політики та доступу до публічної інформації,Апарат виконавчого органу Київської міської ради (Київської міської державної адміністрації),37853361
010-33,Звіт про опрацювання запитів на інформацію у 2020 році,null,2021-01-20,Звіти щодо задоволення запитів на інформацію,https://kyivcity.gov.ua/publichna_informatsiia_Tag_166122/zvit_pro_opratsyuvannya_zapitiv_na_informatsiyu_u_2020_rotsi/,null,Управління інформаційної політики та доступу до публічної інформації,Апарат виконавчого органу Київської міської ради (Київської міської державної адміністрації),37853361
