uid,title,acceptedDate,issuedDate,type,url,text,creatorName,publisherName,publisherId
100-1,Звіт про організацію роботи із зверненням громадян в Голосіївській районній в місті Києві державній адміністрації за 9 місяців 2024 року,null,2024-10-08,Звіти з питань звернень громадян,https://media-stg.kyivcity.gov.ua/kyivcity/sites/12/header/main-menu/administratsiia/pryiom-hromadian/2024/zvit-za-9m-2024.docx,null,Відділ роботи із зверненнями громадян,Голосіївська районна в місті Києві державна адміністрація,37308812
100-2,Звіт про організацію роботи із зверненням громадян в Голосіївській районній в місті Києві державній адміністрації за I півріччя 2024 року,null,2024-07-08,Звіти з питань звернень громадян,https://media-stg.kyivcity.gov.ua/kyivcity/sites/12/header/main-menu/administratsiia/pryiom-hromadian/2024/zvit-za-1-pivrichchia-2024.doc,null,Відділ роботи із зверненнями громадян,Голосіївська районна в місті Києві державна адміністрація,37308812
100-3,Звіт про організацію роботи із зверненням громадян в Голосіївській районній в місті Києві державній адміністрації за I квартал 2024 року,null,2024-04-03,Звіти з питань звернень громадян,https://media-stg.kyivcity.gov.ua/kyivcity/sites/12/header/main-menu/administratsiia/pryiom-hromadian/2024/pro-pidsumky-roboty-zi-zvernenniamy-za-1kv-2024.doc,null,Відділ роботи із зверненнями громадян,Голосіївська районна в місті Києві державна адміністрація,37308812
100-4,Звіт про організацію роботи із зверненням громадян в Голосіївській районній в місті Києві державній адміністрації за 2023 рік,null,2023-12-05,Звіти з питань звернень громадян,https://media-stg.kyivcity.gov.ua/kyivcity/sites/12/header/main-menu/administratsiia/pryiom-hromadian/zvit-za-2023.doc,null,Відділ роботи із зверненнями громадян,Голосіївська районна в місті Києві державна адміністрація,37308812
100-5,Звіт про організацію роботи із зверненням громадян в Голосіївській районній в місті Києві державній адміністрації за 9 місяців 2023 року,null,2023-10-05,Звіти з питань звернень громадян,https://media-stg.kyivcity.gov.ua/kyivcity/sites/12/header/main-menu/administratsiia/pryiom-hromadian/zvit-za-9m-2023.doc,null,Відділ роботи із зверненнями громадян,Голосіївська районна в місті Києві державна адміністрація,37308812
100-6,Звіт про організацію роботи із зверненням громадян в Голосіївській районній в місті Києві державній адміністрації за I півріччя 2023 року,null,2023-07-05,Звіти з питань звернень громадян,https://media-stg.kyivcity.gov.ua/kyivcity/sites/12/header/main-menu/administratsiia/pryiom-hromadian/zvit-za-1-pivrichchia-2023.doc,null,Відділ роботи із зверненнями громадян,Голосіївська районна в місті Києві державна адміністрація,37308812
100-7,Звіт про організацію роботи із зверненням громадян в Голосіївській районній в місті Києві державній адміністрації за 2022 рік,null,2023-01-15,Звіти з питань звернень громадян,https://media-stg.kyivcity.gov.ua/kyivcity/sites/12/header/main-menu/administratsiia/pryiom-hromadian/zvit-za-2022.docx,null,Відділ роботи із зверненнями громадян,Голосіївська районна в місті Києві державна адміністрація,37308812
100-8,Звіт про організацію роботи із зверненням громадян в Голосіївській районній в місті Києві державній адміністрації за 2021 рік,null,2022-01-15,Звіти з питань звернень громадян,https://media-stg.kyivcity.gov.ua/kyivcity/sites/12/header/main-menu/administratsiia/pryiom-hromadian/zvit-za-2021.doc,null,Відділ роботи із зверненнями громадян,Голосіївська районна в місті Києві державна адміністрація,37308812
100-9,Звіт про організацію роботи із зверненням громадян в Голосіївській районній в місті Києві державній адміністрації за 9 місяців 2021 року,null,2021-10-15,Звіти з питань звернень громадян,https://media-stg.kyivcity.gov.ua/kyivcity/sites/12/header/main-menu/administratsiia/pryiom-hromadian/zvit-za-9m-2021.doc,null,Відділ роботи із зверненнями громадян,Голосіївська районна в місті Києві державна адміністрація,37308812
100-10,Звіт про організацію роботи із зверненням громадян в Голосіївській районній в місті Києві державній адміністрації за I півріччя 2021 року,null,2021-07-15,Звіти з питань звернень громадян,https://media-stg.kyivcity.gov.ua/kyivcity/sites/12/header/main-menu/administratsiia/pryiom-hromadian/zvit-za-1-pivrichchia-2021.doc,null,Відділ роботи із зверненнями громадян,Голосіївська районна в місті Києві державна адміністрація,37308812
