"package_id","package_name","group_name","group_type","medical_program"
1,"Первинна медична допомога","Первинна медична допомога","Первинна","Програма медичних гарантій"
2,"Екстрена медична допомога","Екстрена медична допомога","Екстрена","Програма медичних гарантій"
3,"Хірургічні операції дорослим та дітям у стаціонарних умовах","Стаціонарні послуги загального профілю","Спеціалізована","Програма медичних гарантій"
4,"Стаціонарна допомога дорослим та дітям без проведення хірургічних операцій","Стаціонарні послуги загального профілю","Спеціалізована","Програма медичних гарантій"
5,"Медична допомога при гострому мозковому інсульті","Пріоритетні стаціонарні послуги","Спеціалізована","Програма медичних гарантій"
6,"Медична допомога при гострому інфаркті міокарда","Пріоритетні стаціонарні послуги","Спеціалізована","Програма медичних гарантій"
7,"Медична допомога при пологах","Пріоритетні стаціонарні послуги","Спеціалізована","Програма медичних гарантій"
8,"Медична допомога новонародженим у складних неонатальних випадках","Пріоритетні стаціонарні послуги","Спеціалізована","Програма медичних гарантій"
9,"Профілактика, діагностика, спостереження та лікування в амбулаторних умовах","Амбулаторні послуги загального профілю","Спеціалізована","Програма медичних гарантій"
10,"Мамографія","Діагностичні обстеження раннього виявлення новоутворень","Спеціалізована","Програма медичних гарантій"
11,"Гістероскопія","Діагностичні обстеження раннього виявлення новоутворень","Спеціалізована","Програма медичних гарантій"
12,"Езофагогастродуоденоскопія","Діагностичні обстеження раннього виявлення новоутворень","Спеціалізована","Програма медичних гарантій"
13,"Колоноскопія","Діагностичні обстеження раннього виявлення новоутворень","Спеціалізована","Програма медичних гарантій"
14,"Цистоскопія","Діагностичні обстеження раннього виявлення новоутворень","Спеціалізована","Програма медичних гарантій"
15,"Бронхоскопія","Діагностичні обстеження раннього виявлення новоутворень","Спеціалізована","Програма медичних гарантій"
16,"Лікування пацієнтів методом гемодіалізу в амбулаторних умовах","Діаліз","Спеціалізована","Програма медичних гарантій"
17,"Хіміотерапевтичне лікування та супровід пацієнтів з онкологічними захворюваннями у стаціонарних та  амбулаторних умовах","Онкологія","Спеціалізована","Програма медичних гарантій"
18,"Радіологічне лікування та супровід пацієнтів з онкологічними захворюваннями в стаціонарних та амбулаторних умовах","Онкологія","Спеціалізована","Програма медичних гарантій"
19,"Психіатрична допомога дорослим та дітям у стаціонарних умовах","Психіатрична допомога","Спеціалізована","Програма медичних гарантій"
20,"Діагностика та лікування дорослих і дітей, хворих на туберкульоз, у стаціонарних та амбулаторних умовах","Лікування туберкульозу","Спеціалізована","Програма медичних гарантій"
21,"Діагностика, лікування та супровід осіб із ВІЛ (та підозрою на ВІЛ)","Медична допомога особам із ВІЛ","Спеціалізована","Програма медичних гарантій"
