"legal_entity_id","legal_entity_edrpou","legal_entity_name","care_type","property_type","legal_entity_email","legal_entity_website","legal_entity_phone","edr_role","edr_founders","spromozhna_merezha_role","legal_entity_owner_name","registration_area","registration_settlement_type","registration_settlement_koatuu","registration_settlement","registration_address","registration_gromada_koatuu","registration_gromada_name","lat","lng"
"00031367-5ba0-48d5-931b-3c9f23d9951b","43130119","НЕКОМЕРЦІЙНЕ ПІДПРИЄМСТВО ""ЦЕНТР ПЕРВИННОЇ МЕДИКО-САНІТАРНОЇ ДОПОМОГИ ""СОЦІАЛМЕДИКА"" ГРОМАДСЬКОЇ ОРГАНІЗАЦІЇ ""СІЛІЦЕЯ-КЛАСТЕР""","Первинна","Приватна (без ФОП)","socialmedika_pd@ukr.net","","+380960820870","{засновник}","{""ГРОМАДСЬКА ОРГАНІЗАЦІЯ \""СІЛІЦЕЯ-КЛАСТЕР\""""}","Не входить в спроможну мережу","Шарій Оксана Андріївна","ХМЕЛЬНИЦЬКА","місто","6822110100","ІЗЯСЛАВ","Україна, 30300, Хмельницька обл., Ізяславський р-н, місто Ізяслав, ВУЛИЦЯ ШЕВЧЕНКА, будинок 10В","6822110100","ІЗЯСЛАВСЬКА","50.116041","26.821787"
"000d2d82-5add-4b07-89d1-db5067d3ccb2","43642846","ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ ""МЕДІКС КОМПАНІЯ УПРАВЛІННЯ""","Первинна","Приватна (без ФОП)","info@medics.care","","+380975407887","{засновник}","{""БУЖАН ВОЛОДИМИР СЕРГІЙОВИЧ"",""МАРУНЧАК ОЛЕКСІЙ МИКОЛАЙОВИЧ"",""МАЦЮК ДМИТРО ВІТАЛІЙОВИЧ"",""МОСКАЛЬЧУК СЕРГІЙ ОЛЕГОВИЧ"",""РУСІН ОЛЕКСАНДР ЛЕОНІДОВИЧ"",""ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ \""ЗАКУПІВЛІ.ПРО\""""}","Не входить в спроможну мережу","Бужан Володимир Сергійович","ХМЕЛЬНИЦЬКА","місто","6822110100","ХМЕЛЬНИЦЬКИЙ","Україна, Хмельницька обл., Хмельницький р-н, місто Хмельницький, вул.Проскурівська, будинок 32","6822110100","ІЗЯСЛАВСЬКА","49.433272","27.018569"
"00197725-d848-4e26-aa6c-7612fd5169e1","39007143","КОМУНАЛЬНЕ НЕКОМЕРЦІЙНЕ ПІДПРИЄМСТВО КОЛОМИЙСЬКОЇ МІСЬКОЇ РАДИ ""КОЛОМИЙСЬКИЙ МІСЬКИЙ ЦЕНТР ПЕРВИННОЇ МЕДИКО-САНІТАРНОЇ ДОПОМОГИ""","Первинна","Комунальна","medcentr.kolomyia@gmail.com","https://pmsdkolomyia.net","+380343346364","{засновник}","{""КОЛОМИЙСЬКА МІСЬКА РАДА""}","Не входить в спроможну мережу","Буртик Марія Володимирівна","ІВАНО-ФРАНКІВСЬКА","місто","2610600000","КОЛОМИЯ","Україна, 78200, Івано-Франківська обл., місто Коломия, ВУЛИЦЯ В'ЯЧЕСЛАВА ЧОРНОВОЛА, будинок 32","2610600000","КОЛОМИЙСЬКА","48.529117","25.040590"
"0029bc08-bd8b-42a0-a0f5-c6d085c0328a","44530295","ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ ""Медицея""","Первинна","Приватна (без ФОП)","med1@medicea.clinic","","+380983090303, +380993090303","{засновник}","{""Бєлий Микола Іванович"",""Милиця Костянтин Миколайович""}","Не входить в спроможну мережу","Милиця Костянтин Миколайович","ЗАПОРІЗЬКА","місто","2310100000","ЗАПОРІЖЖЯ","Україна, 69063, Запорізька обл., місто Запоріжжя, вул.Святого Миколая, будинок 53-А","2310100000","ЗАПОРІЗЬКА","47.814214","35.175626"
"002b4bd5-2d0a-4c48-8d17-7b24f4dc96bd","37677525","КОМУНАЛЬНЕ НЕКОМЕРЦІЙНЕ ПІДПРИЄМСТВО ""НІКОПОЛЬСЬКИЙ РАЙОННИЙ ЦЕНТР ПЕРВИННОЇ МЕДИКО-САНІТАРНОЇ ДОПОМОГИ""","Первинна","Комунальна","nr_cpmsd@ukr.net","","+380566696059, +380566696059","{засновник}","{""ЧЕРВОНОГРИГОРІВСЬКА СЕЛИЩНА РАДА""}","Не входить в спроможну мережу","Келембет Юлія Павлівна","ДНІПРОПЕТРОВСЬКА","селище","1222955700","ЧЕРВОНОГРИГОРІВКА","Україна, 53283, Дніпропетровська обл., Нікопольський р-н, селище Червоногригорівка, вул.Ярмаркова, будинок 31","1222955700","ЧЕРВОНОГРИГОРІВСЬКА","47.626437","34.529796"
"0033b641-db83-4551-a5ce-1b925a0691c9","01999626","КОМУНАЛЬНЕ НЕКОМЕРЦІЙНЕ ПІДПРИЄМСТВО ""ЛІКАРНЯ ІНТЕНСИВНОГО ЛІКУВАННЯ І РІВНЯ М. ГОРІШНІ ПЛАВНІ"" ГОРІШНЬОПЛАВНІВСЬКОЇ МІСЬКОЇ РАДИ КРЕМЕНЧУЦЬКОГО РАЙОНУ ПОЛТАВСЬКОЇ ОБЛАСТІ","Спеціалізована","Комунальна","koms.hosp@gmail.com","","+380534844831","{засновник}","{""ГОРІШНЬОПЛАВНІВСЬКА МІСЬКА РАДА КРЕМЕНЧУЦЬКОГО РАЙОНУ ПОЛТАВСЬКОЇ ОБЛАСТІ""}","Загальний","Шишимарева Тетяна Іванівна","ПОЛТАВСЬКА","місто","5310200000","ГОРІШНІ ПЛАВНІ","Україна, 39800, Полтавська обл., Кременчуцький р-н, місто Горішні Плавні, вул.Миру, будинок 10","5310200000","ГОРІШНЬОПЛАВНІВСЬКА","49.013947","33.638798"
"0044d0db-6de8-49cf-ab15-113be343a977","36604084","ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ ""ОКСФОРД МЕДІКАЛ-ВІННИЦЯ""","Первинна","Приватна (без ФОП)","vinnitsa@oxford-med.com.ua","","+380682712121, +380432605005","{засновник}","{""ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ \""КЛІНІКА ОКСФОРД МЕДІКАЛ\""""}","Не входить в спроможну мережу","Марусич Ольга Анатоліївна","ВІННИЦЬКА","місто","0510100000","ВІННИЦЯ","Україна, 21018, Вінницька обл., Вінницький р-н, місто Вінниця, вул.Пирогова, будинок 34В","0510100000","ВІННИЦЬКА","49.230462","28.453619"
"0069e102-1bfb-45dd-b747-0fc3db883c2b","37899673","КОМУНАЛЬНЕ НЕКОМЕРЦІЙНЕ ПІДПРИЄМСТВО ""ДНІПРОВСЬКИЙ ЦЕНТР ПЕРВИННОЇ МЕДИКО-САНІТАРНОЇ ДОПОМОГИ №4"" ДНІПРОВСЬКОЇ МІСЬКОЇ РАДИ","Первинна","Комунальна","dcpmsd4kashtan@gmail.com","","+380682999570","{засновник}","{""ДНІПРОВСЬКА МІСЬКА РАДА""}","Не входить в спроможну мережу","Подольний Андрій Анатолійович","ДНІПРОПЕТРОВСЬКА","місто","1210100000","ДНІПРО","Україна, 49030, Дніпропетровська обл., місто Дніпро, ВУЛИЦЯ ЛАМАНА, будинок 4","1210100000","ДНІПРОВСЬКА","48.467319","35.055184"
"006e73c2-3fc0-4f0e-8f2c-b010a9b4e97e","ФОП","ЯРМОСЮК МАРІЯ ОЛЕКСАНДРІВНА","Первинна","ФОП","yarmosiukmariia.27@gmail.com","","+380991348183","{NULL}","{NULL}","Не входить в спроможну мережу","Ярмосюк Марія Олександрівна","ДНІПРОПЕТРОВСЬКА","місто","1210100000","ДНІПРО","Україна, 49020, Дніпропетровська обл., місто Дніпро, вул. Лісова (Новокодацький район), будинок 114","1210100000","ДНІПРОВСЬКА","48.442228","34.822636"
"00b3d52f-0d78-487c-b5e4-836dea432925","01981738","КОМУНАЛЬНЕ НЕКОМЕРЦІЙНЕ ПІДПРИЄМСТВО ""КИЇВСЬКА МІСЬКА КЛІНІЧНА ЛІКАРНЯ №1"" ВИКОНАВЧОГО ОРГАНУ КИЇВСЬКОЇ МІСЬКОЇ РАДИ (КИЇВСЬКОЇ МІСЬКОЇ ДЕРЖАВНОЇ АДМІНІСТРАЦІЇ)","Спеціалізована","Комунальна","kmkl_1@kyivcity.gov.ua","www.kmkl1.kiev.ua","+380445646534","{засновник}","{""КИЇВСЬКА МІСЬКА РАДА""}","Надкластерний","Іванько Олександр Вікторович","М.КИЇВ","місто","8000000000","КИЇВ","Україна, 02091, місто Київ, ВУЛИЦЯ ХАРКІВСЬКЕ ШОСЕ , будинок 121","8000000000","КИЇВ","50.414617","30.662793"
