source,package_id,package_name,package_title,category,resource_id,resource_name,format,url,status,bytes_or_records,local_path,error
direct,geoboundaries/geoBoundaries_UKR_ADM1.zip,geoboundaries,geoboundaries/geoBoundaries_UKR_ADM1.zip,,geoBoundaries_UKR_ADM1.zip,geoBoundaries_UKR_ADM1.zip,,https://www.geoboundaries.org/api/current/gbOpen/UKR/ADM1/,already_exists,1743,data/kyiv_resilience_data/geoboundaries/geoBoundaries_UKR_ADM1.zip,
direct,geoboundaries/geoBoundaries_UKR_ADM2.zip,geoboundaries,geoboundaries/geoBoundaries_UKR_ADM2.zip,,geoBoundaries_UKR_ADM2.zip,geoBoundaries_UKR_ADM2.zip,,https://www.geoboundaries.org/api/current/gbOpen/UKR/ADM2/,already_exists,1663,data/kyiv_resilience_data/geoboundaries/geoBoundaries_UKR_ADM2.zip,
direct,geoboundaries/geoBoundaries_UKR_ADM3.zip,geoboundaries,geoboundaries/geoBoundaries_UKR_ADM3.zip,,geoBoundaries_UKR_ADM3.zip,geoBoundaries_UKR_ADM3.zip,,https://www.geoboundaries.org/api/current/gbOpen/UKR/ADM3/,already_exists,1690,data/kyiv_resilience_data/geoboundaries/geoBoundaries_UKR_ADM3.zip,
data_gov_ua,46fa40f9-875b-41ee-8d6f-be2cc3e40ace,a1d554df-be4b-4d3f-8063-dd0db4d83ff5,"Інформація про суб'єктів господарювання, які уклали договір із НСЗУ за програмою медичних гарантій",,c486c552-f377-49dc-bd94-13cf9f51ba0a,Опис атрибутів набору даних.xlsx,XLSX,https://data.gov.ua/dataset/46fa40f9-875b-41ee-8d6f-be2cc3e40ace/resource/c486c552-f377-49dc-bd94-13cf9f51ba0a/download/opis-atributiv-naboru-danikh.xlsx,already_exists,19144,data/kyiv_resilience_data/data_gov_ua/a1d554df-be4b-4d3f-8063-dd0db4d83ff5/c486c552-f377-49dc-bd94-13cf9f51ba0a_c486c552-f377-49dc-bd94-13cf9f51ba0a.xlsx,
data_gov_ua,46fa40f9-875b-41ee-8d6f-be2cc3e40ace,a1d554df-be4b-4d3f-8063-dd0db4d83ff5,"Інформація про суб'єктів господарювання, які уклали договір із НСЗУ за програмою медичних гарантій",,ca4792f5-322f-4482-938e-b12cf14c516e,pmg_legal_entity_info.csv,CSV,https://data.gov.ua/dataset/46fa40f9-875b-41ee-8d6f-be2cc3e40ace/resource/ca4792f5-322f-4482-938e-b12cf14c516e/download/pmg_legal_entity_info.csv,already_exists,3398126,data/kyiv_resilience_data/data_gov_ua/a1d554df-be4b-4d3f-8063-dd0db4d83ff5/pmg_legal_entity_info_ca4792f5-322f-4482-938e-b12cf14c516e.csv,
data_gov_ua,46fa40f9-875b-41ee-8d6f-be2cc3e40ace,a1d554df-be4b-4d3f-8063-dd0db4d83ff5,"Інформація про суб'єктів господарювання, які уклали договір із НСЗУ за програмою медичних гарантій",,d98f7120-59fd-47f6-a5a5-e7f220bebc53,pmg_legal_entity_divisions_info.csv,CSV,https://data.gov.ua/dataset/46fa40f9-875b-41ee-8d6f-be2cc3e40ace/resource/d98f7120-59fd-47f6-a5a5-e7f220bebc53/download/pmg_legal_entity_divisions_info.csv,already_exists,8142566,data/kyiv_resilience_data/data_gov_ua/a1d554df-be4b-4d3f-8063-dd0db4d83ff5/pmg_legal_entity_divisions_info_d98f7120-59fd-47f6-a5a5-e7f220bebc53.csv,
kyivcity,9cc30442-b063-4893-80fb-f5c8c9f949e5,adresnyi-reiestr-aparat,Адресний реєстр,architecture,1d95e4d8-7405-4e7b-a9d8-6c242246db58,register.csv,CSV,https://data.kyivcity.gov.ua/dataset/9cc30442-b063-4893-80fb-f5c8c9f949e5/resource/1d95e4d8-7405-4e7b-a9d8-6c242246db58/download/register.csv,already_exists,23762344,data/kyiv_resilience_data/kyivcity/adresnyi-reiestr-aparat/register_1d95e4d8-7405-4e7b-a9d8-6c242246db58.csv,
kyivcity,9cc30442-b063-4893-80fb-f5c8c9f949e5,adresnyi-reiestr-aparat,Адресний реєстр,architecture,dfebf9f2-7548-4f21-b8fe-52fe01b3c2c5,register_API,JSON,https://gisserver-stage.kyivcity.gov.ua/mayno/rest/services/KYIV_API/regaddress/FeatureServer/0/query?where=district=%27Святошинський%27&outFields=*&returnGeometry=true&outSR=4326&f=pjson,error,,,"UnicodeEncodeError('ascii', 'GET /mayno/rest/services/KYIV_API/regaddress/FeatureServer/0/query?where=district=%27Святошинський%27&outFields=*&returnGeometry=true&outSR=4326&f=pjson HTTP/1.1', 85, 98, 'ordinal not in range(128)')"
kyivcity,5505eecc-a202-4f40-8807-26c8aa671079,biuvetni-kompleksy-dep-zhki,Бюветні комплекси,improvements,ff603658-be8d-49d5-951a-d3f034aed5a1,buvets.csv,CSV,https://data.kyivcity.gov.ua/dataset/5505eecc-a202-4f40-8807-26c8aa671079/resource/ff603658-be8d-49d5-951a-d3f034aed5a1/download/buvets.csv,already_exists,49133,data/kyiv_resilience_data/kyivcity/biuvetni-kompleksy-dep-zhki/buvets_ff603658-be8d-49d5-951a-d3f034aed5a1.csv,
kyivcity,bb1d4e80-db0e-4033-b41c-d5b4c7b18ec0,dani-pro-cherhy-ditei-u-zaklady-doshkilnoi-osvity-dep-education,Дані про черги дітей у заклади дошкільної освіти,education,00b178cf-a83a-4e00-b69d-ed7191778edf,line,JSON,https://osvita.kyivcity.gov.ua/v1/kindergartens/line?kindergartenid=58b6bfaa108cf4a56744f3af&period=2025&age=3,error,,,<HTTPError 500: 'Internal Server Error'>
