uid,organizationName,organizationId,wellDepth,status,generator,waterAnalysis,addressAdminUnitL1,addressAdminUnitL2,addressAdminUnitL3,addressAdminUnitL4,addressPostName,addressPostDistrict,addressThoroughfare,addressLocatorDesignator,addressLocatorBuilding,lat,lon
1,СВКП «Київводфонд»,37292855,170,працює,TRUE,https://kyivvodfond.com.ua/pdf/analizi/glushkova_39.pdf,Україна,місто Київ,null,null,Київ,Голосіївський,просп. Академіка Глушкова,39,null,50.36596,30.45676
2,СВКП «Київводфонд»,37292855,146,працює,TRUE,https://kyivvodfond.com.ua/pdf/analizi/zhukovskogo_8-12.pdf,Україна,місто Київ,null,null,Київ,Голосіївський,вул. Василя Жуковського,8-12,null,50.39297,30.49479
3,СВКП «Київводфонд»,37292855,210,працює,TRUE,https://kyivvodfond.com.ua/pdf/analizi/novopyrogivska_33.pdf,Україна,місто Київ,null,null,Київ,Голосіївський,вул. Новопирогівська,33,null,50.36484,30.55556
4,СВКП «Київводфонд»,37292855,152,працює,TRUE,https://kyivvodfond.com.ua/pdf/analizi/g.oborony_10-12.pdf,Україна,місто Київ,null,null,Київ,Голосіївський,вул. Героїв Оборони,10-12,null,50.3829,30.49579
5,СВКП «Київводфонд»,37292855,189,працює,TRUE,https://kyivvodfond.com.ua/pdf/analizi/lisnycha_3(s.chapayivka).pdf,Україна,місто Київ,null,null,Київ,Голосіївський,вул. Ліснича,3,null,50.32893,30.5614
6,СВКП «Київводфонд»,37292855,140,працює,TRUE,https://kyivvodfond.com.ua/pdf/analizi/nauky_43.pdf,Україна,місто Київ,null,null,Київ,Голосіївський,просп. Науки,43,null,50.39008,30.52994
7,СВКП «Київводфонд»,37292855,295,працює,TRUE,https://kyivvodfond.com.ua/pdf/analizi/teremkivska_2-4.pdf,Україна,місто Київ,null,null,Київ,Голосіївський,вул. Теремківська,2-4,null,50.36977,30.45204
8,СВКП «Київводфонд»,37292855,268,працює,TRUE,https://kyivvodfond.com.ua/pdf/analizi/v.vasylkivska_92-96.pdf,Україна,місто Київ,null,null,Київ,Голосіївський,вул. Велика Васильківська,92-96,null,50.42762,30.51399
9,СВКП «Київводфонд»,37292855,150,працює,TRUE,https://kyivvodfond.com.ua/pdf/analizi/vasylkivska_47.pdf,Україна,місто Київ,null,null,Київ,Голосіївський,вул. Васильківська,47,null,50.38728,30.48159
10,СВКП «Київводфонд»,37292855,152,працює,TRUE,https://kyivvodfond.com.ua/pdf/analizi/yakubovskogo_8.pdf,Україна,місто Київ,null,null,Київ,Голосіївський,вул. Героїв Маріуполя,8,null,50.38209,30.45374
11,СВКП «Київводфонд»,37292855,255,працює,TRUE,"https://kyivvodfond.com.ua/pdf/analizi/golosiivskiy,5-15.pdf",Україна,місто Київ,null,null,Київ,Голосіївський,просп. Голосіївський,5/15,null,50.40469,30.51994
12,СВКП «Київводфонд»,37292855,280,працює,TRUE,https://kyivvodfond.com.ua/pdf/analizi/nauky_23.pdf,Україна,місто Київ,null,null,Київ,Голосіївський,просп. Науки,23,null,50.3982,30.53122
13,СВКП «Київводфонд»,37292855,212,працює,TRUE,https://kyivvodfond.com.ua/pdf/analizi/naberezshno-korchuvatska_56-66.pdf,Україна,місто Київ,null,null,Київ,Голосіївський,вул. Набережно-Корчуватська,56/66,null,50.36912,30.55071
14,СВКП «Київводфонд»,37292855,146,працює,TRUE,https://kyivvodfond.com.ua/pdf/analizi/demiyivska_35-37.pdf,Україна,місто Київ,null,null,Київ,Голосіївський,вул. Деміївська,35/37,null,50.40185,30.50919
15,СВКП «Київводфонд»,37292855,170,працює,TRUE,https://kyivvodfond.com.ua/pdf/analizi/zabolotnogo_92-96.pdf,Україна,місто Київ,null,null,Київ,Голосіївський,вул. Заболотного,92/96,null,50.36125,30.46515
16,СВКП «Київводфонд»,37292855,112,працює,TRUE,https://kyivvodfond.com.ua/pdf/analizi/dragomanova_29.pdf,Україна,місто Київ,null,null,Київ,Дарницький,вул. Драгоманова,29,null,50.402057,30.635441
17,СВКП «Київводфонд»,37292855,88,працює,TRUE,https://kyivvodfond.com.ua/pdf/analizi/knyazhyy_zaton_17b.pdf,Україна,місто Київ,null,null,Київ,Дарницький,вул. Княжий затон,17-Б,null,50.40019,30.62066
18,СВКП «Київводфонд»,37292855,103,працює,TRUE,https://kyivvodfond.com.ua/pdf/analizi/verbyckogo_9.pdf,Україна,місто Київ,null,null,Київ,Дарницький,вул. Архітектора Вербицького,9,null,50.40862,30.65968
19,СВКП «Київводфонд»,37292855,100,працює,TRUE,https://kyivvodfond.com.ua/pdf/analizi/verbyckogo_12.pdf,Україна,місто Київ,null,null,Київ,Дарницький,вул. Архітектора Вербицького,12,null,50.41016,30.65222
20,СВКП «Київводфонд»,37292855,100,працює,TRUE,https://kyivvodfond.com.ua/pdf/analizi/revuckogo_32.pdf,Україна,місто Київ,null,null,Київ,Дарницький,вул. Ревуцького,32,null,50.40842,30.64753
21,СВКП «Київводфонд»,37292855,93,працює,TRUE,https://kyivvodfond.com.ua/pdf/analizi/bazhana_24-1.pdf,Україна,місто Київ,null,null,Київ,Дарницький,просп. Миколи Бажана,24/1,null,50.39901,30.64365
22,СВКП «Київводфонд»,37292855,101,працює,TRUE,https://kyivvodfond.com.ua/pdf/analizi/gryshka_8b.pdf,Україна,місто Київ,null,null,Київ,Дарницький,вул. Михайла Гришка,8-Б,null,50.39478,30.63013
23,СВКП «Київводфонд»,37292855,125,працює,TRUE,https://kyivvodfond.com.ua/pdf/analizi/zaslonova_18.pdf,Україна,місто Київ,null,null,Київ,Дарницький,вул. Констянтина Заслонова,18,null,50.42787,30.65751
24,СВКП «Київводфонд»,37292855,93,працює,TRUE,https://kyivvodfond.com.ua/pdf/analizi/zdolbunivska_7.pdf,Україна,місто Київ,null,null,Київ,Дарницький,вул. Здолбунівська,7,null,50.41543,30.61642
25,СВКП «Київводфонд»,37292855,221,працює,TRUE,https://kyivvodfond.com.ua/pdf/analizi/harchenka_29.pdf,Україна,місто Київ,null,null,Київ,Дарницький,вул. Євгена Харченка,29,null,50.388509,30.692582
