uid,inventoryNumber,serialNumber,passportNumber,title,model,producerName,dateReceived,quantity,unitName,primaryAmountValue,currencyCode,amortizationAmountValue,currencyCode1,bookAmountValue,currencyCode2,usageDuarationInYears,wearPercentage,serviceSubgroupTitle,serviceSubgroupId,balanceHolderName,balanceHolderId
01994095-2380,10410384,null,null,Травматологічний набір,null,null,null,1,шт.,0.00,UAH,0.00,UAH,0.00,UAH,null,null,null,null,КНП «Київська міська клінічна лікарня швидкої медичної допомоги»,00184945
01994095-2381,10410389,null,null,Травматологічний набір,null,null,null,1,шт.,0.00,UAH,0.00,UAH,0.00,UAH,null,null,null,null,КНП «Київська міська клінічна лікарня швидкої медичної допомоги»,00184945
01994095-2382,10410388,null,null,Відсмоктувач хірургічний з контейнером багатор.,null,null,null,1,шт.,0.00,UAH,0.00,UAH,0.00,UAH,null,null,null,null,КНП «Київська міська клінічна лікарня швидкої медичної допомоги»,00184945
01994095-2383,10410382,null,null,Травматологічний набір,null,null,null,1,шт.,0.00,UAH,0.00,UAH,0.00,UAH,null,null,null,null,КНП «Київська міська клінічна лікарня швидкої медичної допомоги»,00184945
01994095-2385,10410386,null,null,Травматологічний набір,null,null,null,1,шт.,0.00,UAH,0.00,UAH,0.00,UAH,null,null,null,null,КНП «Київська міська клінічна лікарня швидкої медичної допомоги»,00184945
01994095-2386,10410390,null,null,Травматологічний набір,null,null,null,1,шт.,0.00,UAH,0.00,UAH,0.00,UAH,null,null,null,null,КНП «Київська міська клінічна лікарня швидкої медичної допомоги»,00184945
01994095-2419,10410383,null,null,Травматологічний набір,null,null,null,1,шт.,0.00,UAH,0.00,UAH,0.00,UAH,null,null,null,null,КНП «Київська міська клінічна лікарня швидкої медичної допомоги»,00184945
04350694-940,113000332,783896,783896,Аквадистилятор апірог. елетр.продук.25л/год Д-25,null,Дания ·,null,1,шт.,200.00,UAH,100.00,UAH,100.00,UAH,5,50,null,null,КНП «Київська міська дитяча клінічна лікарня №1»,04350694
04350694-942,700374,18-072,18-072,Аналізатор бактоскан.мультискан,null,Україна,null,1,шт.,581.00,UAH,290.50,UAH,290.50,UAH,5,50,Лабораторне обстеження хворих,4S,КНП «Київська міська дитяча клінічна лікарня №1»,04350694
04350694-944,111672,null,null,Апарат УЗТ-303,УЗТ-303,ООО «МедТеКо» Росія,null,1,шт.,406.00,UAH,203.00,UAH,203.00,UAH,5,50,Фізіотерапевтичні лікувальні втручання,5A,КНП «Київська міська дитяча клінічна лікарня №1»,04350694
