uid,type,wasteType,cansCount,cansCountType,cansVolume,isRecycling,balanceHolderName,balanceHolderId,organizationName,organizationId,mondaySchedule,tuesdaySchedule,wednesdaySchedule,thursdaySchedule,fridaySchedule,saturdaySchedule,sundaySchedule,cleaningFrequency,serviceHours,CATUTTC,addressPostCode,addressAdminUnitL1,addressAdminUnitL2,addressAdminUnitL3,addressAdminUnitL4,addressPostName,addressThoroughfare,addressLocatorDesignator,addressLocatorBuilding,addressDescription,lat,lon
1,null,ТПВ,3,3,1100.0,false,null,null,КП «Київкомунсервіс»,33745659,3,3,3,3,0,3,0,на тиждень,Пн-Чт; Сб,UA80000000000336424,null,Україна,місто Київ,null,null,Київ,вул. Каштанова,8,null,null,50.502183,30.585818
2,null,ТПВ,2,2,1100.0,false,null,null,КП «Київкомунсервіс»,33745659,2,0,2,0,2,2,2,на тиждень,Пн; Ср; Пт — Нд,UA80000000000126643,null,Україна,місто Київ,null,null,Київ,вул. Володимира Антоновича,4/6,null,null,50.439004,30.513306
3,null,ТПВ,4,4,1100.0,false,null,null,КП «Київкомунсервіс»,33745659,4,0,4,4,4,4,0,на тиждень,Пн; Ср-Сб,UA80000000001078669,null,Україна,місто Київ,null,null,Київ,вул. Печенізька,1/7,null,null,50.469111,30.489307
4,null,ТПВ; СФ,4,3; 1,1100.0; 1100.0,true,null,null,КП «Київкомунсервіс»,33745659,3; 0,3; 1,3; 0,3; 0,3; 0,3; 0,3; 0,на тиждень; на тиждень,ТПВ — Пн-Нд; СФ — Вт,UA80000000000210193,null,Україна,місто Київ,null,null,Київ,вул. Ревуцького,4,null,null,50.416371,30.642315
5,null,ТПВ; СФ,4,3; 1,1100.0; 1100.0,true,null,null,КП «Київкомунсервіс»,33745659,2; 1,2; 0,2; 0,1; 0,2; 0,2; 0,0; 0,на тиждень; на тиждень,ТПВ — Пн-Сб; СФ — Пн,UA80000000000980793,null,Україна,місто Київ,null,null,Київ,вул. Авіаконструктора Антонова,2/32,1; 2; 3,null,50.429476,30.466365
6,null,ТПВ; СФ; Підземний к.,7,4; 1; 2,1100.0; 1100.0; 5000.0,true,null,null,КП «Київкомунсервіс»,33745659,4; 0; 0,3; 0; 2,0; 0; 0,4; 0; 0,2; 0; 0,4; 0; 0,0; 1; 0,на тиждень; на місяць; на тиждень,ТПВ — Пн-Вт; Чт-Сб; СФ — Нд (раз на місяць); Підземний к. — Вт,UA80000000000875983,null,Україна,місто Київ,null,null,Київ,просп. Академіка Корольова,12,null,null,50.413639,30.405313
7,null,ТПВ,1,1,1100.0,false,null,null,КП «Київкомунсервіс»,33745659,1,0,1,1,0,1,0,на тиждень,Пн; Ср; Чт; Сб,UA80000000000719633,null,Україна,місто Київ,null,null,Київ,вул. Андріївська,11,null,null,50.461718,30.522079
9,null,ТПВ; СФ,4,3; 1,1100.0; 1100.0,true,null,null,КП «Київкомунсервіс»,33745659,3; 0,3; 1,3; 0,0; 0,3; 0,3; 0,0; 0,на тиждень; на тиждень,ТПВ — Пн-Ср; Пт; Сб; СФ — Вт,UA80000000000479391,null,Україна,місто Київ,null,null,Київ,просп. Павла Тичини,26,null,null,50.431166,30.610186
10,null,ТПВ; СФ,2,1; 1,1100.0; 1100.0,true,null,null,КП «Київкомунсервіс»,33745659,1; 0,1; 0,1; 0,1; 1,1; 0,1; 0,0; 0,на тиждень; на тиждень,ТПВ — Пн-Сб; СФ — Чт,UA80000000000551439,null,Україна,місто Київ,null,null,Київ,вул. Йорданська,2,null,null,50.491234,30.508111
11,null,ТПВ; СФ,4,3; 1,1100.0; 1100.0,true,null,null,КП «Київкомунсервіс»,33745659,3; 0,3; 0,3; 0,2; 1,3; 0,3; 0,0; 0,на тиждень; на тиждень,ТПВ — Пн-Сб; СФ — Чт,UA80000000000551439,null,Україна,місто Київ,null,null,Київ,вул. Йорданська,2-А,null,null,50.491539,30.508938
