uid,organizationName,organizationId,description,type,additinalFacilities,availabilityType,price,currencyCode,paymentType,openingHours,availabilityRestriction,CATUTTC,addressPostCode,addressAdminUnitL1,addressAdminUnitL2,addressAdminUnitL3,addressAdminUnitL4,addressPostName,addressThoroughfare,addressLocatorDesignator,addressLocatorBuilding,addressDescription,lat,lon
1,"Спеціалізоване водогосподарське комунальне підприємство виконавчого органу Київської міської ради (Київської міської державної адміністрації) ""Київводфонд""",37292855,Перебуває в орендному користуванні,Жіноча та чоловіча,null,null,Визначається орендарем,UAH,Визначається орендарем,Визначається орендарем,Визначається орендарем,UA80000000000093317,null,Україна,місто Київ,null,null,Київ,вул. Велика Васильківська,96/17,null,"в сквері ""Поліцейський садок""",50.42753,"30.51536"
2,"Спеціалізоване водогосподарське комунальне підприємство виконавчого органу Київської міської ради (Київської міської державної адміністрації) ""Київводфонд""",37292855,null,Жіноча та чоловіча,null,null,10,UAH,Готівковий та безготівковий,Пн-Нд 07:30-19:30,null,UA80000000000093317,null,Україна,місто Київ,null,null,Київ,просп. Академіка Глушкова,22-А,null,"в підземному переході ст. м. ""Теремки""",50.36672,"30.45305"
3,"Спеціалізоване водогосподарське комунальне підприємство виконавчого органу Київської міської ради (Київської міської державної адміністрації) ""Київводфонд""",37292855,null,Жіноча та чоловіча,null,null,0,UAH,Безкоштовний,Пн-Нд 08:00-20:00,null,UA80000000000093317,null,Україна,місто Київ,null,null,Київ,вул. Ревуцького,б/н,null,в підземному переході,50.41309,"30.64568"
4,"Спеціалізоване водогосподарське комунальне підприємство виконавчого органу Київської міської ради (Київської міської державної адміністрації) ""Київводфонд""",37292855,Перебуває в орендному користуванні,Жіноча та чоловіча,null,null,Визначається орендарем,UAH,Визначається орендарем,Визначається орендарем,Визначається орендарем,UA80000000000093317,null,Україна,місто Київ,null,null,Київ,вул. Гетьмана Павла Полуботка,59-А,null,null,50.46024,"30.63287"
5,"Спеціалізоване водогосподарське комунальне підприємство виконавчого органу Київської міської ради (Київської міської державної адміністрації) ""Київводфонд""",37292855,null,Жіноча та чоловіча,null,null,0,UAH,Безкоштовний,Пн-Нд 08:00-20:00,null,UA80000000000093317,null,Україна,місто Київ,null,null,Київ,просп. Романа Шухевича,3-Д,null,null,50.4938,"30.5412"
6,"Спеціалізоване водогосподарське комунальне підприємство виконавчого органу Київської міської ради (Київської міської державної адміністрації) ""Київводфонд""",37292855,null,Жіноча та чоловіча,null,null,0,UAH,Безкоштовний,Пн-Нд 08:00-20:00,null,UA80000000000093317,null,Україна,місто Київ,null,null,Київ,вул. Євгена Сверстюка,1-Д,null,"біля ст. м. ""Лівобережна""",50.45203,"30.59954"
7,"Спеціалізоване водогосподарське комунальне підприємство виконавчого органу Київської міської ради (Київської міської державної адміністрації) ""Київводфонд""",37292855,Тимчасово не працює,Жіноча та чоловіча,null,Маломобільні групи населення,0,UAH,Безкоштовний,Пн-Нд 08:00-20:00,Працює лише в теплу пору року,UA80000000000093317,null,Україна,місто Київ,null,null,Київ,просп. Броварський,12-А,null,Гідропарк,50.44404,"30.57565"
8,"Спеціалізоване водогосподарське комунальне підприємство виконавчого органу Київської міської ради (Київської міської державної адміністрації) ""Київводфонд""",37292855,null,null,null,null,0,UAH,Безкоштовний,null,Не працює - потребує капітального ремонту,UA80000000000093317,null,Україна,місто Київ,null,null,Київ,пл. Арсенальна,6,null,в підземному переході,50.44366,"30.54534"
9,"Спеціалізоване водогосподарське комунальне підприємство виконавчого органу Київської міської ради (Київської міської державної адміністрації) ""Київводфонд""",37292855,null,null,null,null,0,UAH,Безкоштовний,null,Не працює - потребує капітального ремонту,UA80000000000093317,null,Україна,місто Київ,null,null,Київ,бульв. Дружби народів,б/н,null,в підземному переході,50.42421,"30.56543"
10,"Спеціалізоване водогосподарське комунальне підприємство виконавчого органу Київської міської ради (Київської міської державної адміністрації) ""Київводфонд""",37292855,Тимчасово не працює,Жіноча та чоловіча,null,null,0,UAH,Безкоштовний,Пн-Нд 08:00-20:00,Працює лише в теплу пору року,UA80000000000093317,null,Україна,місто Київ,null,null,Київ,"підземний перехід біля станції метро ""Дніпро""",null,null,"Громадська вбиральня, розташована у підземному переході біля станції метро ""Дніпро""",50.44144,"30.55882"
11,"Спеціалізоване водогосподарське комунальне підприємство виконавчого органу Київської міської ради (Київської міської державної адміністрації) ""Київводфонд""",37292855,null,Жіноча та чоловіча,null,null,10,UAH,Готівковий та безготівковий,Пн-Нд 08:00-20:00,null,UA80000000000093317,null,Україна,місто Київ,null,null,Київ,вул. Верхній Вал,27,null,"в підземному переході ст. м. ""Контрактова площа""",50.46635,"30.51264"
