uid,type,consumerType,unitAmountValue,unitAmountCurrency,unitName,status,providerName,providerId,validFrom,validThrough,legalActType,legalActTitle,legalActIssued,legalActNumber,legalActUrl,text,publisherName,publisherId
1,централізоване опалення,населення,1313.64,UAH,Гкал,Чинний,ТОВ «ОБ'ЄДНАННЯ МЕШКАНЦІВ «ПРОЗОРО»,32492922,2017-05-26,null,Розпорядження,"Про встановлення тарифів на теплову енергію, виробництво теплової енергії, постачання теплової енергії, послуги з централізованого опалення і централізованого постачання гарячої води та вартості витрат з проведення періодичної повірки, обслуговування і ремонт квартирних засобів обліку теплової енергії ТОВАРИСТВУ З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ «ОБ'ЄДНАННЯ МЕШКАНЦІВ «ПРОЗОРО»",2017-05-04,524,https://kyivcity.gov.ua/npa/pro_vstanovlennya_tarifiv_na_teplovu_energiyu_virobnitstvo_teplovo_energi_postachannya_teplovo_energi_poslugi_z_tsentralizovanogo_opalennya_i_tsentralizovanogo_postachannya_garyacho_vodi_ta_vartosti_vitrat_z_provedennya_periodichno_povirki_obslugov/,null,Виконавчий орган Київської міської ради (Київська міська державна адміністрація),00022527
2,централізоване опалення,населення,27.97,UAH,кв. м,Чинний,ТОВ «ОБ'ЄДНАННЯ МЕШКАНЦІВ «ПРОЗОРО»,32492922,2017-05-26,null,Розпорядження,"Про встановлення тарифів на теплову енергію, виробництво теплової енергії, постачання теплової енергії, послуги з централізованого опалення і централізованого постачання гарячої води та вартості витрат з проведення періодичної повірки, обслуговування і ремонт квартирних засобів обліку теплової енергії ТОВАРИСТВУ З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ «ОБ'ЄДНАННЯ МЕШКАНЦІВ «ПРОЗОРО»",2017-05-04,524,https://kyivcity.gov.ua/npa/pro_vstanovlennya_tarifiv_na_teplovu_energiyu_virobnitstvo_teplovo_energi_postachannya_teplovo_energi_poslugi_z_tsentralizovanogo_opalennya_i_tsentralizovanogo_postachannya_garyacho_vodi_ta_vartosti_vitrat_z_provedennya_periodichno_povirki_obslugov/,null,Виконавчий орган Київської міської ради (Київська міська державна адміністрація),00022527
3,централізоване постачання гарячої води за умови підключення рушникосушильників до системи гарячого водопостачання,населення,71.02,UAH,куб. м,Чинний,ТОВ «ОБ'ЄДНАННЯ МЕШКАНЦІВ «ПРОЗОРО»,32492922,2017-05-26,null,Розпорядження,"Про встановлення тарифів на теплову енергію, виробництво теплової енергії, постачання теплової енергії, послуги з централізованого опалення і централізованого постачання гарячої води та вартості витрат з проведення періодичної повірки, обслуговування і ремонт квартирних засобів обліку теплової енергії ТОВАРИСТВУ З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ «ОБ'ЄДНАННЯ МЕШКАНЦІВ «ПРОЗОРО»",2017-05-04,524,https://kyivcity.gov.ua/npa/pro_vstanovlennya_tarifiv_na_teplovu_energiyu_virobnitstvo_teplovo_energi_postachannya_teplovo_energi_poslugi_z_tsentralizovanogo_opalennya_i_tsentralizovanogo_postachannya_garyacho_vodi_ta_vartosti_vitrat_z_provedennya_periodichno_povirki_obslugov/,null,Виконавчий орган Київської міської ради (Київська міська державна адміністрація),00022527
4,централізоване опалення,населення,1453.38,UAH,Гкал,Втратив чинність,ТОВ «КОМФОРТНА ОСЕЛЯ»,35241463,2019-01-23,null,Розпорядження,"Про встановлення тарифів на теплову енергію, виробництво теплової енергії, транспортування теплової енергії, постачання теплової енергії, послуги з централізованого опалення і централізованого постачання гарячої води ТОВАРИСТВУ З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ «КОМФОРТНА ОСЕЛЯ»",2019-01-03,21,https://kyivcity.gov.ua/npa/pro_vstanovlennya_tarifiv_na_teplovu_energiyu_virobnitstvo_teplovo_energi_transportuvannya_teplovo_energi_postachannya_teplovo_energi_poslugi_z_tsentralizovanogo_opalennya_i_tsentralizovanogo_postachannya_garyacho_vodi_tovaristvu__z_obmezhenoyu_vidpovida/,null,Виконавчий орган Київської міської ради (Київська міська державна адміністрація),00022527
5,централізоване опалення,населення,15.98,UAH,кв. м,Втратив чинність,ТОВ «КОМФОРТНА ОСЕЛЯ»,35241463,2019-01-23,null,Розпорядження,"Про встановлення тарифів на теплову енергію, виробництво теплової енергії, транспортування теплової енергії, постачання теплової енергії, послуги з централізованого опалення і централізованого постачання гарячої води ТОВАРИСТВУ З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ «КОМФОРТНА ОСЕЛЯ»",2019-01-03,21,https://kyivcity.gov.ua/npa/pro_vstanovlennya_tarifiv_na_teplovu_energiyu_virobnitstvo_teplovo_energi_transportuvannya_teplovo_energi_postachannya_teplovo_energi_poslugi_z_tsentralizovanogo_opalennya_i_tsentralizovanogo_postachannya_garyacho_vodi_tovaristvu__z_obmezhenoyu_vidpovida/,null,Виконавчий орган Київської міської ради (Київська міська державна адміністрація),00022527
6,централізоване опалення,інші споживачі,1453.38,UAH,Гкал,Втратив чинність,ТОВ «КОМФОРТНА ОСЕЛЯ»,35241463,2019-01-23,null,Розпорядження,"Про встановлення тарифів на теплову енергію, виробництво теплової енергії, транспортування теплової енергії, постачання теплової енергії, послуги з централізованого опалення і централізованого постачання гарячої води ТОВАРИСТВУ З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ «КОМФОРТНА ОСЕЛЯ»",2019-01-03,21,https://kyivcity.gov.ua/npa/pro_vstanovlennya_tarifiv_na_teplovu_energiyu_virobnitstvo_teplovo_energi_transportuvannya_teplovo_energi_postachannya_teplovo_energi_poslugi_z_tsentralizovanogo_opalennya_i_tsentralizovanogo_postachannya_garyacho_vodi_tovaristvu__z_obmezhenoyu_vidpovida/,null,Виконавчий орган Київської міської ради (Київська міська державна адміністрація),00022527
7,централізоване постачання гарячої води у разі відсутності рушникосушильників,населення,81.04,UAH,куб. м,Втратив чинність,ТОВ «КОМФОРТНА ОСЕЛЯ»,35241463,2019-01-23,null,Розпорядження,"Про встановлення тарифів на теплову енергію, виробництво теплової енергії, транспортування теплової енергії, постачання теплової енергії, послуги з централізованого опалення і централізованого постачання гарячої води ТОВАРИСТВУ З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ «КОМФОРТНА ОСЕЛЯ»",2019-01-03,21,https://kyivcity.gov.ua/npa/pro_vstanovlennya_tarifiv_na_teplovu_energiyu_virobnitstvo_teplovo_energi_transportuvannya_teplovo_energi_postachannya_teplovo_energi_poslugi_z_tsentralizovanogo_opalennya_i_tsentralizovanogo_postachannya_garyacho_vodi_tovaristvu__z_obmezhenoyu_vidpovida/,null,Виконавчий орган Київської міської ради (Київська міська державна адміністрація),00022527
8,централізоване постачання гарячої води у разі відсутності рушникосушильників,інші споживачі,81.04,UAH,куб. м,Втратив чинність,ТОВ «КОМФОРТНА ОСЕЛЯ»,35241463,2019-01-23,null,Розпорядження,"Про встановлення тарифів на теплову енергію, виробництво теплової енергії, транспортування теплової енергії, постачання теплової енергії, послуги з централізованого опалення і централізованого постачання гарячої води ТОВАРИСТВУ З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ «КОМФОРТНА ОСЕЛЯ»",2019-01-03,21,https://kyivcity.gov.ua/npa/pro_vstanovlennya_tarifiv_na_teplovu_energiyu_virobnitstvo_teplovo_energi_transportuvannya_teplovo_energi_postachannya_teplovo_energi_poslugi_z_tsentralizovanogo_opalennya_i_tsentralizovanogo_postachannya_garyacho_vodi_tovaristvu__z_obmezhenoyu_vidpovida/,null,Виконавчий орган Київської міської ради (Київська міська державна адміністрація),00022527
9,централізоване опалення,населення,1430.89,UAH,Гкал,Втратив чинність,ТОВ «Експлуатаційна компанія «Комфорт-Майстер»,35899928,2019-01-09,null,Розпорядження,"Про внесення змін до тарифів на теплову енергію, виробництво теплової енергії, послуги з централізованого опалення і централізованого постачання гарячої води Товариству з обмеженою відповідальністю «Експлуатаційна компанія «Комфорт-Майстер»",2018-12-20,2322,https://kyivcity.gov.ua/npa/pro_vnesennya_zmin_do_tarifiv_na_teplovu_energiyu_virobnitstvo_teplovo_energi_poslugi_z_tsentralizovanogo_opalennya_i_tsentralizovanogo_postachannya_garyacho__vodi_tovaristvu_z_obmezhenoyu_vidpovidalnistyu_ekspluatatsiyna_kompaniya_komfort-mayster/,null,Виконавчий орган Київської міської ради (Київська міська державна адміністрація),00022527
10,централізоване опалення,населення,21.44,UAH,кв. м,Втратив чинність,ТОВ «Експлуатаційна компанія «Комфорт-Майстер»,35899928,2019-01-09,null,Розпорядження,"Про внесення змін до тарифів на теплову енергію, виробництво теплової енергії, послуги з централізованого опалення і централізованого постачання гарячої води Товариству з обмеженою відповідальністю «Експлуатаційна компанія «Комфорт-Майстер»",2018-12-20,2322,https://kyivcity.gov.ua/npa/pro_vnesennya_zmin_do_tarifiv_na_teplovu_energiyu_virobnitstvo_teplovo_energi_poslugi_z_tsentralizovanogo_opalennya_i_tsentralizovanogo_postachannya_garyacho__vodi_tovaristvu_z_obmezhenoyu_vidpovidalnistyu_ekspluatatsiyna_kompaniya_komfort-mayster/,null,Виконавчий орган Київської міської ради (Київська міська державна адміністрація),00022527
