id,name,description,constituentDocUrl,homepage,socialAccount,logo,headName,headPost,subOrgOfId,subOrgOfName,CATUTTC,addressAdminUnitL1,addressAdminUnitL2,addressAdminUnitL3,addressAdminUnitL4,addressPostName,addressThoroughfare,addressLocatorDesignator,addressLocatorName,addressPostCode,contactPointName,contactPointEmail,contactPointTelephone,openingHours,availabilityRestriction
38321511,Комунальна бюджетна установа «Контактний центр міста Києва»,"Основним завданням КБУ «Контактний центр міста Києва» є забезпечення оперативного розгляду структурними підрозділами виконавчого органу Київської міської ради (Київської міської державної адміністрації), районними в місті Києві державними адміністраціями",https://drive.google.com/drive/u/1/folders/1jAaQRojxBoJ-0AIkxM9nycZ3-K0QqwId,https://1551.gov.ua/,https://www.facebook.com/cc1551official,https://drive.google.com/file/d/1uIVXabgNS8YHAIeqxYHXgDmDWIxZoYZS/view,Магалова Лариса Петрівна,Директор,37853361,Апарат виконавчого органу Київської міської ради (Київської міської державної адміністрації),UA80000000000093317,Україна,місто Київ,null,null,Київ,вул. Богдана Хмельницького,6-А,null,01001,Приймальна,info@1551.gov.ua,"1551, +380442057337",null,null
04012460,Комунальне підприємство «Автотранспортне підприємство виконавчого органу Київської міської ради (Київської міської державної адміністрації)»,Підприємство створено з метою максимального забезпечення суспільних потреб в автотранспортних послугах та отримання на цій основі прибутку.,https://kyivaudit.gov.ua/vr/ka/company.nsf/0/58F3E5F75CD21E2EC22583350051A5FA/$file/%D0%A1%D0%A2%D0%90%D0%A2%D0%A3%D0%A2.pdf,null,null,null,Рахматуллін Дмитро Сергійович,В.о. Директора,37853361,Апарат виконавчого органу Київської міської ради (Київської міської державної адміністрації),UA80000000000093317,Україна,місто Київ,null,null,Київ,вул. Бориса Грінченка,3-А,null,01001,Бухгалтерія,office@atpkmda.kyiv.ua,+380442797440,"Пн-Чт з 08:00-17:00, Пт з 08:00-15:45",Перерва на обід: 12:00-12:45
01993807,Комунальна організація «Київмедспецтранс»,"Основною метою є спеціалізоване транспортне обслуговування та забезпечення спеціальним автотранспортом бригад екстреної (швидкої) медичної допомоги та інших закладів охорони здоров'я, що засновані на комунальній власності територіальної громади міста Києв",https://kyivcity.gov.ua/npa/pro_vnesennya_zmin_do_polozhennya_komunalno_organizatsi_kivmedspetstrans_451339/p1dmrm20fq_kmda__2352/,https://medavto.com.ua/,null,null,Безносюк Віталій Дмитрович,Керівник,37853361,Апарат виконавчого органу Київської міської ради (Київської міської державної адміністрації),UA80000000000093317,Україна,місто Київ,null,null,Київ,вул. Дегтярівська,25,null,04119,Приймальна,kmst@kyivcity.gov.ua,+380442070403,Пн-Пт з 08:00-17:00,Перерва на обід: 13:00-14:00
24587955,Київський регіональний центр підвищення кваліфікації,"Основними завданнями Центру є: надання освітніх послуг з професійного навчання державним службовцям виконавчого органу Київської міської ради (Київської міської державної адміністрації), районних в місті Києві державних адміністрацій, посадовим особам місцевого самоврядування",http://cpk.org.ua/wp-content/uploads/2022/08/kmda-%E2%84%96-1656.pdf,http://cpk.org.ua,null,null,Гаврищук Вікторія Анатоліївна,Директор,37853361,Апарат виконавчого органу Київської міської ради (Київської міської державної адміністрації),UA80000000000093317,Україна,місто Київ,null,null,Київ,вул. Лабораторна,1/62-А,null,03150,Приймальна,cpk@kievcity.gov.ua,+380445212077,"Пн-Чт з 09:00-18:00, Пт з 09:00-16:45",Перерва на обід: 13:00-13:45
33643377,Комунальна науково-дослідна установа «Науково-дослідний інститут соціально-економічного розвитку міста»,"Комунальна науково-дослідна установа «Науково-дослідний інститут соціально-економічного розвитку міста» забезпечує наукове обґрунтування сталого економічного і соціального розвитку на території м. Києва, науково-експертний супровід удосконалення методів та механізмів стратегічного планування, програмно-цільового бюджетування, управління розвитком міста.",https://kyivcity.gov.ua/npa/pro_vnesennya_zmin_do_polozhennya_pro_komunalnu_naukovo-doslidnu_ustanovu_naukovo-doslidniy_institut_sotsialno-ekonomichnogo_rozvitku_mista_453237/File_9sm2cz8a0f_kmda__2529/,https://ndirom.org/,https://www.facebook.com/ndirom,null,Павловський Сергій Анатолійович,Директор,04633423,Департамент економіки та інвестицій,UA80000000000093317,Україна,місто Київ,null,null,Київ,вул. Героїв Севастополя,37-А,null,03061,Приймальна,"ndirom@kyivcity.gov.ua, info@ndirom.org",+380442021401,"Пн-Чт з 09:00-18:00, Пт з 09:00-16:45",Перерва на обід: 13:00-13:45
21655857,Комунальне підприємство виконавчого органу Київської міської ради (Київської міської державної адміністрації) «Київське інвестиційне агентство»,"Комунальне підприємство «Київське інвестиційне агентство» є єдиним вікном взаємодії між владою міста та інвестором, головним консультантом та базовою платформою для подальшої реалізації інвестиційних проєктів у столиці.",null,https://investinkyiv.gov.ua/ua/site/index,null,null,Чорній Богдан Петрович,В.о. Генерального директора,04633423,Департамент економіки та інвестицій,UA80000000000093317,Україна,місто Київ,null,null,Київ,вул. Терещенківська,11-А,null,01004,Приймальна,investinkyiv@kyivcity.gov.ua,+380442895351,"Пн-Чт з 09:00-18:00, Пт з 09:00-16:45",Перерва на обід: 13:00-13:45
05415852,Комунальне підприємство виконавчого органу Київської міської ради (Київської міської державної адміністрації) «Фармація»,"Підприємство є спеціалізованим підприємством у сфері забезпечення населення та медичних установ лікарськими засобами та виробами медичного призначення, в тому числі наркотичними засобами, прекурсорами, інсуліновими препаратами та лікарськими засобами, виготовленими в умовах аптеки.",null,http://pharmacy.kiev.ua,https://www.facebook.com/profile.php?id=100006188118908,http://pharmacy.kiev.ua/media/files/logos/logo.png,Кузора Віталій Віталійович,В.о. Генерального директора,04633423,Департамент економіки та інвестицій,UA80000000000093317,Україна,місто Київ,null,null,Київ,вул. Івана Франка,38-Б,null,01054,Приймальна,office@pharmacy.kiev.ua,+380442349141,"Пн-Чт з 09:00-18:00, Пт з 09:00-16:45",Перерва на обід: 13:00-13:45
21462905,Київський геріатричний пансіонат,Пансіонат надає послугу щодо стаціонарного догляду із забезпеченням проживання для осіб похилого віку та інвалідів,https://kyivaudit.gov.ua/vr/ka/company.nsf/0/7E79E007857DBB2BC22580C70035BC99/$file/%D0%9F%D0%BE%D0%BB%D0%BE%D0%B6%D0%B5%D0%BD%D0%BD%D1%8F%20%D0%BF%D1%80%D0%BE%20%D0%BF%D0%B0%D0%BD%D1%81%D1%96%D0%BE%D0%BD%D0%B0%D1%82.pdf,https://kgp.in.ua/,https://www.facebook.com/Kiev.gereatr.pansionat/?,null,Рудик Тетяна Валеріївна,Директор,37441694,Департамент соціальної та ветеранської політики,UA80000000000093317,Україна,місто Київ,null,null,Київ,вул. Українського Відродження,11,null,03179,Приймальна,kgp.kyiv@kyivcity.gov.ua,+380442283072,Пн-Пт з 08:55-17:55,Перерва на обід: 12:55-13:25
03188783,Київський пансіонат ветеранів праці,"Київський пансіонат ветеранів праці є стаціонарною соціально-медичною установою загального типу для постійного проживання громадян похилого віку, ветеранів війни та праці, людей з інвалідністю, які потребують стороннього догляду, побутового та медичного обслуговування.",https://kyivcity.gov.ua/npa/pro_vnesennya_zmin_do_polozhennya_pro_kivskiy_pansionat_veteraniv_pratsi_1003811/,null,https://www.facebook.com/photo/?fbid=464923249006190&set=a.464923229006192,null,Малєєв Олександр Аркадійович,Директор,37441694,Департамент соціальної та ветеранської політики,UA80000000000093317,Україна,місто Київ,null,null,Київ,вул. Кубанської України,2,null,02156,Приймальна - Глущенко Ірина Петрівна,kpvp@ukr.net,+380405134124,"Пн-Чт з 09:00-18:00, Пт з 09:00 - 16:45",Перерва на обід: 13:00-13:45
26267255,Ново-Білицький психоневрологічний інтернат для чоловіків,"Стаціонарний інтернатний заклад для тимчасового або постійного проживання осіб чоловічої статі зі стійкими інтелектуальними, психічними порушеннями, які за станом здоров'я потребують стороннього догляду, соціально-побутового обслуговування, надання медичної допомоги та соціальних послуг.",https://kyivcity.gov.ua/npa/pro_vnesennya_zmin_do_polozhennya_pro_novo-bilitskiy_psikhonevrologichniy_internat_dlya_cholovikiv_1008799/,null,null,null,Кривцов Євгеній Олександрович,Директор,37441694,Департамент соціальної та ветеранської політики,UA80000000000093317,Україна,місто Київ,null,null,Київ,вул. Підлісна,8,null,03164,Приймальна,dipim@ukr.net,+380445876276,"Пн-Чт з 08:30-16:50, Пт з 08:30-15:50",Перерва на обід: 13:00-13:20
03188795,Пуща-Водицький психоневрологічний інтернат,"Інтернат є стаціонарним інтернатним закладом, який надає тимчасове або постійне проживання чоловікам із стійкими інтелектуальними та психічними порушеннями, які потребують постійного -догляду, медичної допомоги та реабілітаційних заходів за висновком лікарської комісії. Основні завдання інтернату полягають у забезпеченні прав підопічних, створенні належних умов для проживання, соціального обслуговування, денної зайнятості та наданні медичної допомоги.",http://surl.li/uqokax,http://surl.li/xvguaw,null,null,Мель Валентина Миколаївна,Директор,37441694,Департамент соціальної та ветеранської політики,UA80000000000093317,Україна,місто Київ,null,null,Київ,вул. Міська,2,null,04075,Приймальна,Pv_pni@bigmir.net,+380963210415,"Пн-Чт з 08:30-17:15, Пт з 08:30-16:00",Перерва на обід: 13:30-14:00
03188777,Святошинський психоневрологічний інтернат,null,null,null,null,null,Тинок Євген Олександрович,Директор,37441694,Департамент соціальної та ветеранської політики,UA80000000000093317,Україна,місто Київ,null,null,Київ,вул. Івана Крамського,16,null,03115,Приймальна,spbil@ukr.net,null,Пн-Пт з 09:00-18:00,null
26021206,Київський психоневрологічний інтернат,"Київський психоневрологічний інтернат є стаціонарним інтернатним закладом для соціального захисту, що утворюється для тимчасового або постійного проживання/перебування осіб чоловічої статі із стійкими інтелектуальними та/або психічними порушеннями, які за станом здоров'я потребують постійного стороннього догляду, соціально-побутового обслуговування, надання медичної допомоги, соціальних послуг та комплексу реабілітаційних заходів і яким згідно з висновком лікарської комісії за участю лікаря-психіатра не протипоказане перебування в Інтернаті",https://kyivcity.gov.ua/npa/pro_vnesennya_zmin_do_polozhennya_pro_kivskiy_psikhonevrologichniy_internat_1006952/kmva__557_1006953/,null,null,null,Сахань Віталій Іванович,Директор,37441694,Департамент соціальної та ветеранської політики,UA80000000000093317,Україна,місто Київ,null,null,Київ,вул. Юнкерова,37,null,04075,Приймальна,pv_vp@ukr.net,+380444018359,"Пн-Чт з 08:30-17:00, Пт з 08:30-15:45",Перерва на обід: 13:00-13:15
03188808,Дарницький дитячий будинок-інтернат,"Дарницький дитячий будинок-інтернат є стаціонарною соціально-медичною установою II профілю для тимчасового (- 6 місяців) або постійного (понад 6 місяців) перебування або проживання дітей з інвалідністю (жіночої статі) віком від 4 - 18 років та осіб з інвалідністю жіночої статі віком від 18 - 35 років з порушеннями фізичного, інтелектуального розвитку та психічними розладами, які за станом здоров'я потребують стороннього догляду, побутового обслуговування, медичної допомоги, освітніх послуг, комплексу реабілітаційних заходів і згідно з медичним висновком не мають протипоказань для перебування в будинку-інтернаті незалежно від наявності осіб, зобов'язаних згідно із законом їх утримувати.",https://kyivcity.gov.ua/npa/pro_vnesennya_zmin_do_polozhennya_pro_darnitskiy_dityachiy_budinok-internat/,null,https://www.facebook.com/ddbi,null,Грибовська Олена Сергіївна,Директор,37441694,Департамент соціальної та ветеранської політики,UA80000000000093317,Україна,місто Київ,null,null,Київ,вул. Ялинкова,58/60,null,02121,Приймальна,ddbi@kyivcity.gov.ua,+380445639949,Пн-Пт з 09:00-16:00,Перерва на обід: 13:00-13:20
03188760,Святошинський дитячий будинок-інтернат,"Святошинський дитячий будинок-інтернат - стаціонарна соціально – медична установа ІІ профілю для постійного проживання дітей (чоловічої статі) віком від 4 - 18 років (вихованців) та чоловіків віком від 18 - 35 років з вадами фізичного або розумового розладу та психічними розладами, які потребують стороннього догляду, побутового і медичного обслуговування. Інтернат заснований у 1960 році на комунальній власності територіальної громади м. Києва. Засновником та власником Інтернату є територіальна громада міста Києва, від імені якої виступає Київська міська рада. Штатним розписом Інтернату передбачений персонал, що забезпечує функціонування установи: педагогічний, медичний, господарський, адміністративний та управлінський. Керівництво установи здійснюється на підставі Положення.",null,null,null,null,Купрійчук Дмитро Васильович,Директор,37441694,Департамент соціальної та ветеранської політики,UA80000000000093317,Україна,місто Київ,null,null,Київ,вул. Котельникова,51,null,03115,Приймальна,sddil@ukr.net,+380444509257,Пн-Пт з 09:00-17:20,Перерва на обід: 13:00-13:20
05395828,Київський міський територіальний центр соціального обслуговування,"Основним завданням Територіального центру є виявлення осіб, які потребують соціальних послуг, оцінювання їх потреб у соціальних послугах; забезпечення якісного надання соціальних послуг відповідно - державних стандартів соціальних послуг; установлення зв'язків з підприємствами, установами та організаціями всіх форм власності, фізичними особами, родичами осіб, яких обслуговує Територіальний центр, з метою сприяння в наданні соціальних послуг; забезпечення перевезення в межах міста осіб з обмеженими фізичними можливостями та інших маломобільних груп населення; здійснення заходів з виконання міських соціальних програм; здійснення в установленому порядку координації роботи, організаційно-методичного забезпечення та контролю за додержанням законодавства про надання соціальних послуг територіальними центрами соціального обслуговування (надання соціальних послуг) в місті Києві; внесення відомостей про отримувачів соціальних послуг - Реєстру надавачів та отримувачів соціальних послуг; проведення моніторингу надання соціальних послуг та оцінки їх якості.",https://kyivaudit.gov.ua/vr/ka/company.nsf/0/86A0710FD184D159C2258340003D7991/$file/%D0%BF%D0%BE%D0%BB%D0%BE%D0%B6%D0%B5%D0%BD%D0%BD%D1%8F.pdf,null,https://www.facebook.com/kmtcso/,null,Лактіонова Тетяна Юріївна,Директор,37441694,Департамент соціальної та ветеранської політики,UA80000000000093317,Україна,місто Київ,null,null,Київ,вул. Котельникова,32/11,null,03115,Приймальна,kmtcso@kyivcity.gov.ua,+380444509166,"Пн-Чт з 08:00-16:45, Пт з 08:00-15:30",Перерва на обід: 13:00-13:30
21487495,"Київський міський Центр соціальної, психологічної, професійної та трудової реабілітації «Аскольд»","Комунальна реабілітаційна установа, цільовим призначенням якої є здійснення комплексу реабілітаційних заходів, спрямованих на створення умов для всебічного розвитку осіб з інвалідністю, які досягли повноліття, а також осіб, визначених в абзацах шостому і сьомому статті 4 Закону України «Про реабілітацію осіб з інвалідністю в Україні»",https://kyivcity.gov.ua/npa/pro_vnesennya_zmin_do_polozhennya_pro_kivskiy_miskiy_tsentr_sotsialno_psikhologichno_profesiyno_ta_trudovo_reabilitatsi_askold/mg__313_1002524/,https://inc.kiev.ua/index.php/pro-tsentr,https://www.facebook.com/kmcsptri,null,Павленко Леонід Валерійович,Директор,37441694,Департамент соціальної та ветеранської політики,UA80000000000093317,Україна,місто Київ,null,null,Київ,вул. Івана Франка,36-Б,null,01054,Приймальна,kmcrin@gmail.com,+380442358793,"Пн-Чт з 09:00-18:00, Пт з 09:00 - 16:45",Перерва на обід: 13:00-13:45
41055234,Київський міський Центр реабілітації дітей з інвалідністю,null,null,null,null,null,Терещенко Олена Василівна,Директор,37441694,Департамент соціальної та ветеранської політики,UA80000000000093317,Україна,місто Київ,null,null,Київ,вул. Олени Теліги,37-Г,null,null,Приймальна,info@dytyna.org.ua,null,Пн-Пт з 09:00-17:00,null
41546538,Комунальна реабілітаційна установа «Київський центр незрячих»,"Основним видом діяльності Центру є здійснення заходів з фізичної, психологічної, соціально-побутової реабілітації осіб, розвитку їх винахідництва, творчих та інтелектуальних здібностей, впровадження новітніх інформаційних технологій, проведення професійної орієнтації, сприяння медичній реабілітації осіб, корекційному вихованню та інклюзивній освіті дітей з глибокими порушеннями зору, професійній підготовці та перепідготовці, працевлаштуванню осіб за для їх максимального включення - повноцінного життя в суспільстві.",null,null,null,null,Васін Сергій Анатолійович,Директор,37441694,Департамент соціальної та ветеранської політики,UA80000000000093317,Україна,місто Київ,null,null,Київ,просп. Берестейський,98/2,null,03062,Приймальна,krukcn@ukr.net,+380444000336,"Пн-Чт з 09:00-18:00, Пт з 09:00 - 16:45",Перерва на обід: 13:00-13:45
22886300,Київський міський центр по нарахуванню та здійсненню соціальних виплат,Київський виплатний центр проводить свою діяльність у сфері соціального захисту із виплати в місті Києві соціальних допомог та компенсацій за державними та місцевими програмами,https://www.google.com/url?sa=i&url=https%3A%2F%2Fkyivcity.gov.ua%2Fnpa%2Fpro_vnesennya_zmin_do_polozhennya_pro_kivskiy_miskiy_tsentr_po_narakhuvannyu_ta_zdiysnennyu_sotsialnikh_viplat_1009082%2Fkmva__779.pdf&psig=AOvVaw2gDbZI3JTDv7BVBjNfB9PX&ust=1729234466213000&source=images&cd=vfe&opi=89978449&ved=0CAQQn5wMahcKEwjoiZbA6pSJAxUAAAAAHQAAAAAQBA,null,null,null,Супрун Любов Михайлівна,Директор,37441694,Департамент соціальної та ветеранської політики,UA80000000000093317,Україна,місто Київ,null,null,Київ,просп. Любомира Гузара,7,null,03165,Приймальна,stta_kvc@kmda.gov.ua,+380444085488,"Пн-Чт з 08:00-17:00, Пт з 08:00-15:45",Перерва на обід: 12:00-12:45
25916674,Київський міський комунальний центр комплексної реабілітації для осіб з інвалідністю внаслідок інтелектуальних порушень «Трамплін»,"Утворений для здійснення комплексу реабілітаційних заходів спрямованих на попередження (запобігання), зменшення або подолання фізичних, психічних розладів, коригування порушень розвитку, навчання основним соціальним та побутовим навичкам, розвиток здібностей, створення передумов для інтеграції у суспільство особам з інвалідністю внаслідок інтелектуальних порушень віком від 18 років. Мета діяльності: залучення осіб з інвалідністю - навчання, формування та розвитку соціальних, комунікативних,фізичних, когнітивних, трудових навичок, умінь, у тому числі самообслуговування, соціальної компетенції; організації денної зайнятості і консультування; створення умов для роботи цих осіб в колективі чи індивідуально із відповідною для них мірою сторонньої підтримки (самостійно, з допомогою або під наглядом), формування в отримувачів соціальних послуг самоповаги.",null,null,https://www.facebook.com/tramplin2000,null,Жидченко Ірина Михайлівна,Директор,37441694,Департамент соціальної та ветеранської політики,UA80000000000093317,Україна,місто Київ,null,null,Київ,просп. Свободи,26,null,04215,Приймальна,ctr_tramplin@ukr.net,+380444269993,Пн-Пт з 08:30-17:00,Перерва на обід: 12:30-13:00
19478709,Київський міський центр комплексного обслуговування бездомних осіб,"Надання комплексу соціальних послуг бездомним особам, особам з інвалідністю та похилого віку в порядку передбаченому Положенням про Центр",https://kyivcity.gov.ua/npa/pro_zatverdzhennya_polozhennya_pro_kivskiy_miskiy_tsentr_kompleksnogo_obslugovuvannya_bezdomnikh_osib/j1j0swlhsh_kmda__1748/,https://kyivcity.gov.ua/npa/pro_zatverdzhennya_polozhennya_pro_kivskiy_miskiy_tsentr_kompleksnogo_obslugovuvannya_bezdomnikh_osib/j1j0swlhsh_kmda__17408/,null,null,Ільїн Сергій Вікторович,Директор,37441694,Департамент соціальної та ветеранської політики,UA80000000000093317,Україна,місто Київ,null,null,Київ,вул. Юнкерова,37,null,04075,Приймальна,ksca_yasno@ukr.net,+380674093010,null,Перерва на обід: 12:00-12:30
26267545,Будинок соціального піклування,"Будинок соціального піклування є закладом соціального захисту для проживання, ночівлі (розміщення на ніч) бездомних осіб, діяльність якого спрямована на виявлення та ведення обліку клієнтів та подальшого надання соціальних послуг з урахуванням потреб клієнтів.",null,null,null,null,Фомічов Геннадій Артемович,Директор,37441694,Департамент соціальної та ветеранської політики,UA80000000000093317,Україна,місто Київ,null,null,Київ,вул. Олекси Гарника,4/6,null,03061,Приймальна,bsp-@ukr.net,"+380444974181,+380444040922",Пн-Пт з 08:00-17:30,Перерва на обід: 12:00-12:30
34162784,Санаторій профілакторій «Тетерів»,"Основним завданням СП «Тетерів» є надання якісних соціальних послуг в межах функціоналу установ, що створюються місцевими органами та функціонують в сфері місцевої інфраструктури.",null,null,null,null,Мельниченко Ніна Миколаївна,Директор,37441694,Департамент соціальної та ветеранської політики,UA32000000000030281,Україна,Київська область,Бучанський район,Пісківська,Пісківка,вул. Санаторна,1,null,07820,Приймальна,nina.melnychenko@kyivcity.gov.ua,+380679589909,Пн-Пт з 08:00-17:00,Перерва на обід: 13:00-14:00
36820437,"Спеціалізований будинок для ветеранів війни та праці, громадян похилого віку та інвалідів на вул. Будищанській, 4","Спеціалізований будинок є закладом, що надає соціальні послуги, і який крім приміщень для проживання, має приміщення для служб соціально-побутового призначення та медичного обслуговування",https://kyivcity.gov.ua/npa/pro_reorganizatsiyu_spetsializovanogo_budinku_dlya_veteraniv_viyni_ta_pratsi_gromadyan_pokhilogo_viku_ta_invalidiv_na_vul_m_kotelnikova_3211_ta_spetsializovanogo_budinku_dlya_veteraniv_viyni_ta_pratsi_gromadyan_pokhilogo_viku_ta_invalidiv_na_vul/File_54g9jsmsqq_2390-2431/,null,null,null,Баята Михайло Іванович,Директор,37441694,Департамент соціальної та ветеранської політики,UA80000000000093317,Україна,місто Київ,null,null,Київ,вул. Будищанська,4,null,02097,Приймальна,sd2dir@i.ua,+380445306600,"Пн, Вт, Чт з 09:00-17:00",Перерва на обід: 13:00-13:45
36971418,Комунальна соціальна установа «Київський реабілітаційний комплекс змішаного типу для осіб з інвалідністю внаслідок інтелектуальних порушень»,"Установа - розвиває навички автономного проживання в суспільстві з необхідною підтримкою, формує стереотипи безпечної поведінки, опанування навичок захисту власних прав, інтересів і позитивного сприйняття себе та оточуючих; - здійснює реабілітаційні заходи під час реабілітаційного процесу, зокрема працетерапія",https://dsp.kyivcity.gov.ua/kataloh-ustanov/pidvidomchi-ustanovy/komunalna-sotsialna-ustanova-kyivskyi-reabilitatsiinyi-kompleks-zmishanoho-typu-dlia-osib-z-invalidnistiu-vnaslidok-intelektualnykh-porushen,null,https://www.facebook.com/ksu.krk/friends_likes?locale=hi_IN,null,Пиленко Раїса Григорівна,Директор,37441694,Департамент соціальної та ветеранської політики,UA80000000000093317,Україна,місто Київ,null,null,Київ,вул. Сиваська,16,null,02157,Приймальна,raisa.pylenko@kyivcity.gov.ua,+380442231266,Пн-Пт з 08:30-17:00,Перерва на обід: 12:30-13:00
25412005,"Київський міський Центр гендерної рівності, запобігання та протидії насильству","Метою Центру є діяльність, спрямована на реалізації рівних прав та можливостей жінок і чоловіків шляхом забезпечення гендерної рівності в усіх сферах суспільного життя, реалізації соціально-освітніх програм та курсів, надання соціальних послуг особам, що постраждали від домашнього насильства та/або насильства за ознакою статі, зокрема сексуального, пов'язаного зі збройним конфліктом.",https://kyivcity.gov.ua/npa/pro_vnesennya_zmin_do_polozhennya_pro_kivskiy_miskiy_tsentr_genderno_rivnosti_zapobigannya_ta_protidi_nasilstvu/,https://kmc-gender.kyiv.ua,"https://www.facebook.com/profile.php?id=100068920131621, https://www.instagram.com/kmc.gende",null,Зотова Тетяна Геннадіївна,Директор,37441694,Департамент соціальної та ветеранської політики,UA80000000000093317,Україна,місто Київ,null,null,Київ,вул. Юрія Іллєнка,20,null,04050,Приймальна,kmcgr@kyivcity.gov.ua,+380442721500,"Пн-Чт з 09:00-18:00, Пт з 09:00-17:00",Перерва на обід: 13:00-13:45
