uid,name,description,constituentDocUrl,homepage,headName,headPost,unitOfId,unitOfName,subUnitOfId,subUnitOfName,CATUTTC,addressAdminUnitL1,addressAdminUnitL2,addressAdminUnitL3,addressAdminUnitL4,addressPostName,addressThoroughfare,addressLocatorDesignator,addressLocatorName,addressPostCode,contactPointName,contactPointEmail,contactPointTelephone,openingHours,availabilityRestriction
010,Апарат виконавчого органу Київської міської ради (Київської міської державної адміністрації),"Основною функцією Апарату є правове, організаційне, документальне, інформаційне, кадрове, фінансово-господарське та інше забезпечення діяльності виконавчого органу Київської міської ради (Київської міської державної адміністрації).",https://kyivcity.gov.ua/kyiv_ta_miska_vlada/struktura_150/vikonavchiy_organ_kivsko_misko_radi_kivska_miska_derzhavna_administratsiya/aparat_kmda/polozhennya_pro_aparat/,https://kyivcity.gov.ua/kyiv_ta_miska_vlada/struktura_150/vikonavchiy_organ_kivsko_misko_radi_kivska_miska_derzhavna_administratsiya/aparat_kmda/,Загуменний Дмитро Миколайович,Керівник апарату,00022527,Київська міська державна адміністрація,null,Київська міська державна адміністрація,UA80000000000093317,Україна,місто Київ,null,null,Київ,вул. Хрещатик,36,null,01001,Приймальня,aparatkmda@kma.gov.ua,+380442027776,"Пн–Чт 8:00–17:00, Пт 8:00–15:45",Перерва на обід: 12:00–12:45
010-1,Патронатна служба міського голови (сектор),"Основними завданнями патронатної служби є: забезпечення умов для ефективної організації діяльності Київського місього голови; забезпечення формування та підтриманння політичного іміджу Київського міського голови; взаємодія зі структурниим підрозділами апарату та виконавчого органу Київської міської ради (Київської міської державної адміністрації), районними в місті Києві державними адміністраціями, органами місцевого самоврядування, а також підприємствами, установамми та організаціями.",https://kyivcity.gov.ua/kyiv_ta_miska_vlada/struktura_150/vikonavchiy_organ_kivsko_misko_radi_kivska_miska_derzhavna_administratsiya/aparat_kmda/struktura_aparatu_kmda/patronatna_sluzhba_kivskogo_miskogo_golovi/polozhennya_pro_patronatnu_sluzhbu_kivskogo_miskogo_golovi_sektor/,https://kyivcity.gov.ua/kyiv_ta_miska_vlada/struktura_150/vikonavchiy_organ_kivsko_misko_radi_kivska_miska_derzhavna_administratsiya/aparat_kmda/struktura_aparatu_kmda/patronatna_sluzhba_kivskogo_miskogo_golovi/,Сайко Наталія Олександрівна,Начальниця управління,37853361,Апарат виконавчого органу Київської міської ради (Київської міської державної адміністрації),010,Апарат виконавчого органу Київської міської ради (Київської міської державної адміністрації),UA80000000000093317,Україна,місто Київ,null,null,Київ,вул. Хрещатик,36,null,01001,null,null,null,"Пн–Чт 8:00–17:00, Пт 8:00–15:45",Перерва на обід: 12:00–12:45
010-2,Управління контрольно-аналітичного забезпечення заступників голови Київської міської державної адміністрації,"Основними завданнями Управління є контрольно-аналітичне забезпечення першого заступника голови Київської міської державної адміністрації, першого заступника голови Київської міської державної адміністрації з питань самоврядних повноважень, заступників голови Київської міської державної адміністрації, заступників голови Київської міської державної адміністрації з питань самоврядних повноважень у сферах, доручених першому заступнику голови Київської міської державної адміністрації, першому заступнику голови Київської міської державної адміністрації з питань самоврядних повноважень, заступникам голови Київської міської державної адміністрації, заступникам голови Київської міської державної адміністрації з питань самоврядних повноважень згідно з розподілом обов'язків між Київським міським головою, першим заступником голови Київської міської державної адміністрації, першим заступником голови Київської міської державної адміністрації з питань самоврядних повноважень, заступниками голови Київської міської державної адміністрації та заступниками голови Київської міської державної адміністрації з питань самоврядних повноважень, затвердженим в установленому порядку",https://kyivcity.gov.ua/kyiv_ta_miska_vlada/struktura_150/vikonavchiy_organ_kivsko_misko_radi_kivska_miska_derzhavna_administratsiya/aparat_kmda/struktura_aparatu_kmda/upravlinnya_kontrolno-analitichnogo_zabezpechennya_pershogo_zastupnika_golovi_kivsko_misko_derzhavno_administratsi_ta_zastupnikiv_golovi_kivsko_misko_derzhavno_administratsi/polozhennya_pro_upravlinnya_kontrolno-analitichnogo_zabezpechennya_zastupnikiv_golovi/,https://kyivcity.gov.ua/kyiv_ta_miska_vlada/struktura_150/vikonavchiy_organ_kivsko_misko_radi_kivska_miska_derzhavna_administratsiya/aparat_kmda/struktura_aparatu_kmda/upravlinnya_kontrolno-analitichnogo_zabezpechennya_pershogo_zastupnika_golovi_kivsko_misko_derzhavno_administratsi_ta_zastupnikiv_golovi_kivsko_misko_derzhavno_administratsi/,Ништик Олександр Анатолійович,Начальник управління,37853361,Апарат виконавчого органу Київської міської ради (Київської міської державної адміністрації),010,Апарат виконавчого органу Київської міської ради (Київської міської державної адміністрації),UA80000000000093317,Україна,місто Київ,null,null,Київ,вул. Хрещатик,36,null,01001,null,org004@kma.gov.ua,+380442027952,"Пн–Чт 8:00–17:00, Пт 8:00–15:45",Перерва на обід: 12:00–12:45
010-3,Управління контрольно-аналітичного забезпечення керівництва апарату виконавчого органу Київської міської ради (Київської міської державної адміністрації),"Основним завданням управління є контрольно-аналітичне забезпечення керівництва апарату виконавчого органу Київської міської ради (Київської міської державної адміністрації) у сферах, доручених керівнику апарату виконавчого органу Київської міської ради (Київської міської державної адміністрації) та його заступникам згідно з Положенням про апарат виконавчого органу Київської міської ради (Київської міської державної адміністрації), розподілом обов'язків між Київським міським головою, першим заступником голови Київської міської державної адміністрації, заступниками голови Київської міської державної адміністрації та керівником апарату виконавчого органу Київської міської ради (Київської міської державної адміністрації) та розподілом обов'язків між керівником апарату виконавчого органу Київської міської ради (Київської міської державної адміністрації), першим заступником та заступниками керівника апарату виконавчого органу Київської міської ради (Київської міської державної адміністрації), затверджених в установленому порядку.",https://kyivcity.gov.ua/kyiv_ta_miska_vlada/struktura_150/vikonavchiy_organ_kivsko_misko_radi_kivska_miska_derzhavna_administratsiya/aparat_kmda/struktura_aparatu_kmda/upravlinnya_kontrolno-analitichnogo_zabezpechennya_kerivnitstva_aparatu_vikonavchogo_organu_kivsko_misko_radi_kmda_386554/polozhennya_pro_upravlinnya/,https://kyivcity.gov.ua/kyiv_ta_miska_vlada/struktura_150/vikonavchiy_organ_kivsko_misko_radi_kivska_miska_derzhavna_administratsiya/aparat_kmda/struktura_aparatu_kmda/upravlinnya_kontrolno-analitichnogo_zabezpechennya_kerivnitstva_aparatu_vikonavchogo_organu_kivsko_misko_radi_kmda_386554/,Алєксєєва Віра Петрівна,Начальниця управління,37853361,Апарат виконавчого органу Київської міської ради (Київської міської державної адміністрації),010,Апарат виконавчого органу Київської міської ради (Київської міської державної адміністрації),UA80000000000093317,Україна,місто Київ,null,null,Київ,вул. Хрещатик,36,null,01001,Алєксєєва Віра Петрівна,null,+380442027506,"Пн–Чт 8:00–17:00, Пт 8:00–15:45",Перерва на обід: 12:00–12:45
010-4,Управління з контролю та аналітичного забезпечення Київського міського голови та виконавчого органу Київської міської ради (Київської міської державної адміністрації),"Основними завданнями Управління є: забезпечення контролю за виконанням структурними підрозділами виконавчого органу Київської міської ради (Київської міської державної адміністрації), районними в місті Києві державними адміністраціями, територіальними органами центральних органів виконавчої влади та органами місцевого самоврядування актів Верховної Ради України, актів та доручень Президента України, доручень Офісу Президента України, актів та доручень Кабінету Міністрів України, актів міністерств та інших центральних органів виконавчої влади, розпоряджень виконавчого органу Київської міської ради (Київської міської державної адміністрації), розпоряджень Київського міського голови, протокольних рішень Колегії виконавчого органу Київської міської ради (Київської міської державної адміністрації), протокольних доручень, напрацьованих під час нарад у Київського міського голови, окремих доручень Київського міського голови, а також за станом роботи з реагування на запити і звернення народних депутатів України та звернення депутатів Київської міської ради; підготовка інформаційно-аналітичних та інших матеріалів з питань виконання контрольних документів та роботи з реагування на запити і звернення народних депутатів України та звернення депутатів Київської міської ради, а також аналітичних матеріалів щодо рівня виконавської дисципліни у структурних підрозділах виконавчого органу Київської міської ради (Київської міської державної адміністрації), районних у місті Києві державних адміністраціях; розроблення та впровадження заходів щодо створення сприятливих умов для прийняття Київським міським головою ефективних управлінських рішень; забезпечення взаємодії Київського міського голови з Верховною Радою України, Офісом Президента України, Кабінетом Міністрів України, міністерствами та іншими центральними органами виконавчої влади, районними в місті Києві державними адміністраціями, Київською міською радою, її постійними комісіями та депутатськими фракціями, Асоціацією міст України; підготовка проєктів розпоряджень виконавчого органу Київської міської ради (Київської міської державної адміністрації) і Київського міського голови з питань контролю; надання методичної допомоги структурним підрозділам апарату виконавчого органу Київської міської ради (Київської міської державної адміністрації), структурним підрозділам виконавчого органу Київської міської ради (Київської міської державної адміністрації), структурним підрозділам секретаріату Київської міської ради, районним у місті Києві державним адміністраціям з питань підвищення рівня організації контролю.",https://kyivcity.gov.ua/kyiv_ta_miska_vlada/struktura_150/vikonavchiy_organ_kivsko_misko_radi_kivska_miska_derzhavna_administratsiya/aparat_kmda/struktura_aparatu_kmda/upravlinnya_analitichnogo_zabezpechennya_kivskogo_miskogo_golovi_386541/polozhennya_pro_upravlinnya_z_kontrolyu/,https://kyivcity.gov.ua/kyiv_ta_miska_vlada/struktura_150/vikonavchiy_organ_kivsko_misko_radi_kivska_miska_derzhavna_administratsiya/aparat_kmda/struktura_aparatu_kmda/upravlinnya_analitichnogo_zabezpechennya_kivskogo_miskogo_golovi_386541/,Комаров Олексій Володимирович,Начальник управління,37853361,Апарат виконавчого органу Київської міської ради (Київської міської державної адміністрації),010,Апарат виконавчого органу Київської міської ради (Київської міської державної адміністрації),UA80000000000093317,Україна,місто Київ,null,null,Київ,вул. Хрещатик,36,null,01001,null,null,null,"Пн–Чт 8:00–17:00, Пт 8:00–15:45",Перерва на обід: 12:00–12:45
010-5,Юридичне управління,Основним завданням управління правове забезпечення діяльності апарату виконавчого органу Київської міської ради (Київської міської державної адміністрації).,https://kyivcity.gov.ua/kyiv_ta_miska_vlada/struktura_150/vikonavchiy_organ_kivsko_misko_radi_kivska_miska_derzhavna_administratsiya/aparat_kmda/struktura_aparatu_kmda/yuridichne_upravlinnya_386612/polozhennya_pro_yuridichne_upravlinnya_zmini_vid_23082023/,https://kyivcity.gov.ua/kyiv_ta_miska_vlada/struktura_150/vikonavchiy_organ_kivsko_misko_radi_kivska_miska_derzhavna_administratsiya/aparat_kmda/struktura_aparatu_kmda/yuridichne_upravlinnya_386612/,Верес Леся Іванівна,Начальниця управління,37853361,Апарат виконавчого органу Київської міської ради (Київської міської державної адміністрації),010,Апарат виконавчого органу Київської міської ради (Київської міської державної адміністрації),UA80000000000093317,Україна,місто Київ,null,null,Київ,вул. Хрещатик,36,null,01001,Юридичне управління,lawoffice@kma.gov.ua,+380442027590,"Пн–Чт 8:00–17:00, Пт 8:00–15:45",Перерва на обід: 12:00–12:45
010-6,Управління по роботі з персоналом,"Основними завданнями є: 1. Реалізація державної політики з питань управління персоналом у виконавчому органі Київської міської ради (КМДА). 2. Забезпечення організаційного розвитку виконавчого органу Київської міської ради (КМДА). 3. Забезпечення здійснення керівником державної служби своїх повноважень з питань управління персоналом. 4. Добір персоналу апарату виконавчого органу Київської міської ради (КМДА). 5.Забезпечення здійснення Київським міським головою повноважень з питань кадрового добору першого заступника голови КМДА, першого заступника голови КМДА з питань здійснення самоврядних повноважень, заступників голови КМДА та заступників голови КМДА з питань здійснення самоврядних повноважень, керівників структурних підрозділів виконавчого органу Київської міської ради (КМДА) та керівників підприємств, установ і організацій, що належать до комунальної власності територіальної громади міста Києва. 6. Документальне оформлення вступу на державну службу, її проходження та припинення. 7. Здійснення аналітичної та організаційної роботи з кадрового менеджменту. 8. Розвиток персоналу та організація професійного навчання державних службовців апарату виконавчого органу Київської міської ради (КМДА), керівників структурних підрозділів виконавчого органу Київської міської ради (КМДА), Київського міського голови, першого заступника голови КМДА, першого заступника голови КМДА з питань здійснення самоврядних повноважень, заступників голови КМДА та заступників голови КМДА з питань здійснення самоврядних повноважень, голів районних в місті Києві державних адміністрацій. 9. Організаційно - методичне керівництво та контроль за роботою з персоналом у структурних підрозділах виконавчого органу Київської міської ради (КМДА), районних в місті Києві державних адміністраціях, на підприємствах, в установах і організаціях, що належать до комунальної власності територіальної громади міста Києва. 10. Організація роботи щодо відзначення державними нагородами України, відзнаками Верховної Ради України, Почесною грамотою КМУ, Подякою Прем'єр-міністра України та заохочувальними відзнаками Київського міського голови.",https://docs.google.com/viewer?embedded=true&url=https://kyivcity.gov.ua/img/item/general/11124.pdf,https://kyivcity.gov.ua/kyiv_ta_miska_vlada/struktura_150/vikonavchiy_organ_kivsko_misko_radi_kivska_miska_derzhavna_administratsiya/aparat_kmda/struktura_aparatu_kmda/upravlinnya_po_roboti_z_personalom_386603/,Таран Олена Олександрівна,Заступник керівника апарату - начальник управління,37853361,Апарат виконавчого органу Київської міської ради (Київської міської державної адміністрації),010,Апарат виконавчого органу Київської міської ради (Київської міської державної адміністрації),UA80000000000093317,Україна,місто Київ,null,null,Київ,вул. Хрещатик,36,null,01001,Управління по роботі з персоналом,kadry@kma.gov.ua,"+380442027605, +380442027486","Пн–Чт 8:00–17:00, Пт 8:00–15:45",Перерва на обід: 12:00–12:45
010-7,Управління фінансово-господарського забезпечення,"Забезпечення здійснення обліку фінансово-господарської діяльності апарату виконавчого органу Київської міської ради (Київської міської державної адміністрації);матеріальне та господарське забезпечення ефективної і безперебійної роботи Київського міського голови, першого заступника голови КМДА, заступників голови КМДА, керівника апарату КМДА, заступників керівника апарату КМДА та працівників апарату КМДА, створення належних умов праці.",https://kyivcity.gov.ua/kyiv_ta_miska_vlada/struktura_150/vikonavchiy_organ_kivsko_misko_radi_kivska_miska_derzhavna_administratsiya/aparat_kmda/struktura_aparatu_kmda/upravlinnya_finansovo-gospodarskogo_zabezpechennya_386610/polozhennya_pro_upravlinnya_finansovo-gospodarskogo_zabezpechennya_zi_zminami_vid_vid_14072025/,https://kyivcity.gov.ua/kyiv_ta_miska_vlada/struktura_150/vikonavchiy_organ_kivsko_misko_radi_kivska_miska_derzhavna_administratsiya/aparat_kmda/struktura_aparatu_kmda/upravlinnya_finansovo-gospodarskogo_zabezpechennya_386610/,Пахаленко Юлія Петрівна,Заступник керівника апарату - начальник управління,37853361,Апарат виконавчого органу Київської міської ради (Київської міської державної адміністрації),010,Апарат виконавчого органу Київської міської ради (Київської міської державної адміністрації),UA80000000000093317,Україна,місто Київ,null,null,Київ,вул. Хрещатик,36,null,01001,Управління фінансово-господарського забезпечення,umtz@kma.gov.ua,"+380442027948, +380442027444, +380442027630, +380442027620","Пн–Чт 8:00–17:00, Пт 8:00–15:45",Перерва на обід: 12:00–12:45
010-8,"Управління організаційної роботи, регіональних зв'язків та охорони праці","Організаційне забезпечення діяльності виконавчого органу Київської міської ради (Київської міської державної адміністрації); планування роботи виконавчого органу Київської міської ради (Київської міської державної адміністрації) та його Колегії; забезпечення взаємодії Київського міського голови, виконавчого органу Київської міської ради (Київської міської державної адміністрації) з органами державної влади, органами місцевого самоврядування та сприяння підвищенню ефективності такої взаємодії; організаційне забезпечення проведення державних та загальноміських заходів, засідань Колегії виконавчого органу Київської міської ради (Київської міської державної адміністрації); забезпечення дотримання в апараті виконавчого органу Київської міської ради (Київської міської державної адміністрації) вимог законодавства у сфері охорони праці та пожежної безпеки.",https://kyivcity.gov.ua/kyiv_ta_miska_vlada/struktura_150/vikonavchiy_organ_kivsko_misko_radi_kivska_miska_derzhavna_administratsiya/aparat_kmda/struktura_aparatu_kmda/upravlinnya_organizatsiyno_roboti_ta_regionalnikh_zvyazkiv_386601/polozhennya_pro_upravlinnya_organizatsiyno_roboti_regionalnikh_zvyazkiv_ta_okhoroni_pratsi/,https://kyivcity.gov.ua/kyiv_ta_miska_vlada/struktura_150/vikonavchiy_organ_kivsko_misko_radi_kivska_miska_derzhavna_administratsiya/aparat_kmda/struktura_aparatu_kmda/upravlinnya_organizatsiyno_roboti_ta_regionalnikh_zvyazkiv_386601/,Мосійчук Петро Анатолійович,Заступник керівника апарату - начальник управління,37853361,Апарат виконавчого органу Київської міської ради (Київської міської державної адміністрації),010,Апарат виконавчого органу Київської міської ради (Київської міської державної адміністрації),UA80000000000093317,Україна,місто Київ,null,null,Київ,вул. Хрещатик,36,null,01001,"Управління організаційної роботи, регіональних зв'язків та охорони праці",kmda_org@kma.gov.ua,+380442027474 +380442027631,"Пн–Чт 8:00–17:00, Пт 8:00–15:45",Перерва на обід: 12:00–12:45
010-9,Управління документообігу,"Основними завданнями управління є встановлення в апараті виконавчого органу Київської міської ради (Київської міської державної адміністрації) єдиного порядку документування управлінської інформації і роботи з документами, реєстрація службових документів, організація та контроль за збереженням документаційного фонду тощо.",https://kyivcity.gov.ua/kyiv_ta_miska_vlada/struktura_150/vikonavchiy_organ_kivsko_misko_radi_kivska_miska_derzhavna_administratsiya/aparat_kmda/struktura_aparatu_kmda/upravlinnya_dokumentoobigu_ta_analizu_sluzhbovo_korespondentsi_386556/polozhennya_pro_upravlinnya_dokumentoobigu_1033030/,https://kyivcity.gov.ua/kyiv_ta_miska_vlada/struktura_150/vikonavchiy_organ_kivsko_misko_radi_kivska_miska_derzhavna_administratsiya/aparat_kmda/struktura_aparatu_kmda/upravlinnya_dokumentoobigu_ta_analizu_sluzhbovo_korespondentsi_386556/,Берегова Тетяна Анатоліївна,Начальниця управління,37853361,Апарат виконавчого органу Київської міської ради (Київської міської державної адміністрації),010,Апарат виконавчого органу Київської міської ради (Київської міської державної адміністрації),UA80000000000093317,Україна,місто Київ,null,null,Київ,вул. Хрещатик,36,null,01001,Управління документообігу та аналізу службової кореспонденції,kmda@kma.gov.ua,"+380442027558, +380442027422, +380442027117","Пн–Чт 8:00–17:00, Пт 8:00–15:45",Перерва на обід: 12:00–12:45
