uid,name,gender,positionName,unitId,unitName,orgId,orgName,img,homepage,socialAccount,telephone,email,openingHours,availabilityRestriction
001-01,Кличко В. В.,1,"Голова Київської міської державної адміністрації, міський голова",null,null,00022527,Київська міська державна адміністрація,null,https://kyivcity.gov.ua/kyiv_ta_miska_vlada/kyivskyi_miskyi_holova/,null,null,null,null,"Дні та час прийому затверджуються Графіком особистого прийому Київським міським головою. Прийом здійснюється відповідно до Порядку організації та проведення особистого прийому громадян у виконавчому органі Київської міської ради (Київській міській державній адміністрації), затвердженого розпорядженням виконавчого органу Київської міської ради (Київської міської державної адміністрації) від 10.11.2014 № 1300 та зареєстрованого в Головному управлінні юстиції у місті Києві 01.12.2014 за № 45/1098. Попередній запис громадян на особистий прийом до Київського міського голови проводиться у разі, коли питання, порушене громадянином, не вирішено після особистого прийому першим заступником голови Київської міської державної адміністрації, заступниками голови Київської міської державної адміністрації відповідно до компетенції, головою районної в місті Києві державної адміністрації чи керівником структурного підрозділу виконавчого органу Київської міської ради (Київської міської державної адміністрації). Відповідно до п. 6 розпорядження виконавчого органу Київської міської ради (КМДА) від 10.11.2014 № 1300 попередній запис на особистий прийом телефоном не здійснюється."
002,null,1,Перший заступник голови КМДА,null,Київська міська державна адміністрація,00022527,Київська міська державна адміністрація,null,null,null,null,null,null,null
005,Мондриївський В. М.,1,Заступник голови КМДА,null,Київська міська державна адміністрація,00022527,Київська міська державна адміністрація,null,https://kyivcity.gov.ua/kyiv_ta_miska_vlada/kerivnytstvo/mondrivskiy_valentin_mikolayovich/,null,+380442027717,valentyn.mondryivskyi@kyivcity.gov.ua,Ср 14:00-15:00,Друга середа місяця
004,Непоп В. І.,1,Заступник голови КМДА,null,Київська міська державна адміністрація,00022527,Київська міська державна адміністрація,null,https://kyivcity.gov.ua/kyiv_ta_miska_vlada/kerivnytstvo/nepop_vyacheslav_ivanovich/,null,+380442027710,vyacheslav.nepop@kyivcity.gov.ua,Ср 14:00-16:00,Друга середа місяця
003,Пантелеєв П. О.,1,Заступник голови КМДА,null,Київська міська державна адміністрація,00022527,Київська міська державна адміністрація,null,https://kyivcity.gov.ua/kyiv_ta_miska_vlada/kerivnytstvo/panteleiev_petro_oleksandrovych/,null,+380442027514,petro.panteleiev@kyivcity.gov.ua,Чт 16:00-18:00,Другий четвер місяця
013,Старостенко Г. В.,2,Заступник голови КМДА,null,Київська міська державна адміністрація,00022527,Київська міська державна адміністрація,null,https://kyivcity.gov.ua/kyiv_ta_miska_vlada/kerivnytstvo/starostenko_hanna_viktorivna/,null,+380442027722,hanna.starostenko@kyivcity.gov.ua,Вт 14:00-15:00,Перший вівторок місяця
015,Андронов В. Є.,1,Заступник голови КМДА з питань здійснення самоврядних повноважень,null,Київська міська державна адміністрація,00022527,Київська міська державна адміністрація,null,https://kyivcity.gov.ua/kyiv_ta_miska_vlada/kerivnytstvo/andronov_vladislav_yevgenovich/,null,+380442027714,vladyslav.andronov@kyivcity.gov.ua,Пн 15:00-16:00,Другий понеділок місяця
014,Говорова О. І.,2,Заступник голови КМДА з питань здійснення самоврядних повноважень,null,Київська міська державна адміністрація,00022527,Київська міська державна адміністрація,null,https://kyivcity.gov.ua/kyiv_ta_miska_vlada/kerivnytstvo/govorova_olena_ivanivna_424676/,null,+380442027566,olena.ghovorova@kyivcity.gov.ua,Чт 12:00-13:00,Перший четвер місяця
017,Прокопів В. В.,1,Заступник голови КМДА з питань здійснення самоврядних повноважень,null,Київська міська державна адміністрація,00022527,Київська міська державна адміністрація,null,https://kyivcity.gov.ua/kyiv_ta_miska_vlada/kerivnytstvo/prokopiv_volodimir_volodimirovich_246457/,null,+380442027032,volodymyr.prokopiv@kyivcity.gov.ua,null,null
016,Усов К. Г.,1,Заступник голови КМДА з питань здійснення самоврядних повноважень,null,Київська міська державна адміністрація,00022527,Київська міська державна адміністрація,null,https://kyivcity.gov.ua/kyiv_ta_miska_vlada/kerivnytstvo/usov_kostyantin_glibovich_423842/,null,+380442027550,kostiantyn.usov@kyivcity.gov.ua,Чт 10:00-11:00,Другий четвер місяця
007,Хонда М. П.,2,Заступник голови КМДА з питань здійснення самоврядних повноважень,null,Київська міська державна адміністрація,00022527,Київська міська державна адміністрація,null,https://kyivcity.gov.ua/kyiv_ta_miska_vlada/kerivnytstvo/khonda_marina_petrivna_260449/,null,+380442027940,maryna.khonda@kyivcity.gov.ua,Вт 10:00-12:00,Другий вівторок місяця
021,Куявський О.Ю.,1,Заступник голови КМДА з питань здійснення самоврядних повноважень,null,Київська міська державна адміністрація,00022527,Київська міська державна адміністрація,null,https://kyivcity.gov.ua/kyiv_ta_miska_vlada/kerivnytstvo/kuyavskiy_oleg_yuriyovich_1029187/,null,+380442028615,oleh.kuiavskyi@kyivcity.gov.ua,Вт 10:00-11:00,Другий вівторок місяця
020,Крищенко А.Є.,1,Заступник голови КМДА з питань здійснення самоврядних повноважень,null,Київська міська державна адміністрація,00022527,Київська міська державна адміністрація,null,https://kyivcity.gov.ua/kyiv_ta_miska_vlada/kerivnytstvo/krischenko_andriy_yevgenovich/,null,null,null,null,Призваний на військову службу
