id,name,description,constituentDocUrl,homepage,socialAccount,logo,headName,headPost,subOrgOfId,subOrgOfName,CATUTTC,addressAdminUnitL1,addressAdminUnitL2,addressAdminUnitL3,addressAdminUnitL4,addressPostName,addressThoroughfare,addressLocatorDesignator,addressLocatorName,addressPostCode,contactPointName,contactPointEmail,contactPointTelephone,openingHours,availabilityRestriction
22879300,Школа І-ІІІ ступенів № 37 міста Києва,Забезпечення здобуття повної загальної середньої освіти,https://school37.kyiv.ua/charter-school/,https://school37.kyiv.ua/set-first-class/,https://www.facebook.com/school37.kiev.ua/?locale=uk_UA,null,Бабка Ірина Петрівна,Директор,37479398,Управління освіти Голосіївської районної в місті Києві державної адміністрації,UA80000000000093317,Україна,місто Київ,null,null,Київ,вул. Антоновича,130/17,null,03150,Приймальна,school37.kiev@gmail.com,+380445291961,Пн-Пт з 08:30-18:30,null
22879292,Школа І-ІІІ ступенів № 36 імені С.П. Корольова міста Києва,Забезпечення здобуття повної загальної середньої освіти,http://www.school36.inf.ua/002.htm,http://www.school36.inf.ua/,https://www.facebook.com/profile.php?id=345468975997983&_rdr,null,Кузів Оксана Орестівна,Директор,37479398,Управління освіти Голосіївської районної в місті Києві державної адміністрації,UA80000000000093317,Україна,місто Київ,null,null,Київ,вул. Стельмаха,9,null,03040,Приймальна,sch36kiev@ukr.net,+380442577630,Пн-Пт з 08:30-19:00,null
22879441,Школа І-ІІІ ступенів № 186 міста Києва,Забезпечення здобуття повної загальної середньої освіти,https://drive.google.com/file/d/1QWIyC2ivfYM-hZkeADFGQpp6BM1kXQ98/view,http://school186.kiev.sch.in.ua/,https://www.facebook.com/school186k/?locale=uk_UA,null,Мархай Олена Володимирівна,Директор,37479398,Управління освіти Голосіївської районної в місті Києві державної адміністрації,UA80000000000093317,Україна,місто Київ,null,null,Київ,вул. Зої Бутенко,8,null,03127,Приймальна,school_186@ukr.net,+380442573045,Пн-Пт з 08:00-18:00,null
20077772,Школа І-ІІІ ступенів № 132 міста Києва,Забезпечення здобуття повної загальної середньої освіти,https://school132kyiv.eddy.school/statut-zakladu-osvity/,https://school132kyiv.eddy.school/,https://www.facebook.com/login/?next=https%3A%2F%2Fwww.facebook.com%2Fgroups%2F396681221350099%2F%3Flocale%3Duk_UA,null,Зіма Світлана Володимирівна,Директор,37479398,Управління освіти Голосіївської районної в місті Києві державної адміністрації,UA80000000000093317,Україна,місто Київ,null,null,Київ,просп. Академіка Глушкова,28,null,03187,Приймальна,132school@ukr.net,+380445265263,Пн-Пт з 08:00-19:20,null
26500958,Централізована система дитячо-юнацьких клубів «ЩАСЛИВЕ ДИТИНСТВО» Голосіївського району м. Києва,Забезпечує реалізацію права громадян на здобуття позашкільної освіти,null,null,https://www.facebook.com/shchaslyvedytynstvo,null,Тищенко Оксана Петрівна,Директор,37413541,Управління культури Голосіївської районної в місті Києві державної адміністрації,UA80000000000093317,Україна,місто Київ,null,null,Київ,вул. Васильківська,2-А,null,03040,Приймальна,CS.HappyChildhood@kyivcity.gov.ua,+380442598029,Пн-Пт з 09:30-18:00,null
36791472,Централізована Бібліотечна система Голосіївського району м. Києва,"Забезпечує інформаційні,освітні, культурні потреби користувачів що сприятимуть культурному розвитку особистості",null,null,https://www.facebook.com/golosiivcbs,null,Станіславчук Оксана Петрівна,Директор,36791472,Управління культури Голосіївської районної в місті Києві державної адміністрації,UA80000000000093317,Україна,місто Київ,null,null,Київ,вул. Юлії Здановської,24,null,03022,Приймальна,cbs-golos@kyivcity.gov.ua,+380442573300,Пн-Чт з 09:00-18:00; Пт з 09:00-16:45,null
26380129,Центр у справах сім'ї та жінок «РОДИННИЙ ДІМ»,"Центр у справах сім'ї та жінок «Родинний дім» Голосіївського району м. Києва є закладом, метою діяльності якого є реалізація політики держави щодо підвищення соціального статусу жінок, забезпечення рівних прав та можливостей жінок і чоловіків, запобігання та протидії насильству в сім'ї, надання соціальних послуг особам, які постраждали від домашнього насильства та/або насильства за ознаками статі, торгівлі людьми. Центр надає послиги психологічног консультування на безоплатній основі мешканцям Голосіївського району",null,https://golos.kyivcity.gov.ua/administratsiia/upravlinnia-sotsialnoho-zakhystu-naselennia/tsentry-iaki-vkhodiat-do-merezhi-upravlinnia-sotsialnoho-zakhystu/tsentr-u-spravakh-simi-ta-zhinok-rodynnyi-dim-holosiivskoho-raionu-m-kyieva,https://www.facebook.com/profile.php?id=100043683752312,null,Гончарук-Груць Надія Андріївна,В.о. Директора,37414016,Управління соціальної та ветеранської політики Голосіївської районної в місті Києві державної адміністрації,UA80000000000093317,Україна,місто Київ,null,null,Київ,просп. Науки,18,null,03083,Приймальна,rodunnuy.dim@kyivcity.gov.ua,+380442525813,Пн-Чт з 09:00-16:00,Перерва на обід: 13:00-13:45
36203172,Фізкультурно-оздоровчий центр «ЦЕНТРАЛІЗОВАНА СИСТЕМА ДИТЯЧО-ЮНАЦЬКИХ СПОРТИВНИХ КЛУБІВ ЗА МІСЦЕМ ПРОЖИВАННЯ «ГОЛОСІЄВО»,"Позашкільний навчальний заклад фізкультурно-оздоровчого та спортивного напрямку – заклад фізичної культури та спорту, який забезпечує розвиток фізичних здібностей вихованців, необхідні умови для повноцінного оздоровлення, занять фізичною культурою та спортом, підготовку спортивного резерву для збірних команд України, набуття навичок здорового способу життя",null,null,https://www.facebook.com/profile.php?id=61553925864324,null,Кушнарьова Лариса Володимитрівна,В.о. директора,37479210,Відділ у справах молоді та спорту Голосіївської районної в місті Києві державної адміністрації,UA80000000000093317,Україна,місто Київ,null,null,Київ,вул. Антоновича,156,null,03150,Приймальна,fco_golos@kyivcity.gov.ua,+380445288211,Пн-Пт з 09:00-18:00,null
24721709,Територіальний центр соціального обслуговування (надання соціальних послуг) Голосіївського району м. Києва,"Територіальний центр соціального обслуговування (надання соціальних послуг) Голосіївського району міста Києва надає соціальні послуги громадянам, які перебувають у складних життєвих обставинах і потребують сторонньої допомоги, за місцем проживання, в умовах стаціонарного, тимчасового або денного перебування",null,https://golos.kyivcity.gov.ua/administratsiia/upravlinnia-sotsialnoho-zakhystu-naselennia/tsentry-iaki-vkhodiat-do-merezhi-upravlinnia-sotsialnoho-zakhystu/terytorialnyi-tsentr-sotsialnoho-obsluhovuvannia-nadannia-sotsialnykh-posluh-holosiivskoho-raionu-m-kyieva,null,null,Рубан Оксана Василівна,Директор,37414016,Управління соціальної та ветеранської політики Голосіївської районної в місті Києві державної адміністрації,UA80000000000093317,Україна,місто Київ,null,null,Київ,вул. Гетьмана Павла Скоропадського,25/2,null,01032,Приймальна,tcso.gol@kyivcity.gov.ua,+380442350040,Пн-Чт з 09:00-18:00; Пт з 09:00-16:45,Перерва на обід: 13:00-13:45
22879547,Спеціальна школа № 9 міста Києва,Забезпечення здобуття учнями з ООП загальної середньої освіти,https://specialschool9.kyiv.ua/?page_id=5790,https://specialschool9.kyiv.ua/,null,null,Литвиненко Дарія Сергіївна,Директор,37479398,Управління освіти Голосіївської районної в місті Києві державної адміністрації,UA80000000000093317,Україна,місто Київ,null,null,Київ,вул. Зої Бутенко,9,null,03127,Приймальна,internat9kyiv@gmail.com,+380442575015,Пн-Пт з 09:00-18:00,null
