uid,name,description,constituentDocUrl,homepage,headName,headPost,unitOfId,unitOfName,subUnitOfId,subUnitOfName,CATUTTC,addressAdminUnitL1,addressAdminUnitL2,addressAdminUnitL3,addressAdminUnitL4,addressPostName,addressThoroughfare,addressLocatorDesignator,addressLocatorName,addressPostCode,contactPointName,contactPointEmail,contactPointTelephone,openingHours,availabilityRestriction
100,Голосіївська районна в місті Києві державна адміністрація,"Голосіївська РДА є місцевим органом виконавчої влади і входить до системи органів виконавчої влади. Адміністрація будує свою роботу на засадах верховенства права, законності, персональної відповідальності, пріоритетності прав людини, оприлюднення, поєднання державних, загальноміських інтересів.",https://minio.kyivcity.gov.ua/kyivcity/sites/12/header/main-menu/administratsiia/rozporiadzhennia/rozporiadzhennia-za-2021-rik/372.pdf,https://golos.kyivcity.gov.ua/,Дунаєвська Софія Анатоліївна,Голова,null,null,null,null,UA80000000000093317,Україна,місто Київ,null,null,Київ,просп. Голосіївський,42,null,03039,Приймальня,rda.golosiivska@kyivcity.gov.ua,+380442816646,"Пн-Чт 08:00-17:00, Пт 08:00-15:45",Перерва на обід: 12:00-12:45
100.1,Апарат Голосіївської районної в місті Києві державної адміністрації,"Апарат Голосіївської районної в місті Києві державної адміністрації здійснює правове, організаційне, матеріально-технічне та інше забезпечення діяльності адміністрації відповідно до статті 44 Закону України «Про місцеві державні адміністрації» та діє на підставі Положення про апарат Голосіївської районної в місті Києві державної.",https://golos.kyivcity.gov.ua/administratsiia/struktura,https://golos.kyivcity.gov.ua/administratsiia/struktura,Гнатівська Тетяна Леонідівна,Керівник апарату,37308812,Голосіївська районна в місті Києві державна адміністрація,100,Голосіївська районна в місті Києві державна адміністрація,UA80000000000093317,Україна,місто Київ,null,null,Київ,просп. Голосіївський,42,null,03039,Приймальня,tetiana.gnativska@kyivcity.gov.ua,+380442816641,"Пн-Чт 08:00-17:00, Пт 08:00-15:45",Перерва на обід: 12:00-12:45
100.1.1,Відділ організаційно - аналітичного забезпечення роботи голови,"Завданням відділу є організаційне, інформаційне та технічне забезпечення діяльності голови адміністрації.",https://golos.kyivcity.gov.ua/acts/pro-zatverdzhennia-polozhennia-pro-viddil-orhanizatsiino-analitychnoho-zabezpechennia-roboty-holovy-holosiivskoi-raionnoi-v-misti-kyievi-derzhavnoi-administratsii,https://golos.kyivcity.gov.ua/administratsiia/struktura/viddil-orhanizatsiino-analitychnoho-zabezpechennia-roboty-holovy,Деркач Світлана Олексіївна,Начальник відділу,37308812,Голосіївська районна в місті Києві державна адміністрація,100.1,Апарат Голосіївської районної в місті Києві державної адміністрації,UA80000000000093317,Україна,місто Київ,null,null,Київ,просп. Голосіївський,42,null,03039,Деркач Світлана Олексіївна,svitlana.derkach@kyivcity.gov.ua,+380442816646,"Пн-Чт 08:00-17:00, Пт 08:00-15:45",Перерва на обід: 12:00-12:45
100.1.10,Відділ адміністративно-господарського забезпечення,Завданням відділу адміністративно-господарського забезпечення є здійснення матеріально-технічного забезпечення підрозділів та обслуговування службових приміщень райдержадміністрації.,https://golos.kyivcity.gov.ua/acts/pro-zatverdzhennia-polozhennia-pro-viddil-administratyvno-hospodarskoho-zabezpechennia-holosiivskoi-raionnoi-v-misti-kyievi-derzhavnoi-administratsii,https://golos.kyivcity.gov.ua/administratsiia/struktura/viddil-administratyvno-hospodarskoho-zabezpechennia,Петращук Зоя Миколаївна,Начальник відділу,37308812,Голосіївська районна в місті Києві державна адміністрація,100.1,Апарат Голосіївської районної в місті Києві державної адміністрації,UA80000000000093317,Україна,місто Київ,null,null,Київ,просп. Голосіївський,42,null,03039,Петращук Зоя Миколаївна,gosp_golos@kyivcity.gov.ua,+380442816668,"Пн-Чт 08:00-17:00, Пт 08:00-15:45",Перерва на обід: 12:00-12:45
100.1.11,Відділ роботи із зверненнями громадян,"Завданням відділу роботи із зверненнями громадян є забезпечення громадянам необхідних умов для здійснення гарантованих Конституцією та законами України прав, внесення у письмовій чи усній формі пропозиції щодо покращення діяльності державних органів і громадських організацій, зазначення недоліків в їх роботі.",https://golos.kyivcity.gov.ua/acts/pro-zatverdzhennia-polozhennia-pro-viddil-roboty-iz-zvernenniamy-hromadian-holosiivskoi-raionnoi-v-misti-kyievi-derzhavnoi-administratsii,https://golos.kyivcity.gov.ua/administratsiia/struktura/viddil-roboty-iz-zvernenniamy-hromadian,Чернєцова Олена Володимирівна,Начальник відділу,37308812,Голосіївська районна в місті Києві державна адміністрація,100.1,Апарат Голосіївської районної в місті Києві державної адміністрації,UA80000000000093317,Україна,місто Київ,null,null,Київ,просп. Голосіївський,42,null,03039,Чернєцова Олена Володимирівна,zg_golos@kmda.gov.ua,+380442816656,"Пн-Чт 08:00-17:00, Пт 08:00-15:45",Перерва на обід: 12:00-12:45
100.1.12,Відділ інформаційних технологій,Завданням відділу інформаційних технологій є забезпечення реалізації основних засад державної політики у сфері інформатизації у структурних підрозділах Голосіївської районної в місті Києві державної адміністрації.,https://golos.kyivcity.gov.ua/acts/pro-zatverdzhennia-polozhennia-pro-viddil-informatsiinykh-tekhnolohii-holosiivskoi-raionnoi-v-misti-kyievi-derzhavnoi-administratsii,https://golos.kyivcity.gov.ua/administratsiia/struktura/viddil-informatsiinykh-tekhnolohii,Павлюк Сергій В'ячеславович,Начальник відділу,37308812,Голосіївська районна в місті Києві державна адміністрація,100.1,Апарат Голосіївської районної в місті Києві державної адміністрації,UA80000000000093317,Україна,місто Київ,null,null,Київ,просп. Голосіївський,42,null,03039,Павлюк Сергій В'ячеславович,it_golos@kyivcity.gov.ua,+380442816654,"Пн-Чт 08:00-17:00, Пт 08:00-15:45",Перерва на обід: 12:00-12:45
100.1.13,Відділ ведення Державного реєстру виборців,"Завданням відділу ведення державного реєстру виборців є ведення Державного реєстру виборців, до якого заносяться відомості про громадян України, які мають право голосу відповідно до статті 70 Конституції України і проживають або перебувають на території Голосіївського району міста Києва.",https://golos.kyivcity.gov.ua/acts/pro-zatverdzhennia-polozhennia-pro-viddil-vedennia-derzhavnoho-reiestru-vybortsiv-holosiivskoi-raionnoi-v-misti-kyievi-derzhavnoi-administratsii,https://golos.kyivcity.gov.ua/administratsiia/struktura/viddil-vedennia-derzhavnoho-reiestru-vybortsiv,Святненко Вікторія Василівна,Начальник відділу,37308812,Голосіївська районна в місті Києві державна адміністрація,100.1,Апарат Голосіївської районної в місті Києві державної адміністрації,UA80000000000093317,Україна,місто Київ,null,null,Київ,просп. Голосіївський,42,null,03039,Святненко Вікторія Василівна,drv_golos@kyivcity.gov.ua,+380445282501,"Пн-Чт 08:00-17:00, Пт 08:00-15:45",Перерва на обід: 12:00-12:45
100.1.14,Відділ з питань реєстрації місця проживання/перебування фізичних осіб,Завданням відділу з питань реєстрації місця проживання/перебування фізичних осіб є забезпечення реалізації державної політики у сфері реєстрації та зняття з реєстрації місця проживання/перебування фізичних осіб у межах Голосіївського району міста Києва.,https://golos.kyivcity.gov.ua/acts/pro-zatverdzhennia-polozhennia-pro-viddil-z-pytan-reiestratsii-mistsia-prozhyvanniaperebuvannia-fizychnykh-osib-holosiivskoi-raionnoi-v-misti-kyievi-derzhavnoi-administratsii,https://golos.kyivcity.gov.ua/administratsiia/struktura/viddil-z-pytan-reiestratsii-mistsia-prozhyvanniaperebuvannia-fizychnykh-osib,Дробот Олена Михайлівна,Начальник відділу,37308812,Голосіївська районна в місті Києві державна адміністрація,100.1,Апарат Голосіївської районної в місті Києві державної адміністрації,UA80000000000093317,Україна,місто Київ,null,null,Київ,просп. Голосіївський,42,null,03039,Дробот Олена Михайлівна,olena.drobot@kyivcity.gov.ua,+380442575450,"Пн-Чт 08:00-17:00, Пт 08:00-15:45",Перерва на обід: 12:00-12:45
100.1.15,Архівний відділ,"Завданням архівного відділу є реалізація державної політики у сфері архівної справи і діловодства, здійснення управління архівною справою і діловодством на території Голосіївського району.",https://golos.kyivcity.gov.ua/acts/pro-zatverdzhennia-polozhennia-pro-arkhivnyi-viddil-holosiivskoi-raionnoi-v-misti-kyievi-derzhavnoi-administratsii,https://golos.kyivcity.gov.ua/administratsiia/struktura/arkhivnyi-viddil,null,Начальник відділу,37308812,Голосіївська районна в місті Києві державна адміністрація,100.1,Апарат Голосіївської районної в місті Києві державної адміністрації,UA80000000000093317,Україна,місто Київ,null,null,Київ,просп. Науки,24/2,null,03028,null,archive_golos@kyivcity.gov.ua,+380445247580,"Пн-Чт 08:00-17:00, Пт 08:00-15:45",Перерва на обід: 12:00-12:45
100.1.16,Відділ економіки,"Завданням відділу економіки є реалізація державної політики у сферах: соціально-економічного розвитку району, промисловості та науки, розвитку підприємництва, енергоефективності та енергозбереження.",https://golos.kyivcity.gov.ua/acts/pro-zatverdzhennia-polozhennia-pro-viddil-ekonomiky-holosiivskoi-raionnoi-v-misti-kyievi-derzhavnoi-administratsii,https://golos.kyivcity.gov.ua/administratsiia/struktura/viddil-ekonomiky,Андреус Світлана Миколаївна,Начальник відділу,37308812,Голосіївська районна в місті Києві державна адміністрація,100.1,Апарат Голосіївської районної в місті Києві державної адміністрації,UA80000000000093317,Україна,місто Київ,null,null,Київ,просп. Голосіївський,42,null,03039,Андреус Світлана Миколаївна,ekonomika_golos@kyivcity.gov.ua,+380442816609,"Пн-Чт 08:00-17:00, Пт 08:00-15:45",Перерва на обід: 12:00-12:45
