uid,name,gender,positionName,unitId,unitName,orgId,orgName,img,homepage,socialAccount,telephone,email,openingHours,availabilityRestriction
100-1,Дунаєвська Софія Анатоліївна,2,Голова,100,Голосіївська районна в місті Києві державна адміністрація,37308812,Голосіївська районна в місті Києві державна адміністрація,null,https://golos.kyivcity.gov.ua/administratsiia/kerivnytstvo/dunaievska-sofiia-anatoliivna?v=6839853bc4a88,null,+380442816646,sofiia.dunaievska@kyivcity.gov.ua,"Пн-Чт 08:00-17:00, Пт 08:00-15:45",Перерва на обід: 12:00-12:45
100.1-1,Гнатівська Тетяна Леонідівна,2,Керівник апарату,100.1,Апарат Голосіївської районної в місті Києві державної адміністрації,37308812,Голосіївська районна в місті Києві державна адміністрація,null,https://golos.kyivcity.gov.ua/persons/tetyana-gnativska,null,+380442816641,tetiana.gnativska@kyivcity.gov.ua,"Пн-Чт 08:00-17:00, Пт 08:00-15:45",Перерва на обід: 12:00-12:45
100.2-1,Шимко Едуард Анатолійович,1,Начальник управління,100.2,Управління житлово-комунального господарства,37308812,Голосіївська районна в місті Києві державна адміністрація,null,null,null,+380442816021,uzhkg_golosrda@kyivcity.gov.ua,"Пн-Чт 08:00-17:00, Пт 08:00-15:45",Перерва на обід: 12:00-12:45
100.3-1,Луцик Юлія Сергіївна,2,Начальник управління,100.3,Управління освіти,37308812,Голосіївська районна в місті Києві державна адміністрація,null,null,null,+380442571257,osvita.golos@kyivcity.gov.ua,"Пн-Чт 08:00-17:00, Пт 08:00-15:45",Перерва на обід: 12:00-12:45
100.4-1,Сторожчук Тетяна Миколаївна,2,Начальник управління,100.4,Управління (Центр) надання адміністративних послуг,37308812,Голосіївська районна в місті Києві державна адміністрація,null,null,null,+380442816612,cnap.golos@kyivcity.gov.ua,"Пн-Чт 08:00-17:00, Пт 08:00-15:45",null
100.5-1,Цимбалиста Лілія Андріївна,2,Начальник управління,100.5,Управління соціальної та ветеранської політики,37308812,Голосіївська районна в місті Києві державна адміністрація,null,null,null,+380442570134,usvp.golos@ kyivcity.gov.ua,"Пн-Чт 08:00-17:00, Пт 08:00-15:45",null
100.6-1,Сінкевич Інна Федорівна,2,Начальник управління,100.6,Управління культури,37308812,Голосіївська районна в місті Києві державна адміністрація,null,null,null,+380442597204,kultura_golos@kyivcity.gov.ua,"Пн-Чт 08:00-17:00, Пт 08:00-15:45",Перерва на обід: 12:00-12:45
100.7-1,Ганіна Тетяна Володимирівна,2,Начальник управління,100.7,Фінансове управління,37308812,Голосіївська районна в місті Києві державна адміністрація,null,null,null,+380442598990,finupr_golos@kyivcity.gov.ua,"Пн-Чт 08:00-17:00, Пт 08:00-15:45",Перерва на обід: 12:00-12:45
100.8-1,Прокопенко Микола Миколайович,1,Начальник відділу,100.8,Відділ у справах молоді та спорту,37308812,Голосіївська районна в місті Києві державна адміністрація,null,null,null,+380442062775,vsms_golos@kyivcity.gov.ua,"Пн-Чт 08:00-17:00, Пт 08:00-15:45",Перерва на обід: 12:00-12:45
100.9-1,Ніколаєнко Наталя Миколаївна,2,Начальник служби,100.9,Служба у справах дітей та сім'ї,37308812,Голосіївська районна в місті Києві державна адміністрація,null,null,null,"+380442893856, +380442893854, +380442893853",ssd_golos@kyivcity.gov.ua,"Пн-Чт 08:00-17:00, Пт 08:00-15:45",Перерва на обід: 12:00-12:45
100.10-1,Мамедова Альона Валеріївна,1,Начальник управління,100.10,Управління будівництва,37308812,Голосіївська районна в місті Києві державна адміністрація,null,null,null,+380442598219,uba_golosrda@kyivcity.gov.ua,"Пн-Чт 08:00-17:00, Пт 08:00-15:45",Перерва на обід: 12:00-12:45
101.1,Ковтунов Олександр Володимирович,1,Голова,101,Дарницька районна в місті Києві державна адміністрація,37388222,Дарницька районна в місті Києві державна адміністрація,https://media-stg.kyivcity.gov.ua/kyivcity/sites/9/Kerivniki/kovtunov.jpg,https://darn.kyivcity.gov.ua/persons/oleksandr-kovtunov,null,+380445649010,oleksandr.kovtunov@kyivcity.gov.ua,"Пн-Чт 08:00-17:00, Пт 08:00-15:45","Перерва на обід: 12:00-12:45, прийом: Пт 09:00-10:00"
101.1-1,Мерзенюк Анатолій Вікторович,1,Заступник голови,101.1,Дарницька районна в місті Києві державна адміністрація,37388222,Дарницька районна в місті Києві державна адміністрація,null,https://darn.kyivcity.gov.ua/persons/anatoliy-merzenyuk,null,+380445649045,anatolii.merzeniuk@kyivcity.gov.ua,"Пн-Чт 08:00-17:00, Пт 08:00-15:45","Перерва на обід: 12:00-12:45, прийом: Пн 10:00-11:00"
101.1-2,Ємельяненко Віталій Юрійович,1,Заступник голови,101.2,Дарницька районна в місті Києві державна адміністрація,37388222,Дарницька районна в місті Києві державна адміністрація,null,https://darn.kyivcity.gov.ua/persons/vitaliy-emelyanenko,null,+380445649012,vitalii.yemelianenko@kyivcity.gov.ua,"Пн-Чт 08:00-17:00, Пт 08:00-15:45","Перерва на обід: 12:00-12:45, прийом: Вт 15:00-16:00"
101.1-3,Володін Юрій Іванович,1,Керівник апарату,101.3,Апарат Дарницької районної в місті Києві державної адміністрації,37388222,Дарницька районна в місті Києві державна адміністрація,https://media-stg.kyivcity.gov.ua/kyivcity/sites/9/Kerivniki/Volodin.jpg,https://darn.kyivcity.gov.ua/kerivnytstvo/volodin-iurii-ivanovych,null,+380445649003,yuriy.volodin@kyivcity.gov.ua,"Пн-Чт 08:00-17:00, Пт 08:00-15:45","Перерва на обід: 12:00-12:45, прийом: Вт 11:00-12:00"
101.2-1,Корбецькмй Мирослав Богданович,1,Начальник управління,101.2,Управління будівництва та житлово-комунального господарства,37388222,Дарницька районна в місті Києві державна адміністрація,null,null,null,+380445650081,darn-ukb@kyivcity.gov.ua,"Пн-Чт 08:00-17:00, Пт 08:00-15:45",Перерва на обід: 12:00-12:45
101.3-1,Соя Тетяна Миколаївна,2,Начальник управління,101.3,Управління соціальної та ветеранської політики,37388222,Дарницька районна в місті Києві державна адміністрація,null,null,null,+380443667020,darn_usvp@kyivcity.gov.ua,"Пн-Чт 08:00-17:00, Пт 08:00-15:45","Перерва на обід: 12:00-12:45, прийом: Пн 08:00-12:00, Ср 13:00-17:00"
101.4-1,Недбайло Олег Андрійович,2,Начальник управління (Центру),101.4,Управління (Центр) надання адміністративних послуг,37388222,Дарницька районна в місті Києві державна адміністрація,null,null,null,+380443665703,darn_cnap@kyivcity.gov.ua,Пн-Пт 09:00-18:00,Перерва на обід: 13:00-13:45
101.5-1,Списовська Євгенія Іванівна,2,Начальник управління,101.5,Управління освіти,37388222,Дарницька районна в місті Києві державна адміністрація,null,null,null,+380445635505,darn-osvita@kyivcity.gov.ua,"Пн-Чт 08:00-17:00, Пт 08:00-15:45","Перерва на обід: 12:00-12:45, прийом: Вт 13:00-17:00 Чт 8:00-12:00"
101.6-1,Комишник Лариса Степанівна,2,Начальник управління,101.6,Фінансове управління,37388222,Дарницька районна в місті Києві державна адміністрація,null,null,null,+380445649900,darn-fin@kyivcity.gov.ua,"Пн-Чт 08:00-17:00, Пт 08:00-15:45",Перерва на обід: 12:00-12:45
101.7-1,Скульський Сергій Борисович,1,Начальник відділу,101.7,Відділ молоді та спорту,37388222,Дарницька районна в місті Києві державна адміністрація,null,null,null,+380445652065,darn – usms@kyivcity.gov.ua,"Пн-Чт 08:00-17:00, Пт 08:00-15:45","Перерва на обід: 12:00-12:45, прийом: Вт 13:00-17:00 Чт 8:00-12:00"
101.8-1,Романович Марина Олексіївна,2,Начальник відділу,101.8,Відділ культури,37388222,Дарницька районна в місті Києві державна адміністрація,null,null,null,+380445651999,darn-kult@kyivcity.gov.ua,"Пн-Чт 08:00-17:00, Пт 08:00-15:45","Перерва на обід: 12:00-12:45, прийом: Вт 08:00-12:00 Пт 13:00-15:45"
101.9-1,Касянчук Марія Василівна,2,Начальник служби,101.9,Служба у справах дітей та сім'ї,37388222,Дарницька районна в місті Києві державна адміністрація,null,null,null,+380445667370,darn-ssd@kyivcity.gov.ua,"Пн-Чт 08:00-17:00, Пт 08:00-15:45","Перерва на обід: 12:00-12:45, прийом: Пн 14:00-17:00 Ср 09:00-12:00"
102-1,Бахматов Максим Ісанович,1,Голова,102,Деснянська районна в місті Києві державна адміністрація,37415088,Деснянська районна в місті Києві державна адміністрація,null,https://desn.kyivcity.gov.ua/administratsiia/kerivnytstvo/holova-desnianskoi-raionnoi-v-misti-kyievi-derzhavnoi-administratsii,null,"+380445157775, +380445480496",rda.desnianska@kyivcity.gov.ua,"Пн-Чт 08:00-17:00, Пт 08:00-15:45",Перерва на обід: 12:00-12:45
102.1-1,Гуменюк Ірина Вікторівна,2,Керівник апарату,102.1,Апарат Деснянської районної в місті Києві державної адміністрації,37415088,Деснянська районна в місті Києві державна адміністрація,null,https://desn.kyivcity.gov.ua/administratsiia/kerivnytstvo/kerivnyk-aparatu-mashkivska-olha-volodymyrivna,null,+380445463124,rda.desnianska@kyivcity.gov.ua,"Пн-Чт 08:00-17:00, Пт 08:00-15:45",Перерва на обід: 12:00-12:45
102.2-1,Володіна Наталія Ансибулівна,2,Начальник управління - адміністратор,102.2,Управління (Центр) надання адміністративних послуг,37415088,Деснянська районна в місті Києві державна адміністрація,null,null,null,+380445469900,null,Пн-Пт 09:00-18:00,null
102.3-1,Юрченко Ігор Олегович,1,Начальник управління,102.3,Управління благоустрою та підприємництва,37415088,Деснянська районна в місті Києві державна адміністрація,null,null,null,+380445461055,ubp_desnrda@kyivcity.gov.ua,"Пн-Чт 08:00-17:00, Пт 08:00-15:45",Перерва на обід: 12:00-12:45
102.4-1,Ваврічина Валентина Михайлівна,2,Начальник управління,102.4,Фінансове управління,37415088,Деснянська районна в місті Києві державна адміністрація,null,null,null,+380445152252,fin_desnrda@kyivcity.gov.ua,"Пн-Чт 08:00-17:00, Пт 08:00-15:45",Перерва на обід: 12:00-12:45
102.5-1,Закомірний Ігор Миколайович,1,Начальник управління,102.5,Управління культури,37415088,Деснянська районна в місті Києві державна адміністрація,null,null,null,+380445465884,ukul_desnrda@kyivcity.gov.ua,"Пн-Чт 08:00-17:00, Пт 08:00-15:45",Перерва на обід: 12:00-12:45
102.6-1,Філоненко Анастасія Володимирівна,2,Начальник управління,102.6,Управління соціальної та ветеранської політики,37415088,Деснянська районна в місті Києві державна адміністрація,null,null,null,+380445301616,usvp_desnrda@kyivcity.gov.ua,"Пн-Чт 08:00-17:00, Пт 08:00-15:45",Перерва на обід: 12:00-12:45
102.7-1,Рогатюк Юрій Петрович,1,Начальник управління,102.7,Управління житлово-комунального господарства,37415088,Деснянська районна в місті Києві державна адміністрація,null,null,null,+380445467658,ujkg_desnrda@kyivcity.gov.ua,"Пн-Чт 08:00-17:00, Пт 08:00-15:45",Перерва на обід: 12:00-12:45
102.8-1,Мазур Юрій Анатолійович,1,Начальник управління,102.8,"Управління будівництва, архітектури та землекористування",37415088,Деснянська районна в місті Києві державна адміністрація,null,null,null,+380445461278,ubaz_desnrda@kyivcity.gov.ua,"Пн-Чт 08:00-17:00, Пт 08:00-15:45",Перерва на обід: 12:00-12:45
102.9-1,Берегова Анастасія Вікторівна,1,В.о. начальника управління,102.9,Управління молоді та спорту,37415088,Деснянська районна в місті Києві державна адміністрація,null,null,null,+380445461831,rda_sms@kyivcity.gov.ua,"Пн-Чт 08:00-17:00, Пт 08:00-15:45",Перерва на обід: 12:00-12:45
