entityId,entityName,addressIdentifier,CATUTTC,addressPostCode,addressAdminUnitL1,addressAdminUnitL2,addressAdminUnitL3,addressAdminUnitL4,addressPostName,addressPostDistrict,addressThoroughfare,addressLocatorDesignator,addressLocatorDesignator2,addressLocatorBuilding,headFamilyName,headName,headAdditionalName,contactPointEmail,lat,lon,foundationDate
45810956,ОСББ «Зарічна. 6. корпус 5»,Некомунальна,UA80000000000210193,null,Україна,місто Київ,null,null,Київ,Дарницький район,вул. Зарічна,6,null,5,Засенко,Надія,Петрівна,null,null,null,null
45892782,ОСББ «О2»,Некомунальна,UA80000000000210193,null,Україна,місто Київ,null,null,Київ,Дарницький район,вул. Лісна,75-А,null,null,Крумка,Наталія,Петрівна,null,null,null,null
44467648,ОСББ «Рів'єра-3»,Некомунальна,UA80000000000210193,null,Україна,місто Київ,null,null,Київ,Дарницький район,вул. Центральна,21,null,2,Камаєва,Віта,Петрівна,null,null,null,null
44467648,ОСББ «Рів'єра-3»,Некомунальна,UA80000000000210193,null,Україна,місто Київ,null,null,Київ,Дарницький район,вул. Центральна,21-А,null,2,Камаєва,Віта,Петрівна,null,null,null,null
45822783,ОСББ «Смарт Ідея Плюс»,Некомунальна,UA80000000000479391,null,Україна,місто Київ,null,null,Київ,Дніпровський район,вул. Профспілкова,5-А,null,null,Дмитрученко,Олексій,Валерійович,null,null,null,null
42836381,ОК «ЖБК «Дім на Будівельників»,Некомунальна,UA80000000000479391,null,Україна,місто Київ,null,null,Київ,Дніпровський район,вул.Краківська,4-Б,null,null,Хомовненко,Георгій,Михайлович,null,null,null,null
42579022,ОСББ «Оболонська набережна 11»,Некомунальна,UA80000000000551439,null,Україна,місто Київ,null,null,Київ,Оболонський район,Оболонська набережна,11,null,4,Совенко,Володимир,Володимирович,null,null,null,null
25272099,ОСББ «Липки»,Некомунальна,UA80000000000624772,null,Україна,місто Київ,null,null,Київ,Печерський район,вул. Шовковична,11/1,null,null,Куріцин,Олександр,Анатолійович,null,null,null,null
40676411,ОСББ «Булгакова 12»,Некомунальна,UA80000000000875983,null,Україна,місто Київ,null,null,Київ,Святошинський район,вул. Вахтанга Кікабідзе,12-А,null,null,Ящук,Віталій,Дмитрович,null,null,null,null
43922228,ОСББ «КАРПАТСЬКИЙ 2020»,Некомунальна,UA80000000000980793,null,Україна,місто Київ,null,null,Київ,Солом'янський район,вул. Карпатська,26-А,null,null,Горошко,Ольга,Іванівна,null,null,null,null
41347868,ОСББ «ЖУЛЯНИ-1»,Некомунальна,UA80000000000980793,null,Україна,місто Київ,null,null,Київ,Солом'янський район,вул. Добробутна,1,null,null,Глуховська,Оксана,Дмитрівна,null,null,null,null
43291723,ОСББ «КАШТАН 13»,Некомунальна,UA80000000000980793,null,Україна,місто Київ,null,null,Київ,Солом'янський район,вул. Карела Чапика,13,null,null,Маліна,Тетяна,Станіславівна,null,null,null,null
43331226,ОСББ «КОЛОСА СЕРГІЯ 3»,Некомунальна,UA80000000000980793,null,Україна,місто Київ,null,null,Київ,Солом'янський район,вул. Сергія Колоса,3,null,null,Павлик,Ольга,Олександрівна,null,null,null,null
37783436,ОСББ «МАРСЕЛЬ-М»,Некомунальна,UA80000000000980793,null,Україна,місто Київ,null,null,Київ,Солом'янський район,вул. Валерія Лобановського,7,null,null,Макарчук,Анна,Степанівна,null,null,null,null
