providerName,providerId,addressPostCode,addressAdminUnitL1,addressAdminUnitL2,addressAdminUnitL3,addressAdminUnitL4,addressPostName,addressPostDistrict,addressThoroughfare,addressLocatorDesignator,addressLocatorDesignator2,addressLocatorBuilding,lat,lon
Комунальне підприємство «Керуюча компанія з обслуговування житлового фонду Оболонського району м. Києва»,39611267,null,Україна,місто Київ,null,null,Київ,Оболонський район,вул. Озерна,30/51,null,null,null,null
КП «Спецжитлофонд»,31454734,null,Україна,місто Київ,null,null,Київ,Оболонський район,вул. Лісна,63/65,null,null,null,null
Комунальне підприємство «Керуюча компанія з обслуговування житлового фонду Голосіївського району м. Києва»,32375554,03143,Україна,місто Київ,null,null,Київ,Голосіївський район,вул. Заболотного Академіка,156/2,null,null,null,null
Комунальне підприємство «Керуюча компанія з обслуговування житлового фонду Голосіївського району м. Києва»,32375554,03150,Україна,місто Київ,null,null,Київ,Голосіївський район,вул. Казимира Малевича,37/41,null,null,null,null
Комунальне підприємство «Керуюча компанія з обслуговування житлового фонду Голосіївського району м. Києва»,32375554,03040,Україна,місто Київ,null,null,Київ,Голосіївський район,вул. Оріхуватська,8/2,null,null,null,null
Комунальне підприємство «Керуюча компанія з обслуговування житлового фонду Голосіївського району м. Києва»,32375554,03143,Україна,місто Київ,null,null,Київ,Голосіївський район,вул. Заболотного Академіка,156/1,null,null,null,null
Комунальне підприємство «Керуюча компанія з обслуговування житлового фонду Голосіївського району м. Києва»,32375554,01024,Україна,місто Київ,null,null,Київ,Голосіївський район,вул. Антоновича,14-А,null,null,null,null
Комунальне підприємство «Керуюча компанія з обслуговування житлового фонду Голосіївського району м. Києва»,32375554,01024,Україна,місто Київ,null,null,Київ,Голосіївський район,вул. Антоновича,14-Б,null,null,null,null
Комунальне підприємство «Керуюча компанія з обслуговування житлового фонду Голосіївського району м. Києва»,32375554,01024,Україна,місто Київ,null,null,Київ,Голосіївський район,вул. Антоновича,16-А,null,null,null,null
Комунальне підприємство «Керуюча компанія з обслуговування житлового фонду Голосіївського району м. Києва»,32375554,01024,Україна,місто Київ,null,null,Київ,Голосіївський район,вул. Антоновича,18-Б,null,null,null,null
Комунальне підприємство «Керуюча компанія з обслуговування житлового фонду Голосіївського району м. Києва»,32375554,01024,Україна,місто Київ,null,null,Київ,Голосіївський район,вул. Антоновича,24-А,null,null,null,null
Комунальне підприємство «Керуюча компанія з обслуговування житлового фонду Голосіївського району м. Києва»,32375554,01024,Україна,місто Київ,null,null,Київ,Голосіївський район,вул. Антоновича,3-АА,null,null,null,null
Комунальне підприємство «Керуюча компанія з обслуговування житлового фонду Голосіївського району м. Києва»,32375554,01024,Україна,місто Київ,null,null,Київ,Голосіївський район,вул. Антоновича,3-АБ,null,null,null,null
Комунальне підприємство «Керуюча компанія з обслуговування житлового фонду Голосіївського району м. Києва»,32375554,01024,Україна,місто Київ,null,null,Київ,Голосіївський район,вул. Антоновича,9-А,null,null,null,null
Комунальне підприємство «Керуюча компанія з обслуговування житлового фонду Голосіївського району м. Києва»,32375554,01024,Україна,місто Київ,null,null,Київ,Голосіївський район,вул. Антоновича,13-А,null,null,null,null
Комунальне підприємство «Керуюча компанія з обслуговування житлового фонду Голосіївського району м. Києва»,32375554,01024,Україна,місто Київ,null,null,Київ,Голосіївський район,вул. Антоновича,17-А,null,null,null,null
Комунальне підприємство «Керуюча компанія з обслуговування житлового фонду Голосіївського району м. Києва»,32375554,01024,Україна,місто Київ,null,null,Київ,Голосіївський район,вул. Антоновича,25-А,null,null,null,null
Комунальне підприємство «Керуюча компанія з обслуговування житлового фонду Голосіївського району м. Києва»,32375554,03150,Україна,місто Київ,null,null,Київ,Голосіївський район,вул. Антоновича,37/13,null,null,null,null
Комунальне підприємство «Керуюча компанія з обслуговування житлового фонду Голосіївського району м. Києва»,32375554,03150,Україна,місто Київ,null,null,Київ,Голосіївський район,вул. Антоновича,59-А,null,null,null,null
Комунальне підприємство «Керуюча компанія з обслуговування житлового фонду Голосіївського району м. Києва»,32375554,01033,Україна,місто Київ,null,null,Київ,Голосіївський район,вул. Антоновича,28-Б,null,null,null,null
Комунальне підприємство «Керуюча компанія з обслуговування житлового фонду Голосіївського району м. Києва»,32375554,03150,Україна,місто Київ,null,null,Київ,Голосіївський район,вул. Антоновича,48-А,null,null,null,null
Комунальне підприємство «Керуюча компанія з обслуговування житлового фонду Голосіївського району м. Києва»,32375554,03150,Україна,місто Київ,null,null,Київ,Голосіївський район,вул. Антоновича,170/172,null,null,null,null
Комунальне підприємство «Керуюча компанія з обслуговування житлового фонду Голосіївського району м. Києва»,32375554,01024,Україна,місто Київ,null,null,Київ,Голосіївський район,вул. Антоновича,20-А,null,null,null,null
Комунальне підприємство «Керуюча компанія з обслуговування житлового фонду Голосіївського району м. Києва»,32375554,01024,Україна,місто Київ,null,null,Київ,Голосіївський район,вул. Антоновича,20-В,null,null,null,null
Комунальне підприємство «Керуюча компанія з обслуговування житлового фонду Голосіївського району м. Києва»,32375554,01024,Україна,місто Київ,null,null,Київ,Голосіївський район,вул. Антоновича,11-А,null,null,null,null
Комунальне підприємство «Керуюча компанія з обслуговування житлового фонду Голосіївського району м. Києва»,32375554,03150,Україна,місто Київ,null,null,Київ,Голосіївський район,вул. Антоновича,47-А,null,null,null,null
Комунальне підприємство «Керуюча компанія з обслуговування житлового фонду Голосіївського району м. Києва»,32375554,01033,Україна,місто Київ,null,null,Київ,Голосіївський район,вул. Антоновича,38-В,null,null,null,null
Комунальне підприємство «Керуюча компанія з обслуговування житлового фонду Голосіївського району м. Києва»,32375554,03127,Україна,місто Київ,null,null,Київ,Голосіївський район,вул. Васильківська,49,null,1,null,null
Комунальне підприємство «Керуюча компанія з обслуговування житлового фонду Голосіївського району м. Києва»,32375554,03022,Україна,місто Київ,null,null,Київ,Голосіївський район,вул. Васильківська,27,null,1,null,null
Комунальне підприємство «Керуюча компанія з обслуговування житлового фонду Голосіївського району м. Києва»,32375554,01024,Україна,місто Київ,null,null,Київ,Голосіївський район,вул. Велика Васильківська,32-А,null,null,null,null
Комунальне підприємство «Керуюча компанія з обслуговування житлового фонду Голосіївського району м. Києва»,32375554,01024,Україна,місто Київ,null,null,Київ,Голосіївський район,вул. Велика Васильківська,24-А,null,null,null,null
Комунальне підприємство «Керуюча компанія з обслуговування житлового фонду Голосіївського району м. Києва»,32375554,01024,Україна,місто Київ,null,null,Київ,Голосіївський район,вул. Велика Васильківська,26-А,null,null,null,null
Комунальне підприємство «Керуюча компанія з обслуговування житлового фонду Голосіївського району м. Києва»,32375554,01024,Україна,місто Київ,null,null,Київ,Голосіївський район,вул. Велика Васильківська,26-Б,null,null,null,null
Комунальне підприємство «Керуюча компанія з обслуговування житлового фонду Голосіївського району м. Києва»,32375554,01024,Україна,місто Київ,null,null,Київ,Голосіївський район,вул. Велика Васильківська,28-А,null,null,null,null
Комунальне підприємство «Керуюча компанія з обслуговування житлового фонду Голосіївського району м. Києва»,32375554,01024,Україна,місто Київ,null,null,Київ,Голосіївський район,вул. Велика Васильківська,30-А,null,null,null,null
Комунальне підприємство «Керуюча компанія з обслуговування житлового фонду Голосіївського району м. Києва»,32375554,01024,Україна,місто Київ,null,null,Київ,Голосіївський район,вул. Велика Васильківська,30-В,null,null,null,null
Комунальне підприємство «Керуюча компанія з обслуговування житлового фонду Голосіївського району м. Києва»,32375554,01024,Україна,місто Київ,null,null,Київ,Голосіївський район,вул. Велика Васильківська,34-А,null,null,null,null
Комунальне підприємство «Керуюча компанія з обслуговування житлового фонду Голосіївського району м. Києва»,32375554,01024,Україна,місто Київ,null,null,Київ,Голосіївський район,вул. Велика Васильківська,36-А,null,null,null,null
Комунальне підприємство «Керуюча компанія з обслуговування житлового фонду Голосіївського району м. Києва»,32375554,01024,Україна,місто Київ,null,null,Київ,Голосіївський район,вул. Велика Васильківська,38-А,null,null,null,null
Комунальне підприємство «Керуюча компанія з обслуговування житлового фонду Голосіївського району м. Києва»,32375554,01024,Україна,місто Київ,null,null,Київ,Голосіївський район,вул. Велика Васильківська,38-Б,null,null,null,null
Комунальне підприємство «Керуюча компанія з обслуговування житлового фонду Голосіївського району м. Києва»,32375554,01024,Україна,місто Київ,null,null,Київ,Голосіївський район,вул. Велика Васильківська,42-А,null,null,null,null
Комунальне підприємство «Керуюча компанія з обслуговування житлового фонду Голосіївського району м. Києва»,32375554,01024,Україна,місто Київ,null,null,Київ,Голосіївський район,вул. Велика Васильківська,42-Б,null,null,null,null
Комунальне підприємство «Керуюча компанія з обслуговування житлового фонду Голосіївського району м. Києва»,32375554,03150,Україна,місто Київ,null,null,Київ,Голосіївський район,вул. Велика Васильківська,76-А,null,null,null,null
Комунальне підприємство «Керуюча компанія з обслуговування житлового фонду Голосіївського району м. Києва»,32375554,03150,Україна,місто Київ,null,null,Київ,Голосіївський район,вул. Велика Васильківська,86,null,null,null,null
Комунальне підприємство «Керуюча компанія з обслуговування житлового фонду Голосіївського району м. Києва»,32375554,03028,Україна,місто Київ,null,null,Київ,Голосіївський район,вул. Велика Китаївська,108,null,null,null,null
Комунальне підприємство «Керуюча компанія з обслуговування житлового фонду Голосіївського району м. Києва»,32375554,01033,Україна,місто Київ,null,null,Київ,Голосіївський район,вул. Володимирська,92/39,null,null,null,null
Комунальне підприємство «Керуюча компанія з обслуговування житлового фонду Голосіївського району м. Києва»,32375554,01033,Україна,місто Київ,null,null,Київ,Голосіївський район,вул. Володимирська,94,null,null,null,null
Комунальне підприємство «Керуюча компанія з обслуговування житлового фонду Голосіївського району м. Києва»,32375554,03193,Україна,місто Київ,null,null,Київ,Голосіївський район,вул. Луценка Дмитра,1/1,null,null,null,null
Комунальне підприємство «Керуюча компанія з обслуговування житлового фонду Голосіївського району м. Києва»,32375554,03193,Україна,місто Київ,null,null,Київ,Голосіївський район,вул. Луценка Дмитра,5-Б,null,null,null,null
Комунальне підприємство «Керуюча компанія з обслуговування житлового фонду Голосіївського району м. Києва»,32375554,03193,Україна,місто Київ,null,null,Київ,Голосіївський район,вул. Луценка Дмитра,16,null,null,null,null
Комунальне підприємство «Керуюча компанія з обслуговування житлового фонду Голосіївського району м. Києва»,32375554,01033,Україна,місто Київ,null,null,Київ,Голосіївський район,вул. Жилянська,30/32-А,null,null,null,null
Комунальне підприємство «Керуюча компанія з обслуговування житлового фонду Голосіївського району м. Києва»,32375554,01033,Україна,місто Київ,null,null,Київ,Голосіївський район,вул. Жилянська,30/32-В,null,null,null,null
Комунальне підприємство «Керуюча компанія з обслуговування житлового фонду Голосіївського району м. Києва»,32375554,01033,Україна,місто Київ,null,null,Київ,Голосіївський район,вул. Жилянська,34-В,null,null,null,null
Комунальне підприємство «Керуюча компанія з обслуговування житлового фонду Голосіївського району м. Києва»,32375554,01033,Україна,місто Київ,null,null,Київ,Голосіївський район,вул. Жилянська,41,null,null,null,null
Комунальне підприємство «Керуюча компанія з обслуговування житлового фонду Голосіївського району м. Києва»,32375554,01033,Україна,місто Київ,null,null,Київ,Голосіївський район,вул. Жилянська,62/64,null,null,null,null
