id,name,headFamilyName,headName,headAdditionalName,description,constituentDocUrl,CATUTTC,addressIdentifier,addressPostCode,addressAdminUnitL1,addressAdminUnitL2,addressAdminUnitL3,addressAdminUnitL4,addressPostName,addressPostDistrict ,addressThoroughfare,addressLocatorDesignator,addressLocatorBuilding,contactPointEmail,contactPointTelephone,homepage,socialAccount,openingHours,contactPointAvailabRestriction
32375554,Комунальне підприємство «Керуюча компанія з обслуговування житлового фонду Голосіївського району м. Києва»,Латанюк,Наталія,Вікторівна,Утримання та обслуговування житлового фонду у Голосіївському районі згідно затвердженого переліку основних робіт: прибирання сходових клітин та прибудинкової території; технічне обслуговування будинкових інженерних мереж; дератизація; дезінсекція; аварійне обслуговування; поточний ремонт,https://kyivaudit.gov.ua/vr/ka/company.nsf/0/079D839B1C2BD159C2257E0C004C7AF7/$file/%D1%81%D1%82%D0%B0%D1%82%D1%83%D1%822.pdf,UA80000000000093317,null,03039,Україна,місто Київ,null,null,Київ,Голосіївський,просп. Голосіївський,17-Б,null,direktsiya_golos@kmda.gov.ua,+380445251963,null,https://www.facebook.com/kp.kk.golosievo/?locale=ru_RU,Пн-Чт з 08:00-17:00; Пт з 08:00-15:45,Перерва на обід: 12:00-12:45
39604270,Комунальне підприємство «Керуюча компанія з обслуговування житлового фонду Дарницького району м. Києва»,Солодуха,Андрій,Миколайович,"Забезпечення ефективного управління, належного утримання житлового та нежитлового фонду, утримання прибудинкових територій, об'єктів благоустрою та отримання прибутку",https://kkdarn.kiev.ua/wp-content/uploads/statut_kp_keruyucha_kompaniya_z_obslugovuvannya_zhytlovogo_fondu_darnyczkogo.pdf,UA80000000000093317,null,02175,Україна,місто Київ,null,null,Київ,Дарницький,Харківське шосе,148-А,null,kkdarn@kyivcity.gov.ua,+380445633838,http://kkdarn.kiev.ua/,"https://www.facebook.com/kkdarn.kiev, https://t.me/Keruiuchakompaniia_Darnytsia",Пн-Чт з 09:00-18:00; Пт з 09:00-16:45,Перерва на обід: 13:00-13:45
39605452,Комунальне підприємство «Керуюча компанія з обслуговування житлового фонду Деснянського району м. Києва»,Мнацаканян,Любов,Арташівна,Надання послуги з утримання будинків; споруд та прибудинкових територій з метою забезпечення ефективного управління; належного утримання житлового та нежитлового фонду,https://kyivaudit.gov.ua/vr/ka/company.nsf/0/CA65F2F32D6D25B7C22581710030C8B0/$file/statut.pdf,UA80000000000093317,null,02217,Україна,місто Київ,null,null,Київ,Деснянський,вул. Миколи Закревського,15,null,pryjmalna-kpdesn@kyivcity.gov.ua,+380675554599; +380445159374,https://desnkk.kyiv.ua/,https://www.facebook.com/kpkkdesn/,Пн-Чт з 08:00-17:00; Пт з 08:00-16:00,Перерва на обід: 12:00-13:00
39606435,Комунальне підприємство «Керуюча компанія з обслуговування житлового фонду Дніпровського району м. Києва»,Ткачук,Микола,Петрович,"Надання послуг з утримання будинків, споруд та прибудинкових територій з метою забезпечення ефективного управління, належного утримання житлового та нежитлового фонду",null,UA80000000000093317,null,02002,Україна,місто Київ,null,null,Київ,Дніпровський,вул. Пантелеймона Куліша,9-Г,null,dnipro.ker.kom@gmail.com,+380445174396,http://kpdnipro.kiev.ua/,https://www.facebook.com/kpkkdr,Пн-Пт з 08:30-17:30,Перерва на обід: 12:00-12:45
39611267,Комунальне підприємство «Керуюча компанія з обслуговування житлового фонду Оболонського району м. Києва»,Сагайдак,Людмила,Григорівна,Забезпечення ефективного управління; належного утримання житлового та нежитлового фонду; утримання прибудинкових територій; об'єктів благоустрою; надання послуг у сфері транспорту та отримання прибутку,https://obolonmk.kiev.ua/statut/,UA80000000000093317,null,04214,Україна,місто Київ,null,null,Київ,Оболонський,вул. Північна,22,null,obolonkk@kyivcity.gov.ua,+380443323520,http://obolonmk.kiev.ua/,https://www.facebook.com/obolonmk/,Пн-Чт з 08:00-17:00; Пт з 08:00-15:45,Перерва на обід: 12:00-12:45
35692211,Комунальне підприємство «Керуюча компанія з обслуговування житлового фонду Печерського району м. Києва»,Павлик,Ігор,Климович,Забезпечення ефективного управління; належного утримання житлового; нежитлового фонду; надання послуги з утримання будинків та прибудинкових територій в Печерському районі міста Києва,https://www.kkpr.com.ua/statut/,UA80000000000093317,null,01021,Україна,місто Київ,null,null,Київ,Печерський,пров. Івана Мар'яненка,7,null,kkp@kyivcity.gov.ua,+380442803610,https://www.kkpr.com.ua/,https://www.facebook.com/kkpechersk,Пн-Чт з 08:00-17:00; Пт з 08:00-15:45,Перерва на обід: 12:00-12:45
39609111,Комунальне підприємство «Керуюча компанія з обслуговування житлового фонду Подільського району м. Києва»,Крикун,Арсен,Євгенович,Забезпечення належного утримання житлового та нежитлового фонду; утримання прибудинкових територій та об'єктів благоустрою,https://kyivaudit.gov.ua/vr/ka/company.nsf/0/163635DDF201216DC2257F1F003ECBFF/$file/%D0%97%D0%B0%D0%B3%D0%B0%D0%BB%D1%8C%D0%BD%D0%B8%D0%B9.pdf,UA80000000000093317,null,04071,Україна,місто Київ,null,null,Київ,Подільський,вул. Хорива,36,null,info.podil@kyivcity.gov.ua,+380444252135,https://podil.kiev.ua/,null,Пн-Пт з 08:00-17:00,Перерва на обід: 12:00-12:45. Прийом відбувається за попереднім записом
39607507,Комунальне підприємство «Керуюча компанія з обслуговування житлового фонду Святошинського району м. Києва»,Бузінський,Олександр,Васильович,"Забезпечення ефективного управління, належного утримання житлового та нежитлового фонду, утримання прибудинкових територій, об'єктів благоустрою",https://kyivaudit.gov.ua/vr/ka/company.nsf/0/EDF8D873ACB0834FC225833C00267E7F?OpenDocument,UA80000000000093317,null,03172,Україна,місто Київ,null,null,Київ,Святошинський,вул. Симиренка,17,null,kk_svyatoshin@kyivcity.gov.ua,+380444541690,https://kk-svyatoshin.org.ua/,https://www.facebook.com/kksvyatoshin,Пн-Чт з 08:00-17:00; Пт з 08:00-15:45,Перерва на обід: 12:00-12:45. Прийом відбувається за попереднім записом
35756919,Комунальне підприємство «Керуюча компанія з обслуговування житлового фонду Солом'янського району м. Києва»,Згурський,Олексій,Олександрович,Утримання будинків та споруд і прибудинкових територій; управління багатоквартирними будинками,https://kyivaudit.gov.ua/vr/ka/company.nsf/0/EE1193DE0D3491B8C2258339002DF75F/$file/%D0%A1%D1%82%D0%B0%D1%82%D1%83%D0%BA%20%D0%9A%D0%9F%20%D0%9A%D0%9A.pdf,UA80000000000093317,null,03186,Україна,місто Київ,null,null,Київ,Солом'янський,вул. Левка Мацієвича,6,null,info@kpsolor.com.ua,+380442494696,https://kpsolor.com.ua,null,Пн-Чт з 08:00-17:00; Пт з 08:00-15:45,Перерва на обід: 12:00-12:45
34966254,Комунальне підприємство «Керуюча компанія з обслуговування житлового фонду Шевченківського району м.Києва»,Мальцев,Олександр,Олександрович,Забезпечення ефективного управління; належного утримання житлового та нежитлового фонду; утримання прибудинкових територій; об'єктів благоустрою,https://minio.kyivcity.gov.ua/kyivcity/sites/18/01.10.2024/%202020.pdf,UA80000000000093317,null,04050,Україна,місто Київ,null,null,Київ,Шевченківський,вул. Білоруська,1,null,ker.shevch@kyivcity.gov.ua,+380444839906,null,https://www.facebook.com/profile.php?id=100038068968083,Пн-Чт з 08:00-17:00; Пт з 08:00-16:45,Перерва на обід: 12:00-12:45
